School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Martha Ellen Stilwell School for the Performing Arts,Clayton County,112765.2,63313.11,61646.48
Oliver Elementary School,Clayton County,96861.12,61160.6,64738.0
Pointe South Middle School,Clayton County,105756.16,53242.33,66607.29
Mount Zion High School,Clayton County,108836.22,60225.35,65821.75
Lake Ridge Elementary School,Clayton County,110060.0,56505.39,73237.0
James Jackson Elementary School,Clayton County,110872.54,57976.03,60032.4
Kemp Elem School,Clayton County,110060.0,57447.92,65424.51
Unidos Dual Language School,Clayton County,92867.77,59153.23,64123.33
Riverdale High School,Clayton County,116431.52,59961.31,72321.57
Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning,Clayton County,112626.44,64173.85,67953.17
Eddie White Elementary School,Clayton County,99242.59,57001.51,67585.4
Kay R Pace Elementary School of the Arts,Clayton County,119394.33,60198.36,80571.0
7 Pillars Career Academy,Clayton County,75000.0,56111.11,75000.0
Utopian Academy for the Arts Elementary School,Clayton County,95000.0,50250.0,0
Anderson Elementary School,Clayton County,105442.37,60509.64,66828.0
East Clayton Elementary School,Clayton County,104501.01,58694.62,73088.5
Forest Park High School,Clayton County,114659.78,60037.03,67162.27
Jonesboro High School,Clayton County,107957.09,58312.34,71924.5
Lee Street Elementary School,Clayton County,104501.01,56804.17,69738.67
Northcutt Elementary School,Clayton County,96514.3,55204.7,66058.0
Tara Elementary School,Clayton County,108177.27,59440.69,76772.6
Arnold Elementary School,Clayton County,101964.29,62967.88,75353.67
North Clayton High School,Clayton County,114053.35,55722.16,67914.75
Forest Park Middle School,Clayton County,107909.73,55860.05,67273.74
Morrow Elementary School,Clayton County,105640.55,62115.37,80977.5
Riverdale Elementary School,Clayton County,95642.31,60937.96,69540.5
West Clayton Elementary School,Clayton County,95255.85,56569.82,59770.67
Fountain Elementary School,Clayton County,99576.21,54788.52,69087.25
Babb Middle School,Clayton County,93849.06,58148.23,65652.25
North Clayton Middle School,Clayton County,96677.41,55549.07,71353.2
Haynie Elementary School,Clayton County,94149.34,60621.56,67002.25
Riverdale Middle School,Clayton County,103173.19,58488.87,69154.87
Church Street Elementary School,Clayton County,101581.14,58669.33,66177.99
Lake City Elementary School,Clayton County,106314.37,61284.06,73617.67
Morrow High School,Clayton County,108520.12,57654.61,66117.0
Suder Elementary School,Clayton County,110060.0,57415.95,66845.62
Edmonds Elementary School,Clayton County,101964.29,56860.99,73931.33
Huie Elementary School,Clayton County,89710.08,56176.6,73757.4
William M. McGarrah Elementary School,Clayton County,105036.1,58817.78,67088.33
Swint Elementary School,Clayton County,108603.37,59068.87,70894.44
Clayton County Alternative School,Clayton County,139480.04,67655.25,74669.23
Education System Management RTF II,Clayton County,0,55664.71,0
South Metro Educational Center (GNETS),Clayton County,127212.59,56912.0,72686.14
Clinch County Elementary School,Clinch County,79653.99,57959.17,59648.46
Clinch County Middle School,Clinch County,83954.89,55427.7,61951.14
Clinch County High School,Clinch County,83994.62,57615.51,69430.68
Clinch County Pre K,Clinch County,0,43666.91,0
CrossRoads Alternative School,Clinch County,78091.6,78091.6,0
Kennesaw Mountain High School,Cobb County,101868.56,69270.67,72742.91
Riverside Intermediate School,Cobb County,102794.74,63628.13,76333.44
Kell High School,Cobb County,103974.83,66974.33,66057.69
Bullard Elementary School,Cobb County,104519.46,70112.6,75746.3
McCall Primary School,Cobb County,108251.95,68518.95,71203.69
Pickett's Mill Elementary,Cobb County,103487.38,71206.5,65688.83
East Side Elementary School,Cobb County,98479.62,65554.47,65252.88
Clarkdale Elementary School,Cobb County,102447.06,62906.34,75892.02
Mableton Elementary School,Cobb County,100802.89,63972.76,77209.47
Birney Elementary School,Cobb County,97704.37,67514.57,75456.52
Walton High School,Cobb County,105834.26,71185.52,76365.6
Mabry Middle School,Cobb County,99750.57,69708.56,72143.5
Still Elementary School,Cobb County,114005.19,70368.7,74868.05
Tritt Elementary School,Cobb County,97163.45,68536.92,73878.35
McCleskey Middle School,Cobb County,114146.12,65856.27,72840.63
Garrison Mill Elementary School,Cobb County,107413.3,70223.85,75467.85
Keheley Elementary School,Cobb County,108935.52,67379.99,81416.21
Pope High School,Cobb County,107409.85,71736.81,76136.15
Baker Elementary School,Cobb County,97843.29,65772.77,68540.52
Dowell Elementary School,Cobb County,103674.9,69434.44,72067.64
Varner Elementary School,Cobb County,104026.27,69471.14,78624.26
Harrison High School,Cobb County,100581.98,69863.32,71338.31
Hayes Elementary School,Cobb County,101495.5,69406.89,66549.92
Vaughan Elementary School,Cobb County,102587.82,72378.21,58471.8
Chalker Elementary School,Cobb County,103426.46,67991.23,67876.03
Nickajack Elementary School,Cobb County,95400.11,64169.77,67163.26
Lindley Middle School,Cobb County,104757.13,64455.19,75230.21
Kemp Elementary School,Cobb County,97376.12,72685.3,77943.62
Pitner Elementary School,Cobb County,96770.75,72156.41,65159.06
Austell Elementary School,Cobb County,114005.19,68447.51,66116.32
Allatoona High School,Cobb County,104683.26,69829.89,72684.19
Smyrna Elementary School,Cobb County,94780.16,65639.95,64732.01
Kincaid Elementary School,Cobb County,102547.33,72631.73,62872.79
Dodgen Middle School,Cobb County,101459.29,69308.39,66409.18
Mount Bethel Elementary School,Cobb County,102391.15,68354.49,66090.26
Pine Mountain Middle School,Cobb County,100691.88,65297.67,69081.66
Dickerson Middle School,Cobb County,99349.02,70024.71,71849.31
Lewis Elementary School,Cobb County,199586.15000000002,123709.91,145332.37
Mountain View Elementary School,Cobb County,195545.28999999998,118016.45000000001,116361.34
Addison Elementary School,Cobb County,109073.25,68004.83,78318.29
Campbell Middle School,Cobb County,103940.22,65054.08,69313.24
Shallowford Falls Elementary School,Cobb County,107617.0,68236.31,64658.13
Ford Elementary School,Cobb County,99245.01,67150.84,69255.32
Smitha Middle School,Cobb County,104092.81,69489.45,75957.91
Frey Elementary School,Cobb County,100319.71,68339.84,68759.39
Cheatham Hill Elementary School,Cobb County,97651.41,70884.67,65295.43
Durham Middle School,Cobb County,105289.75,68860.29,75756.19
Acworth Intermediate School,Cobb County,108251.95,65317.42,62804.31
Riverside Primary School,Cobb County,114661.65,67425.36,78701.72
Lindley 6th Grade Academy,Cobb County,101726.78,66577.5,77717.65
Sprayberry High School,Cobb County,102101.85,64405.25,78357.93
Murdock Elementary School,Cobb County,95318.3,67928.73,53590.1
Rocky Mount Elementary School,Cobb County,113856.25,69713.71,71008.9
Lassiter High School,Cobb County,103426.99,70216.95,80638.09
Davis Elementary School,Cobb County,289688.19,181220.23,198460.81
Simpson Middle School,Cobb County,109215.86,69564.92,81238.78
Nicholson Elementary School,Cobb County,104137.69,66766.51,69402.06
Hightower Trail Middle School,Cobb County,110952.07,68754.71,72181.58
Green Acres Elementary School,Cobb County,102692.64,72374.4,69435.69
Sanders Elementary School,Cobb County,106692.13,66342.69,70827.66
Blackwell Elementary School,Cobb County,108124.34,69653.6,72758.78
Hendricks Elementary School,Cobb County,102873.76,65084.82,73976.13
Kennesaw Elementary School,Cobb County,105061.83,67175.53,73332.28
Barber Middle School,Cobb County,108419.62,68763.22,70081.57
Tapp Middle School,Cobb County,103219.37,67344.65,67385.29
Sope Creek Elementary School,Cobb County,109342.42,66093.43,59665.83
Powder Springs Elementary School,Cobb County,96261.45,66708.83,77838.36
Timber Ridge Elementary School,Cobb County,205191.56,131179.64,123799.42
Lost Mountain Middle School,Cobb County,109292.13,69810.74,78567.6
Cooper Middle School,Cobb County,102034.95,65185.66,67968.72
Big Shanty Elementary School,Cobb County,112152.93,68266.14,68985.82
McClure Middle School,Cobb County,99359.2,70384.8,76359.45
Bryant Elementary School,Cobb County,103295.7,64261.16,76914.92
Palmer Middle School,Cobb County,97345.56,68501.42,74071.18
Lovinggood Middle School,Cobb County,99247.35,71093.09,74354.51
Hillgrove High School,Cobb County,98734.55,69245.36,77082.59
Devereux Ackerman Academy,Cobb County,77204.0,59233.66,67226.18
Cobb Horizon High School,Cobb County,111369.03,75489.11,74459.82
Mountain View Elementary Replacement,Cobb County,102012.67,70410.95,67671.5
Belmont Hills Elementary School,Cobb County,112666.43,61848.93,60888.16
Campbell High School,Cobb County,102839.01,66497.67,82461.38
East Cobb Middle School,Cobb County,100442.11,68704.53,65884.34
Garrett Middle School,Cobb County,94631.88,64186.7,73446.79
McEachern High School,Cobb County,101088.21,68984.03,64162.98
Norton Park Elementary School,Cobb County,102077.5,64450.34,73176.21
Powers Ferry Elementary School,Cobb County,111264.76,65250.24,70984.48
Wheeler High School,Cobb County,99504.16,66247.27,69784.67
Argyle Elementary School,Cobb County,106795.69,69726.92,70246.91
North Cobb High School,Cobb County,101150.06,67520.61,75947.2
King Springs Elementary School,Cobb County,101148.96,66243.89,71031.0
Osborne High School,Cobb County,99521.66,64050.31,73895.97
Griffin Middle School,Cobb County,96316.18,63885.33,71630.26
South Cobb High School,Cobb County,96546.57,67779.54,76193.84
Fair Oaks Elementary School,Cobb County,100946.64,59760.41,65749.63
LaBelle Elementary School,Cobb County,109359.0,70334.99,74672.32
Milford Elementary School,Cobb County,114005.19,69599.77,73175.07
Russell Elementary School,Cobb County,200035.45,126529.62,140876.27000000002
Compton Elementary School,Cobb County,105957.05,64489.52,65867.25
Awtrey Middle School,Cobb County,102986.6,68764.81,85303.64
Daniell Middle School,Cobb County,92419.37,66170.68,68736.14
Pebblebrook High School,Cobb County,93310.44,65444.18,74342.86
Teasley Elementary School,Cobb County,99968.7,64072.92,78204.72
Hollydale Elementary School,Cobb County,99445.6,65106.7,66574.8
Bells Ferry Elementary School,Cobb County,103428.63,66445.46,72988.0
Brumby Elementary School,Cobb County,100968.46,68703.96,72237.35
Due West Elementary School,Cobb County,101213.81,70225.98,66256.46
Floyd Middle School,Cobb County,108523.19,66477.15,76872.13
Sedalia Park Elementary School,Cobb County,97316.23,61192.74,64401.06
Eastvalley Elementary School,Cobb County,104137.69,68277.42,78569.7
South Cobb Early Learning Center,Cobb County,0,64255.77,0
Haven Academy,Cobb County,118714.52,60836.75,80852.75
Indian Creek Elementary,Coffee County,87459.5,58472.96,64548.47
Ambrose Elementary School,Coffee County,90185.56,60494.04,65874.32
Coffee Middle School,Coffee County,82572.78,53866.25,61329.52
Wiregrass Regional College and Career Academy,Coffee County,89197.0,65212.23,70090.69
Satilla Elementary School,Coffee County,86044.0,57533.36,62739.17
Broxton-Mary Hayes Elementary,Coffee County,86007.0,53163.24,68583.78
Coffee County High School,Coffee County,89754.66,58704.03,70259.35
Eastside Elementary School,Coffee County,503099.27999999997,353241.14,388764.38
Nicholls Elementary School,Coffee County,84921.0,54986.91,71611.68
George Washington Carver Freshman Campus,Coffee County,89543.5,53665.61,61549.63
West Green Elementary School,Coffee County,82096.0,48772.78,64541.41
Westside Elementary School,Coffee County,443392.32,299647.83,353298.87
Coffee Alternative Education Center,Coffee County,91692.0,58134.18,79206.5
Willie J. Williams Middle School,Colquitt County,89033.63,52380.41,61134.44
Doerun Elementary School,Colquitt County,84412.58,50489.71,54795.0
Odom Elementary School,Colquitt County,85395.79,52756.52,58040.5
Norman Park Elementary School,Colquitt County,84116.58,56968.76,61035.5
Colquitt County High School,Colquitt County,81007.42,48350.31,57390.48
Funston Elementary School,Colquitt County,78940.92,53032.07,59670.25
Wright Elementary School,Colquitt County,82262.56,52332.24,59267.08
Stringfellow Elementary School,Colquitt County,79735.29,51949.06,50907.75
CA Gray Junior High School,Colquitt County,93168.61,46306.5,51655.92
Okapilco Elementary School,Colquitt County,85647.0,54826.35,58474.43
Cox Elementary School,Colquitt County,85933.55,50259.13,57042.92
Hamilton Elementary School,Colquitt County,86781.21,51972.94,62890.5
Sunset Elementary School,Colquitt County,91054.9,56149.83,57986.79
Greenbrier Middle School,Columbia County,99978.0,67420.83,77529.67
Lewiston Elementary School,Columbia County,99743.0,64879.54,62747.18
Grovetown Middle School,Columbia County,92143.33,62877.83,62490.18
River Ridge Elementary,Columbia County,99743.0,67044.04,72336.4
Evans Middle School,Columbia County,180361.66999999998,125393.32,143795.86
Stallings Island Middle School,Columbia County,101995.5,64504.53,73895.13
Grovetown High School,Columbia County,92552.18,60838.9,68204.65
Westmont Elementary School,Columbia County,99743.0,60306.82,70811.77
Harlem High School,Columbia County,103104.8,63582.77,65829.93
Evans Elementary School,Columbia County,102243.0,63300.35,65901.19
Blue Ridge Elementary School,Columbia County,264575.21,175263.75,188279.64
Lakeside High School,Columbia County,207207.46000000002,132488.39,149862.63
Brookwood Elementary School,Columbia County,292153.43,184113.37,202347.35
Stevens Creek Elementary School,Columbia County,100461.0,62944.06,77698.67
Riverside Middle School,Columbia County,100651.5,64562.69,72892.06
Riverside Elementary School,Columbia County,193898.72999999998,132642.83000000002,136663.64
Greenbrier High School,Columbia County,91672.8,65248.55,79281.33
Cedar Ridge Elementary School,Columbia County,91264.33,59945.16,60913.38
Baker Place Elementary,Columbia County,91383.0,64793.9,61166.96
Harlem Middle School,Columbia County,97871.0,65522.56,74119.56
Lakeside Middle School,Columbia County,183425.5,131174.53,123383.5
Greenbrier Elementary School,Columbia County,99743.0,62459.0,74528.24
Euchee Creek Elementary School,Columbia County,90316.5,59156.06,65964.71
Parkway Elementary School,Columbia County,102243.0,65098.69,79552.22
Columbia Middle School,Columbia County,201919.83000000002,123177.29000000001,144849.59
Martinez Elementary School,Columbia County,99743.0,61886.9,74728.0
North Columbia Elementary School,Columbia County,103976.57,60864.82,70999.9
Evans High School,Columbia County,96270.0,66305.99,77457.71
North Harlem Elementary School,Columbia County,92782.5,60613.81,76355.35
Grovetown Elementary School,Columbia County,82803.0,59179.75,65282.19
South Columbia Elementary School,Columbia County,98216.75,62524.71,74066.8
Columbia County Alternative School,Columbia County,103533.0,75626.18,91146.0
Cook County Middle School,Cook County,68485.69,53252.33,57701.08
Cook Elementary School,Cook County,67568.02,53388.74,56748.73
Cook High School,Cook County,76492.24,56774.15,53801.07
Cook Primary School,Cook County,68544.07,54288.27,65844.5
Arbor Springs Elementary,Coweta County,97215.0,57491.58,74956.67
Willis Road Elementary,Coweta County,91474.0,64904.56,77326.57
Lee Middle School,Coweta County,96489.33,65196.1,69125.8
Brooks Elementary,Coweta County,87263.5,63686.52,68996.25
White Oak Elementary School,Coweta County,205522.3,128335.97,147745.83000000002
Canongate Elementary School,Coweta County,96802.0,61986.64,77471.5
Newnan Crossing Elementary School,Coweta County,87246.71,64472.81,57038.2
Jefferson Parkway Elementary School,Coweta County,94822.67,61800.81,75527.57
Northgate High School,Coweta County,95387.43,66043.5,75767.71
Poplar Road Elementary School,Coweta County,96802.0,60511.02,68413.25
Welch Elementary School,Coweta County,85419.86,59448.71,71019.55
Glanton Elementary,Coweta County,83845.0,62320.92,63516.28
East Coweta Middle School,Coweta County,95349.5,64692.52,76286.95
Thomas Crossroads Elementary School,Coweta County,100698.0,61381.29,69037.33
Madras Middle School,Coweta County,86018.25,59153.43,62515.78
Smokey Road Middle School,Coweta County,95711.0,60575.78,77727.6
East Coweta High School,Coweta County,91147.13,63304.98,75284.82
Arnall Middle School,Coweta County,97250.0,59103.75,61340.25
Arnco-Sargent Elementary School,Coweta County,96802.0,61345.29,75573.6
Ruth Hill Elementary School,Coweta County,101839.0,60326.29,74923.25
Northside Elementary School,Coweta County,543893.96,340248.84,409146.2100000001
Elm Street Elementary School,Coweta County,101839.0,63194.16,68306.14
Moreland Elementary School,Coweta County,96802.0,64342.61,72682.91
Newnan High School,Coweta County,92977.78,59804.28,67012.01
Western Elementary School,Coweta County,86648.0,61621.16,78134.57
Maggie Brown School,Coweta County,110532.0,65197.67,0
Central Educational Center,Coweta County,107742.0,73185.94,73302.33
8th Grade Campus,Coweta County,0,65179.17,0
Burwell GNETS Program,Coweta County,0,54958.5,19223.09
Winston Dowdell Academy,Coweta County,115532.0,66153.38,69692.0
Crawford County Elementary School,Crawford County,88012.33,57322.16,65924.45
Crawford County High School,Crawford County,78164.66,57204.79,68449.5
Crawford County Middle School,Crawford County,75682.6,54748.82,61656.93
Eagle's Nest,Crawford County,0,42625.36,0
Crisp County Primary School,Crisp County,85055.89,58105.38,59345.82
Crisp County High School,Crisp County,95373.51,59537.11,71206.76
Crisp County Middle School,Crisp County,91696.45,59095.75,75722.8
Crisp County Elementary School,Crisp County,87650.79,56294.22,67312.8
Crisp County Pre-K,Crisp County,86480.62,53598.8,61269.56
Crisp County High School Alternative Program,Crisp County,88237.94,0,70879.39
Crisp County Middle School Alternative Program,Crisp County,88237.94,0,74140.67
Flint Area GNET Program,Crisp County,84266.18,42996.17,61913.64
Dade Elementary School,Dade County,91708.0,55605.02,65234.13
Dade County High School,Dade County,87577.29,54550.87,68719.1
Dade Middle School,Dade County,85944.87,57265.47,68225.87
Kilough Elementary School,Dawson County,115533.5,67643.36,74091.33
Dawson County Middle School,Dawson County,108255.5,64597.94,71662.08
Dawson County Junior High,Dawson County,90532.5,64670.62,77288.66
Riverview Elementary School,Dawson County,103404.0,64373.78,68256.52
Robinson Elementary School,Dawson County,95420.0,62612.97,73503.33
Dawson County High School,Dawson County,101195.97,69004.3,78621.1
Black's Mill Elementary School,Dawson County,104542.5,64341.77,62683.11
West Bainbridge Elementary School,Decatur County,73719.5,55159.79,47670.56
New Beginning Learning Center,Decatur County,95714.0,22000.0,0
Potter Street Elementary School,Decatur County,81744.5,53138.03,59645.23
Bainbridge Middle School,Decatur County,86454.27,56956.3,71986.23
Hutto Middle School,Decatur County,84221.33,53240.25,70397.14
Bainbridge High School,Decatur County,87197.96,58282.82,59312.94
John Johnson Elementary School,Decatur County,80518.5,55206.39,57639.45
Jones-Wheat Elementary School,Decatur County,86708.05,58747.72,69711.14
Narvie Harris Elementary School,DeKalb County,93554.08,65240.39,70407.59
Wynbrooke Elementary School,DeKalb County,101629.07,68951.31,81306.1
"Martin Luther King, Jr. High School",DeKalb County,95887.23,63324.79,74506.56
Miller Grove High School,DeKalb County,99558.23,68366.49,72071.77
Flat Rock Elementary School,DeKalb County,95933.81,61472.89,70294.04
Princeton Elementary School,DeKalb County,104763.39,63823.77,65467.15
Administrative and Instructional Complex (AIC) Facility,DeKalb County,108323.38,0,88923.1
DeKalb Preparatory Academy Charter,DeKalb County,87160.48,53066.95,53289.74
Cedar Grove High School,DeKalb County,94119.93,65714.81,76479.64
Vanderlyn Elementary School,DeKalb County,101053.8,60031.7,70597.19
Austin Elementary School,DeKalb County,104681.68,62672.75,62609.76
Redan High School,DeKalb County,107134.75,65865.32,70586.25
Eldridge L. Miller Elementary School,DeKalb County,96880.32,60490.54,73753.6
Panola Way Elementary School,DeKalb County,91082.42,63230.92,67084.41
Peachtree Middle School,DeKalb County,98824.31,62402.04,59014.35
Pine Ridge Elementary School,DeKalb County,203672.39,123466.04,144711.91999999998
Browns Mill Elementary School,DeKalb County,110110.66,64831.79,76482.81
Chapel Hill Middle School,DeKalb County,190917.75,123230.5,139307.62
Marbut Elementary School,DeKalb County,90998.29,62709.76,69110.2
Cedar Grove Middle School,DeKalb County,105174.7,61597.1,77813.81
Lithonia High School,DeKalb County,95853.25,64750.0,77728.27
Lithonia Middle School,DeKalb County,98852.88,63842.69,78781.39
Redan Middle School,DeKalb County,94289.76,65045.24,72349.12
Dunwoody Elementary School,DeKalb County,91238.06,60204.11,62731.33
Museum School Avondale Estates,DeKalb County,106952.33,62252.41,68131.83
Rockbridge Elementary School,DeKalb County,192018.28999999998,118271.03,131980.25
Cedar Grove Elementary School,DeKalb County,98617.92,62462.24,63531.47
Stone Mountain High School,DeKalb County,101507.62,64651.77,70663.63
Kittredge Magnet School,DeKalb County,105992.05,66494.68,64316.96
Salem Middle School,DeKalb County,97858.08,64493.43,75752.31
Shadow Rock Elementary School,DeKalb County,106169.99,63958.95,71566.13
"Edward L. Bouie, Sr. Elementary School",DeKalb County,92898.79,67593.14,85540.96
Oakview Elementary,DeKalb County,95024.83,61887.59,69690.18
William Bradley Bryant Technology Center Facility,DeKalb County,202797.81,0,87242.28
Wadsworth Magnet School for High Achievers,DeKalb County,105252.69,71263.25,70240.26
Leadership Preparatory Academy,DeKalb County,94500.0,54392.44,75684.0
GLOBE Academy Charter School I,DeKalb County,85041.9,53180.08,51465.78
Tapestry Public Charter School,DeKalb County,81025.34,53019.63,63080.71
Fairington Elementary School,DeKalb County,103319.14,64194.72,83181.62
Stephenson Middle School,DeKalb County,106192.44,66316.96,78479.71
Robert Shaw Theme School,DeKalb County,108780.55,60427.52,58517.77
Mary McLeod Bethune Middle School,DeKalb County,102322.6,64617.55,72728.79
Chamblee Middle School,DeKalb County,101433.78,62562.32,72483.48
Dekalb Early College Academy,DeKalb County,101980.24,70655.26,75469.72
Ronald E McNair Discover Learning Academy Elementary School,DeKalb County,97037.22,60282.53,73586.57
DeKalb School of the Arts,DeKalb County,100339.89,69070.43,80262.06
Bob Mathis Elementary School,DeKalb County,101328.19,63510.44,82837.57
Stephenson High School,DeKalb County,105336.1,68511.37,77681.03
DeKalb Alternative School,DeKalb County,117779.86,66946.91,75555.55
East DeKalb Special Education Center,DeKalb County,105621.67,80262.1,88031.95
Stone Mountain Middle School,DeKalb County,106639.26,64177.07,75568.51
The Champion Middle Theme School,DeKalb County,96963.09,62968.05,64205.06
Margaret Harris Comprehensive School,DeKalb County,92858.93,67939.98,97377.13
Stone Mill Elementary School,DeKalb County,103155.07,63168.9,65245.34
Miller Grove Middle School,DeKalb County,93220.21,63832.71,79695.65
Tucker Middle School,DeKalb County,100197.34,62515.16,68160.3
"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",DeKalb County,106942.04,66543.57,75120.36
Woodridge Elementary School,DeKalb County,86795.77,64864.0,75220.14
DeKalb PATH Academy Charter School,DeKalb County,88000.0,59917.25,58134.0
UHS of Laurel Heights,DeKalb County,112080.0,59273.66,64406.05
International Community School,DeKalb County,82703.86,56288.63,53501.0
Elizabeth Andrews High School,DeKalb County,119084.28,71077.71,79467.63
Druid Hills Middle School,DeKalb County,106649.21,64475.22,76632.98
DeKalb Academy of Technology and the Environment Charter School,DeKalb County,144230.12,64223.07,75573.75
DeKalb Elementary School of the Arts,DeKalb County,105276.94,64928.49,68110.56
Brockett Elementary School,DeKalb County,106066.28,59542.9,65376.18
Chapel Hill Elementary School,DeKalb County,179342.88,126615.4,135204.44
Columbia Elementary School,DeKalb County,100553.02,64891.5,77719.64
Dresden Elementary School,DeKalb County,100387.76,62006.57,73592.57
Evansdale Elementary School,DeKalb County,91701.0,64644.9,73071.12
McNair Middle School,DeKalb County,214782.59,126997.41,152967.16
Idlewood Elementary School,DeKalb County,98137.31,62230.2,72608.84
Livsey Elementary School,DeKalb County,93453.56,65938.23,76612.85
Tucker High School,DeKalb County,106150.77,66880.69,66113.49
Woodward Elementary School,DeKalb County,103319.14,60541.39,60165.93
Peachcrest Elementary School,DeKalb County,103319.43,66328.0,69829.89
Barack H. Obama Elementary Magnet School of Technology,DeKalb County,91313.43,62111.69,70481.19
Doraville United Elementary School,DeKalb County,98671.24,59521.84,69982.69
East Campus 1 Facility,DeKalb County,120412.8,0,66516.97
Allgood Elementary School,DeKalb County,205198.06,124922.26000000001,144325.55
Columbia High School,DeKalb County,98864.31,66149.93,70965.56
Druid Hills High School,DeKalb County,97475.01,64950.13,71640.53
Fernbank Elementary School,DeKalb County,92285.1,62565.1,73574.54
Henderson Mill Elementary School,DeKalb County,102866.81,63597.23,63277.48
Indian Creek Elementary School,DeKalb County,92491.48,63304.74,74052.47
McLendon Elementary School,DeKalb County,106969.55,62068.45,70902.7
Midvale Elementary School,DeKalb County,97408.92,59109.28,55703.92
Cary Reynolds Elementary School,DeKalb County,96823.76,65947.2,69018.36
Stone Mountain Elementary School,DeKalb County,105558.97,60773.39,66616.47
Ashford Park Elementary School,DeKalb County,86556.8,59673.95,55413.81
Briarlake Elementary School,DeKalb County,94366.21,61752.86,55692.96
Canby Lane Elementary School,DeKalb County,101931.38,63271.31,64957.96
Chesnut Elementary School,DeKalb County,102980.97,59975.25,64264.0
Dunaire Elementary School,DeKalb County,105503.48,61344.31,76779.98
Flat Shoals Elementary School,DeKalb County,202221.38,124804.31,130489.75
Hambrick Elementary School,DeKalb County,97140.04,62932.43,70184.47
Jolly Elementary School,DeKalb County,90707.7,61938.79,66303.46
Pleasantdale Elementary School,DeKalb County,93217.39,63502.17,73228.4
Rock Chapel Elementary School,DeKalb County,95327.02,64157.51,67014.71
Smoke Rise Elementary School,DeKalb County,102295.46,70688.45,73246.36
Toney Elementary School,DeKalb County,109420.88,65296.27,78933.4
McNair High School,DeKalb County,105348.84,65254.38,76224.66
Briar Vista Elementary School,DeKalb County,99241.28,62498.55,75912.97
Murphey Candler Elementary School,DeKalb County,98013.42,61512.78,72922.26
Clarkston High School,DeKalb County,102243.31,65186.78,72590.57
Cross Keys High School,DeKalb County,97597.15,65161.87,65655.98
Hightower Elementary School,DeKalb County,101053.8,62807.33,66684.66
Kelley Lake Elementary School,DeKalb County,94723.01,65266.12,81525.59
Laurel Ridge Elementary School,DeKalb County,101040.52,59757.22,80624.29
Montclair Elementary School,DeKalb County,91091.72,60789.31,76049.45
Oakcliff Elementary School,DeKalb County,83573.98,61950.27,69521.6
Rainbow Elementary School,DeKalb County,109060.5,67576.89,64554.08
Rowland Elementary School,DeKalb County,110272.99,62083.12,73146.26
Snapfinger Elementary School,DeKalb County,96674.03,65297.16,70144.11
Stoneview Elementary School,DeKalb County,91110.7,62761.25,73798.27
Towers High School,DeKalb County,97262.56,62781.56,69072.17
Coralwood Education Center,DeKalb County,111234.49,61927.27,69072.85
Avondale Elementary School,DeKalb County,100337.18,61584.79,65263.37
Chamblee Charter High School,DeKalb County,98171.99,66963.68,69958.11
Dunwoody High School,DeKalb County,95328.18,65759.36,63729.58
Huntley Hills Elementary School,DeKalb County,100723.69,57559.34,71932.03
Kingsley Elementary School,DeKalb County,87725.0,59962.82,53886.11
Montgomery Elementary School,DeKalb County,94275.95,59793.65,78024.03
Redan Elementary School,DeKalb County,86589.34,63588.7,75195.52
Sagamore Hills Elementary School,DeKalb County,110086.08,61640.68,55395.65
Southwest DeKalb High School,DeKalb County,105723.02,68776.07,73079.22
DeKalb High School of Technology-South,DeKalb County,111637.33,83450.72,77178.28
Fernbank Science Center,DeKalb County,130452.51,75635.92,86021.32
Flex Academy,DeKalb County,86180.03,82561.89,93452.28
Early Learning Center,DeKalb County,104522.87,59665.25,59903.13
International Student Center,DeKalb County,101201.43,67553.66,78868.83
DeKalb Rockdale GNETS Program,DeKalb County,119895.54,61203.79,77557.54
Warren Technical School,DeKalb County,100127.59,63629.08,65352.9
East Campus #2 (Transportation) Facility,DeKalb County,0,0,95364.48
Sam Moss Service Center Facility,DeKalb County,197797.81,0,0
Dodge County High School,Dodge County,88175.16,56074.16,72113.44
Dodge County Middle School,Dodge County,84044.94,58247.51,69841.52
South Dodge Elementary School,Dodge County,78818.45,58439.21,67842.29
North Dodge Elementary School,Dodge County,84625.45,59105.33,58581.14
DAC (Dodge County Achievement Center),Dodge County,74372.6,51962.62,0
Dodge PreK,Dodge County,56315.61,36959.21,64981.0
Dooly County Elementary School,Dooly County,93142.11,57135.8,55800.02
Dooly County High School,Dooly County,84472.26,53443.49,0
Dooly County Middle School,Dooly County,87799.65,51944.74,51673.18
Dooly County Prep Academy,Dooly County,103880.61,91137.78,100682.82
Albany Middle School,Dougherty County,82408.2,50769.83,63514.93
Live Oak Elementary School,Dougherty County,80751.0,53346.27,65483.36
Robert A. Cross Middle Magnet,Dougherty County,83485.5,54104.97,65563.67
Robert H Harvey Elementary School,Dougherty County,88391.0,54633.57,62536.84
Radium Springs Middle School,Dougherty County,84199.8,49527.94,67090.07
Lamar Reese School of the Arts,Dougherty County,90952.5,52965.86,66162.6
Lincoln Elementary Magnet School,Dougherty County,85763.86,58471.23,71782.54
