School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Heritage Elementary School,Bibb County,194631.01,123123.51000000001,146574.94
Union Elementary School,Bibb County,187542.97,116699.43,139360.58000000002
Alexander II Magnet School,Bibb County,83808.82,58235.23,55880.25
Bernd Elementary School,Bibb County,95825.82,52747.73,55495.25
Porter Elementary School,Bibb County,94325.82,54104.18,62560.06
Springdale Elementary School,Bibb County,83443.82,53210.04,66061.22
Carter Elementary School,Bibb County,87231.82,54395.31,62443.42
Lane Elementary School,Bibb County,88946.82,55438.59,69127.33
Martin Luther King Jr Elementary School,Bibb County,90366.32,50665.83,59200.5
Southfield Elementary School,Bibb County,84854.16,50701.78,61876.17
Veterans Elementary School,Bibb County,87945.55,49633.02,62014.17
John Robert Lewis Elementary School,Bibb County,195020.42,116747.25,127021.01999999999
Hartley Elementary School,Bibb County,87337.32,54505.15,64985.0
Heard Elementary School,Bibb County,276803.82,175919.81,179805.57
Ingram/Pye Elementary School,Bibb County,95325.82,53826.49,60726.45
Appling Middle School,Bibb County,92569.31,50905.72,65081.37
Elam Alexander Academy at Burke,Bibb County,106930.0,51795.39,69907.0
Northwoods Academy - Federal Special Ed. Pre-School Program,Bibb County,99278.64,53970.18,62917.0
Hutchings College & Career Academy,Bibb County,73032.0,65074.18,88573.0
SOAR Academy,Bibb County,117511.16,55552.21,57104.33
Bleckley County High School,Bleckley County,86918.27,62610.19,75600.46
Bleckley Middle School,Bleckley County,88511.5,57598.42,57017.44
Bleckley County Success Academy,Bleckley County,79305.81,61150.82,75165.4
Bleckley County Elementary School,Bleckley County,84987.29,55576.81,58056.5
Bleckley County Primary School,Bleckley County,87403.05,58048.23,58255.5
Bleckley County Pre-K,Bleckley County,101887.41,49328.26,53657.0
Waynesville Primary School,Brantley County,88753.9,56619.32,59504.33
Atkinson Elementary School,Brantley County,277992.37,169923.9,196571.8
Brantley County Middle School,Brantley County,89276.7,56995.19,67089.56
Nahunta Elementary School,Brantley County,77636.15,53463.38,70277.62
Brantley County High School,Brantley County,83186.56,59483.65,71906.32
Hoboken Elementary School,Brantley County,80533.37,55353.56,68358.37
Nahunta Primary School,Brantley County,76637.03,60146.99,67932.73
Brooks County High School,Brooks County,92618.08,53464.65,68204.04
Quitman Elementary School,Brooks County,91999.4,50141.7,61968.84
Brooks County Middle School,Brooks County,88092.38,48936.4,64645.16
North Brooks Elementary School,Brooks County,87796.11,51306.52,65220.62
Delta Innovative School,Brooks County,86547.43,52441.25,0
Brooks County Early Learning Center,Brooks County,90411.0,43409.57,44791.8
Dr. George Washington Carver Elementary School,Bryan County,83512.67,58548.51,57353.29
Richmond Hill High School,Bryan County,82490.4,58365.13,58701.02
Richmond Hill Middle School,Bryan County,81086.38,57712.08,65802.18
Richmond Hill Primary School,Bryan County,87515.0,54297.96,69474.4
Lanier Primary School,Bryan County,88031.33,57659.9,68882.54
Bryan County Elementary School,Bryan County,87849.0,58194.46,59314.75
Richmond Hill Elementary School,Bryan County,82632.67,61784.03,62480.0
Bryan County Middle School,Bryan County,87788.94,54515.73,67024.41
Bryan County High School,Bryan County,87268.36,63454.45,70218.79
McAllister Elementary School,Bryan County,75875.67,57519.86,70314.25
Frances Meeks Elementary School,Bryan County,86332.0,55654.29,61748.33
Bryan Academy,Bryan County,74174.0,59610.0,0
Mill Creek Elementary School,Bulloch County,78913.95,59040.84,74833.0
Nevils Elementary School,Bulloch County,74236.21,57385.16,70921.84
William James Middle School,Bulloch County,86338.78,57831.63,71446.36
Langston Chapel Elementary School,Bulloch County,76992.11,58046.24,61791.59
Brooklet Elementary School,Bulloch County,73693.29,56121.43,66335.0
Southeast Bulloch High School,Bulloch County,77095.13,62476.46,63525.36
Langston Chapel Middle School,Bulloch County,78523.79,54122.53,64178.03
Southeast Bulloch Middle School,Bulloch County,78118.13,57537.85,61684.74
Portal Elementary School,Bulloch County,82385.34,58883.72,57227.67
Julia P. Bryant Elementary School,Bulloch County,67208.16,61266.19,66536.81
Statesboro High School,Bulloch County,78691.82,60196.31,67592.15
Stilson Elementary School,Bulloch County,72064.66,54006.94,62298.34
Portal Middle/High School,Bulloch County,86458.54,60376.98,66821.24
Mattie Lively Elementary School,Bulloch County,81087.17,57954.13,61979.51
Sallie Zetterower Elementary School,Bulloch County,76211.95,54729.53,62572.25
Bulloch County Alternative Program,Bulloch County,64378.2,0,62800.39
Bulloch County Educational Opportunities Program,Bulloch County,84170.3,60046.71,75759.55
Maintenance Facility,Bulloch County,710251.06,0,663662.74
Blakeney Elementary,Burke County,99452.75,60736.3,76730.0
Burke County Middle School,Burke County,101770.0,60618.35,72271.4
S G A Elementary School,Burke County,102155.5,60656.12,73594.67
Burke County High School,Burke County,101482.38,65401.86,72302.18
Waynesboro Primary School,Burke County,91930.75,62513.57,62516.29
Burke County Life Center,Burke County,99811.0,73614.4,70342.0
Burke County Academy of Success,Burke County,97831.0,75742.5,0
Henderson Middle School,Butts County,193431.53,123205.98000000001,136738.31
Hampton L. Daughtry Elementary School,Butts County,95582.0,59682.25,55057.67
Stark Elementary School,Butts County,93610.0,57491.48,64803.5
Jackson Elementary School,Butts County,395784.22000000003,246104.83000000002,274530.01
Jackson High School,Butts County,100501.61,62693.53,73360.46
Jackson High Program,Butts County,96593.0,0,53716.0
Calhoun County High School,Calhoun County,68740.92,57688.25,55570.93
Calhoun County Elementary School,Calhoun County,68806.19,53519.25,44483.5
Calhoun County Middle School,Calhoun County,75125.68,49897.88,55570.93
Mamie Lou Gross Elementary School,Camden County,91136.31,59064.58,60803.93
