"","School.Name","County.x","Urban.Rural","Classification","X19.21.Difference.in.Math","X19.21.Difference.in.English","All.Students.English.Achievement","All.Students.Math.Achievement","X2021.All.Students.English.Achievement","X2021.All.Students.Math.Achievement","American.Indian.Alaskan.English.Achievement","American.Indian.Alaskan.Math.Achievement","Asian.Pacific.Islander.English.Achievement","Asian.Pacific.Islander.Math.Achievement","Black.English.Achievement","Black.Math.Achievement","Economically.Disadvantaged.English.Achievement","Economically.Disadvantaged.Math.Achievement","Hispanic.English.Achievement","Hispanic.Math.Achievement","White.English.Achievement","White.Math.Achievement","Students.With.Disability.English.Achievement","Students.With.Disability.Math.Achievement","X2021.American.Indian.Alaskan.English.Achievement","X2021.American.Indian.Alaskan.Math.Achievement","X2021.Asian.Pacific.Islander.English.Achievement","X2021.Asian.Pacific.Islander.Math.Achievement","X2021.Black.English.Achievement","X2021.Black.Math.Achievement","X2021.Economically.Disadvantaged.English.Achievement","X2021.Economically.Disadvantaged.Math.Achievement","X2021.Hispanic.English.Achievement","X2021.Hispanic.Math.Achievement","X2021.White.English.Achievement","X2021.White.Math.Achievement","X2021.Students.With.Disability.English.Achievement","X2021.Students.With.Disability.Math.Achievement","County.y","BS","MS","S","phd","Total","Post.Grad.Percentage","Total.Students.Enrolled","Teacher.Student.Ratio","White.Percentage","Black.Percentage","Econ.Disadvantaged.Percentage","County","Avg..Annual.Salaries.Administrators","Avg..Annual.Salaries.Teachers","Avg..Annual.Salaries.Support.Personnel","Absent...5D.Percentage","Absent.6D.15D.Percentage","Absent..15D.Percentage","id","amount","school_ppe_21","direct_cert_perc","mobility","ENROLL_PCT_GIFTED","u.r_dummy","growth.rate.math"
"11","Addison Elementary School","Cobb County","Urban","E",-15.96,-16.45,90.65,93.35,74.2,77.39,0,0,100,100,75.93,80.57,74.37,79.49,74,84,100,100,47.29,54.06,0,0,90.38,92.31,66.68,70.51,74.11,77.29,52.89,65.39,79.03,78.23,30.24,43.03,"Cobb County",14,22,7,2,45,0.688888888888889,626,13.9111111111111,48.7,15.7,99.8,"Cobb County",109073.25,68004.83,78318.29,78.3,18.8,2.9,1,5751445,11803.23046875,12.5,14.8,12.1,1,-15.96
"12","Albany Middle School","Dougherty County","Urban","M",-19.55,-13.25,36.84,37.24,23.59,17.69,0,0,0,0,35.55,36.3,36.84,37.24,76.67,60.01,53.45,47.93,18.72,16.67,0,0,0,0,22.78,16.67,23.59,17.69,0,0,0,0,15.56,14.77,"Dougherty County",39,14,9,2,64,0.390625,1051,16.421875,3.3,91.4,100,"Dougherty County",82408.2,50769.83,63514.93,12.8,20.7,66.4,1,6346309.74,10842.900390625,77.9000015258789,10.2,NA,1,-19.55
"13","Alcova Elementary School","Gwinnett County","Urban","E",-14.24,-8.77999999999999,72.1,75.79,63.32,61.55,0,0,81.44,88.58,70.06,72.79,67.05,70.13,68.93,73.17,82.32,84.34,37.49,43.49,0,0,85.73,85.72,60.5,55.73,59.27,59.55,58.33,56.95,71.43,78.58,30.41,33.57,"Gwinnett County",49,34,11,2,96,0.489583333333333,1513,15.7604166666667,11.7,54.5,56.1,"Gwinnett County",96564.54,59685.8,71884.5,71.6,22.6,5.8,1,11012416.16,9598.9501953125,25.2999992370605,14.1,9.8,1,-14.24
"14","Alcovy High School","Newton County","Urban","H",-31.61,14.58,61.35,42.92,75.93,11.31,0,0,0,0,57.45,38.19,56.67,37.94,67.85,42.86,65.59,50.17,24.48,16.29,0,0,0,0,73.02,6.7,71.12,10.25,83.34,26.32,75,12.63,26,8.33,"Newton County",27,49,16,4,96,0.71875,1999,20.8229166666667,28.8,56.5,71.2,"Newton County",91333.4,59718.12,66802.79,76,15.6,8.4,1,12913653.51,10049.349609375,35.2000007629395,14.9,10,1,-31.61
"15","Alexander High School","Douglas County","Urban","H",-26.64,-22.33,82.95,62.11,60.62,35.47,0,0,0,0,69.2,47.83,73.08,53.46,77.9,57.29,90.98,68.1,38.04,26.61,0,0,0,0,56.44,32.85,55.88,31.48,46.67,0,63.34,38.46,59.52,36.67,"Douglas County",30,50,20,6,106,0.716981132075472,2017,19.0283018867924,51.6,29.5,37.1,"Douglas County",103278.77,66717.04,76067.39,45.1,29.1,25.8,1,13155677.02,9173.4501953125,18.5,6.4,18.1,1,-26.64
"16","Alexander II Magnet School","Bibb County","Urban","E",-16.82,-12.73,82.3,81.42,69.57,64.6,0,0,0,0,76.13,75.28,82.3,81.42,0,0,100,100,55.88,41.18,0,0,0,0,59.92,53.96,69.57,64.6,0,0,0,0,0,0,"Bibb County",15,8,12,0,35,0.571428571428571,459,13.1142857142857,12.4,78.2,100,"Bibb County",83808.82,58235.23,55880.25,54.7,29.8,15.5,1,4024076.68,11685,44.2999992370605,2.4,16,1,-16.82
"17","Alford Elementary","Gwinnett County","Urban","E",-26.25,-14.6,64.78,73.8,50.18,47.55,0,0,66.34,87.5,72.23,69.91,59.64,70.11,60.08,71.79,68.06,76.4,24.68,38.31,0,0,64.29,71.42,56.04,38.79,48.8,45,44.47,42.81,56.26,62.5,16.39,17.24,"Gwinnett County",37,22,9,0,68,0.455882352941176,944,13.8823529411765,8.5,20.4,76.3,"Gwinnett County",89213.88,58090.18,67311.33,70.6,21.6,7.8,1,7724617.66,10706.8701171875,29.7999992370605,16.4,8.7,1,-26.25
"18","Alice Coachman Elementary School","Dougherty County","Urban","E",-24.89,-14.37,25.41,34.08,11.04,9.19,0,0,0,0,24.47,33.12,25.41,34.08,0,0,0,0,5.17,10.35,0,0,0,0,10.98,8.71,11.04,9.19,0,0,0,0,2.09,2.09,"Dougherty County",15,7,9,0,31,0.516129032258065,515,16.6129032258065,4.1,93.6,100,"Dougherty County",93323.5,53373.11,70457.77,32.8,31.5,35.7,1,4018760.84,12812.919921875,91.6999969482422,13.5,1.7,1,-24.89
"19","Allatoona Elementary School","Bartow County","Urban","E",-20.23,-12.58,55.45,63.37,42.87,43.14,0,0,0,0,0,0,51.89,60.94,54.41,66.9,56.77,61.72,17.14,31.43,0,0,0,0,0,0,42.36,45.04,40.42,49.32,48.34,41.67,22.23,16.67,"Bartow County",15,13,4,0,32,0.53125,418,13.0625,49.5,4.3,64.6,"Bartow County",90516.5,55870.97,63915.4,40.2,46.4,13.4,1,4290206.25,12782.51953125,43.7999992370605,18.3,8.1,1,-20.23
"20","Allatoona High School","Cobb County","Urban","H",-38.44,-0.47999999999999,96.07,89.28,95.59,50.84,0,0,100,100,82.91,74.58,80.95,75.53,84.91,80.09,100,95.09,60.97,57.7,0,0,0,0,93.28,40.91,95.59,50.84,75.61,46.25,98.46,53.96,25,28.57,"Cobb County",29,42,23,3,97,0.701030927835051,1875,19.3298969072165,60.7,18.8,100,"Cobb County",104683.26,69829.89,72684.19,76.4,15.9,7.6,1,13367818.1,8958.8603515625,6.5,5.8,20.8,1,-38.44
"21","Allen Elementary School","Muscogee County","Urban","E",-13.41,-17.42,55.98,57.8,38.56,44.39,0,0,0,0,50.01,52.73,55.98,57.8,44.17,52.51,66.67,62.97,23.09,19.23,0,0,0,0,39,44,38.56,44.39,37.96,41.67,35.25,45.83,20.51,29.48,"Muscogee County",14,12,7,0,33,0.575757575757576,500,15.1515151515152,32.8,27.4,100,"Muscogee County",92712,58373.3,69017.07,39,38.4,22.6,1,3863695.38,11139.5302734375,45.2999992370605,12.6,6.1,1,-13.41
"22","Allgood Elementary School","DeKalb County","Urban","E",-21.18,-16.5,66.64,71.33,50.14,50.15,0,0,54.84,70.98,59.79,62.59,61.45,64.13,65.57,62.24,71.61,78.41,35.35,36.22,0,0,36.84,22.98,48.66,46.9,45.46,43.41,47.92,45.75,51.73,53.11,22.81,25.44,"DeKalb County",41,54,12,2,109,0.623853211009174,941,8.63302752293578,40.7,38,58.1,"DeKalb County",205198.06,124922.26,144325.55,42.5,35.6,21.9,1,5030846.52,13289.1298828125,64.1999969482422,18.5,1.5,1,-21.18
"23","Alliance Academy for Innovation","Forsyth County","Urban","H",-19.23,-100,100,100,0,80.77,0,0,100,100,0,100,100,100,100,97.28,100,100,97.93,100,0,0,0,0,0,0,96.67,69.45,83.34,71.88,0,79.63,0,69.05,"Forsyth County",13,27,13,5,58,0.775862068965517,1055,18.1896551724138,49.6,2.7,9.2,"Forsyth County",97137.32,63540.96,67945.86,70,25.5,4.5,1,7852009.18,8773.009765625,3,1.7,24.3,1,-19.23
"24","Alpharetta Elementary School","Fulton County","Urban","E",-12.25,-9.29000000000001,99.18,100,89.89,87.75,0,0,100,100,74.13,81.03,64.78,72.73,74,78,100,100,61.28,63.45,0,0,0,0,65.22,67.4,50.01,56.53,67.64,69.11,97.13,94.26,67.05,64.78,"Fulton County",21,24,5,1,51,0.588235294117647,481,9.43137254901961,52.6,13.5,13.7,"Fulton County",93227.45,64590.12,67907.07,40.7,38.9,20.4,1,6840460.54,17435.30078125,8.89999961853027,8.9,11.2,1,-12.25
"25","Alpharetta High School","Fulton County","Urban","H",-9.72,-100,100,100,0,90.28,0,0,100,100,84.73,77.22,74.28,59.8,85.72,76.38,100,100,53.94,40.39,0,0,0,0,0,0,0,0,0,0,0,83.34,0,0,"Fulton County",46,65,11,4,126,0.634920634920635,2368,18.7936507936508,39.7,17.6,9.5,"Fulton County",106082.75,63412.59,72205.98,50,27.2,22.8,1,17124792.84,10082.740234375,4.19999980926514,4.9,37.1,1,-9.72
"26","Alps Road Elementary School","Clarke County","Urban","E",-21.98,-18.17,35.54,35.11,17.37,13.13,0,0,0,0,29.42,30.67,35.54,35.11,0,0,0,0,31.48,31.49,0,0,0,0,14.06,11.46,17.37,13.13,0,0,0,0,17.64,14.71,"Clarke County",24,16,4,0,44,0.454545454545454,347,7.88636363636364,7.2,79.5,100,"Clarke County",86493.93,49779.02,57393.52,36.6,28.8,34.6,1,4392619.38,17314.990234375,77,20.7,4.6,1,-21.98
"27","Altama Elementary School","Glynn County","Urban","E",-13.73,-9.52,60.56,66.88,51.04,53.15,0,0,0,0,55.3,62.58,58.48,64.74,69.58,84.79,67.4,60.88,24.29,24.28,0,0,0,0,50.44,49.1,50.3,52.4,50,61.9,50.01,54.55,13.16,15.79,"Glynn County",17,15,11,0,43,0.604651162790698,531,12.3488372093023,14.1,58.9,84.2,"Glynn County",89966.72,58084.73,64050.48,60.8,33.7,5.5,1,5464164,13391.5302734375,57.9000015258789,30.5,1.1,1,-13.73
"28","Altamaha Elementary School","Appling County","Rural","E",-5.92,-9.14,60,64.21,50.86,58.29,0,0,0,0,28.13,31.25,60,64.21,38.89,58.34,65.34,68,33.34,40.28,0,0,0,0,0,0,50.86,58.29,23.34,33.33,56.21,62.95,27.58,36.67,"Appling County",12,12,4,0,28,0.571428571428571,374,13.3571428571429,81,7.8,100,"Appling County",95679.17,56776.17,64261.38,40.4,46,13.6,1,3523676.41,12733.26953125,35.4000015258789,11.6,7.6,0,-5.92
"29","Alto Park Elementary School","Floyd County","Urban","E",1.62,-25.54,68.05,58.26,42.51,59.88,0,0,0,0,40.91,52.28,68.05,58.26,57.7,49.23,77.89,64.22,50.01,45.96,0,0,0,0,29.55,47.73,42.51,59.88,40.63,65.63,46.78,57.26,30.66,56.46,"Floyd County",12,15,6,1,34,0.647058823529412,405,11.9117647058824,44.2,9.4,100,"Floyd County",95192.1,56498.38,62017.29,50.4,36.3,13.3,1,4173585.18,13205.3896484375,47.0999984741211,14.1,6.9,1,1.62
"30","Amana Academy School","Fulton County","Urban","E",-26.41,-15.03,94.5,81.59,79.47,55.18,0,0,100,100,84.48,71.84,86.09,73.04,80,62,99.07,90.64,67.67,58.28,0,0,0,0,75.85,48.4,0,0,50,50.01,85.72,94.65,0,0,"Fulton County",22,16,1,0,39,0.435897435897436,813,20.8461538461538,18.9,44.2,1.8,"Fulton County",82244,46285.41,47341.74,70.6,22.3,7.1,1,8117197.49,10728.51953125,20.8999996185303,6,12.8,1,-26.41
"31","Americus Sumter 9th Grade Academy","Sumter County","Rural","H",-14.5,-64.28,64.28,44.43,0,29.93,0,0,0,0,61.38,40.96,64.28,44.43,62.92,46.67,81.59,61.9,23.92,12,0,0,0,0,0,30.77,0,29.93,0,25,0,0,0,0,"Sumter County",14,11,2,0,27,0.481481481481482,305,11.2962962962963,7.5,77,100,"Sumter County",95509.11,51732.91,58745.3,62.3,14.8,23,1,2913167.89,12303.1904296875,70.0999984741211,10.9,9.2,0,-14.5
"32","Americus Sumter High School (Old Americus-Sumter HS S)","Sumter County","Rural","H",-40.64,-3.61,50.19,40.64,46.58,0,0,0,0,0,47.27,39.78,50.19,40.64,58.34,32,62.5,47.74,7.89,3.85,0,0,0,0,45.38,0,46.58,0,47.62,0,0,0,0,0,"Sumter County",22,23,9,2,56,0.607142857142857,737,13.1607142857143,8.5,79,100,"Sumter County",91989.21,58326.06,70393,84.9,8.7,6.4,1,7150726.65,12481.330078125,51.9000015258789,8.9,7.2,0,-40.64
"33","Anderson Elementary School","Clayton County","Urban","E",-34.36,-18.69,41.8,50.6,23.11,16.24,0,0,0,0,40.36,44.84,41.8,50.6,45.51,60.69,0,0,15.86,18.3,0,0,0,0,25.44,17.27,23.11,16.24,20.69,14.66,0,0,10.53,7.9,"Clayton County",7,18,9,0,34,0.794117647058823,518,15.2352941176471,2.1,56.4,100,"Clayton County",105442.37,60509.64,66828,51.9,28.8,19.3,1,3858182.39,10962.9599609375,52.7000007629395,16.4,4.1,1,-34.36
"34","Anderson-Livsey Elementary School","Gwinnett County","Urban","E",-18.33,-11.26,58.94,63.47,47.68,45.14,0,0,0,0,61.15,63.57,53.96,61.18,46.56,56.9,76.46,82.37,23.34,24.17,0,0,0,0,47.92,43.39,42.59,40.8,37.33,40.85,0,0,20.27,22.37,"Gwinnett County",17,17,8,1,43,0.604651162790698,780,18.1395348837209,4.1,65.6,76.3,"Gwinnett County",95862.26,61158.37,69789.44,71.7,21.4,6.9,1,5999470.78,10292.150390625,50.2000007629395,19.1,10.4,1,-18.33
"35","Andrea B Williams Elementary School","Savannah-Chatham County","Urban","E",-26.79,-13.99,27.3,42.93,13.31,16.14,0,0,0,0,26.63,42.43,26.9,43.01,0,0,0,0,7.82,18.76,0,0,0,0,11.35,14.29,11.21,14.22,0,0,0,0,8.7,8.7,"Savannah-Chatham County",15,15,4,2,36,0.583333333333333,571,15.8611111111111,1.2,93.2,91.4,"Savannah-Chatham County",87894.67,55824.11,64743.67,44.1,28.9,27,1,4907699.75,12761.2802734375,82.3000030517578,26,5.4,1,-26.79
"36","Anita White Carson Middle School","Greene County","Rural","M",-20.52,-7.58,41.02,41.44,33.44,20.92,0,0,0,0,35.72,38.18,41.02,41.44,50,49.04,61.68,48.34,36.79,39.62,0,0,0,0,28.71,17.63,33.44,20.92,35.58,25.97,62,32,16.31,5.44,"Greene County",18,18,13,0,49,0.63265306122449,555,11.3265306122449,11.5,67.6,100,"Greene County",103496.78,61322.72,65397.24,42.5,35,22.5,1,6400900.74,15530.6396484375,57,8.6,7,0,-20.52
"37","Anna K. Davie Elementary","Rome City","","E",-19.1,-4.46,38.75,36.25,34.29,17.15,0,0,0,0,33.87,38.71,38.75,36.25,34.38,48.45,44.12,49.99,21.16,30.78,0,0,0,0,27.28,11.37,34.29,17.15,16.14,19.36,0,0,22.5,22.5,"Rome City",17,14,10,2,43,0.604651162790698,418,9.72093023255814,13.6,62.7,100,"Rome City",89061.65,53168.5,58482.24,40.4,34.9,24.6,1,4615388.2,14589.41015625,73.6999969482422,19.8,0.5,NA,-19.1
"38","Anne Street Elementary School","Griffin-Spalding County","Urban","E",-10.49,-14.74,25.14,25.42,10.4,14.93,0,0,0,0,23.15,23.16,25.14,25.42,0,0,0,0,6.82,6.82,0,0,0,0,11.16,14.08,10.4,14.93,0,0,0,0,2.94,8.82,"Griffin-Spalding County",10,13,3,1,27,0.62962962962963,376,13.9259259259259,5.9,87.2,100,"Griffin-Spalding County",102913,53769.93,66689.56,37.8,38.3,23.9,1,3025717.99,12697.099609375,83.0999984741211,40.1,0.6,1,-10.49
