School Name,County,BS,MS,S,phd,Total,Post Grad Percentage,Total Students Enrolled,Teacher-Student Ratio,White Percentage,Black Percentage,Econ Disadvantaged Percentage
Tara Elementary School,Clayton County,14,23,5,3,45,0.6888888888888889,637,14.155555555555555,1.7,66.6,100.0
Arnold Elementary School,Clayton County,11,14,8,0,33,0.6666666666666666,493,14.93939393939394,5.3,65.5,100.0
North Clayton High School,Clayton County,27,25,4,2,58,0.5344827586206896,1257,21.67241379310345,0.2,86.2,100.0
Forest Park Middle School,Clayton County,22,15,3,1,41,0.4634146341463415,774,18.878048780487806,3.5,51.9,100.0
Morrow Elementary School,Clayton County,12,14,8,1,35,0.6571428571428571,518,14.8,1.2,47.3,100.0
Riverdale Elementary School,Clayton County,17,17,5,5,44,0.6136363636363636,704,16.0,0.6,68.0,100.0
West Clayton Elementary School,Clayton County,11,16,3,0,30,0.6333333333333333,513,17.1,0.4,92.6,100.0
Fountain Elementary School,Clayton County,21,18,1,2,42,0.5,609,14.5,2.3,54.8,100.0
Babb Middle School,Clayton County,25,22,11,1,59,0.576271186440678,1033,17.508474576271187,3.0,39.1,100.0
North Clayton Middle School,Clayton County,20,16,4,2,42,0.5238095238095238,956,22.761904761904763,0.4,85.7,100.0
Haynie Elementary School,Clayton County,20,27,8,2,57,0.6491228070175439,890,15.614035087719298,1.3,38.1,100.0
Riverdale Middle School,Clayton County,21,17,3,3,44,0.5227272727272727,785,17.84090909090909,0.9,75.9,100.0
Church Street Elementary School,Clayton County,18,20,7,2,47,0.6170212765957447,789,16.78723404255319,0.9,80.1,100.0
Lake City Elementary School,Clayton County,9,20,7,0,36,0.75,501,13.916666666666666,1.2,39.7,100.0
Morrow High School,Clayton County,28,51,3,5,87,0.6781609195402298,1930,22.183908045977013,1.9,66.1,100.0
Suder Elementary School,Clayton County,14,19,3,1,37,0.6216216216216216,596,16.10810810810811,2.5,71.8,100.0
Edmonds Elementary School,Clayton County,11,17,4,1,33,0.6666666666666666,476,14.424242424242424,3.2,53.8,100.0
Huie Elementary School,Clayton County,19,22,8,0,49,0.6122448979591837,713,14.551020408163266,2.4,59.7,100.0
William M. McGarrah Elementary School,Clayton County,16,19,5,1,41,0.6097560975609756,669,16.317073170731707,2.5,64.7,100.0
Swint Elementary School,Clayton County,14,26,7,3,50,0.72,673,13.46,1.3,73.4,100.0
Clinch County Elementary School,Clinch County,10,18,11,0,39,0.7435897435897436,520,13.333333333333334,48.1,33.5,100.0
Clinch County Middle School,Clinch County,7,16,4,0,27,0.7407407407407407,322,11.925925925925926,52.8,35.7,100.0
Clinch County High School,Clinch County,12,14,5,0,31,0.6129032258064516,465,15.0,53.8,33.8,67.7
