School Name,County,BS,MS,S,phd,Total,Post Grad Percentage,Total Students Enrolled,Teacher-Student Ratio,White Percentage,Black Percentage,Econ Disadvantaged Percentage
Mableton Elementary School,Cobb County,32,38,10,0,80,0.6,1088,13.6,12.2,32.1,100.0
Birney Elementary School,Cobb County,29,17,17,2,65,0.5538461538461539,762,11.723076923076922,5.0,41.2,100.0
Walton High School,Cobb County,36,69,26,12,143,0.7482517482517482,2754,19.25874125874126,63.8,5.7,100.0
Mabry Middle School,Cobb County,20,27,10,1,58,0.6551724137931034,943,16.25862068965517,69.8,7.6,100.0
Still Elementary School,Cobb County,11,37,9,2,59,0.8135593220338984,763,12.932203389830509,45.9,30.8,99.9
Tritt Elementary School,Cobb County,24,36,5,1,66,0.6363636363636364,846,12.818181818181818,77.4,3.8,99.9
McCleskey Middle School,Cobb County,20,23,4,2,49,0.5918367346938775,720,14.693877551020408,54.3,17.5,99.9
Garrison Mill Elementary School,Cobb County,20,22,9,1,52,0.6153846153846154,659,12.673076923076923,72.8,7.6,100.0
Keheley Elementary School,Cobb County,13,15,7,1,36,0.6388888888888888,431,11.972222222222221,62.9,11.8,100.0
Pope High School,Cobb County,23,51,26,7,107,0.7850467289719626,1897,17.72897196261682,75.2,6.4,100.0
Baker Elementary School,Cobb County,26,25,14,0,65,0.6,849,13.061538461538461,30.5,35.3,99.9
Dowell Elementary School,Cobb County,19,32,23,1,75,0.7466666666666667,951,12.68,12.9,39.5,100.0
Varner Elementary School,Cobb County,17,37,14,0,68,0.75,873,12.838235294117647,15.5,60.8,100.0
Harrison High School,Cobb County,37,56,20,7,120,0.6916666666666667,2299,19.158333333333335,73.1,13.4,100.0
Hayes Elementary School,Cobb County,19,35,16,1,71,0.7323943661971831,948,13.352112676056338,27.1,39.2,99.8
Vaughan Elementary School,Cobb County,12,30,12,1,55,0.7818181818181819,678,12.327272727272728,62.1,19.0,100.0
Chalker Elementary School,Cobb County,20,25,3,2,50,0.6,682,13.64,42.5,28.9,100.0
Nickajack Elementary School,Cobb County,29,42,5,0,76,0.618421052631579,1209,15.907894736842104,22.2,55.9,100.0
Lindley Middle School,Cobb County,27,33,11,1,72,0.625,1310,18.194444444444443,3.1,55.0,100.0
Kemp Elementary School,Cobb County,21,23,21,1,66,0.6818181818181818,906,13.727272727272727,53.4,26.7,100.0
Pitner Elementary School,Cobb County,22,25,19,1,67,0.6716417910447762,821,12.253731343283581,38.0,29.6,100.0
Austell Elementary School,Cobb County,16,13,8,3,40,0.6,466,11.65,8.4,56.7,100.0
Allatoona High School,Cobb County,29,42,23,3,97,0.7010309278350515,1875,19.329896907216494,60.7,18.8,100.0
Smyrna Elementary School,Cobb County,35,36,13,2,86,0.5930232558139535,997,11.593023255813954,21.4,39.9,100.0
Kincaid Elementary School,Cobb County,17,22,9,1,49,0.6530612244897959,638,13.020408163265307,52.2,11.8,100.0
Dodgen Middle School,Cobb County,21,43,11,2,77,0.7272727272727273,1271,16.506493506493506,60.6,5.1,100.0
Mount Bethel Elementary School,Cobb County,21,50,9,0,80,0.7375,1000,12.5,71.6,1.8,100.0
Pine Mountain Middle School,Cobb County,13,26,9,0,48,0.7291666666666666,716,14.916666666666666,29.9,38.7,100.0
Dickerson Middle School,Cobb County,23,33,17,4,77,0.7012987012987013,1324,17.194805194805195,62.6,5.4,100.0
Lewis Elementary School,Cobb County,25,31,11,2,69,0.6376811594202898,342,4.956521739130435,2.9,94.4,100.0
Mountain View Elementary School,Cobb County,48,44,16,2,110,0.5636363636363636,717,6.5181818181818185,36.8,51.6,100.0
Addison Elementary School,Cobb County,14,22,7,2,45,0.6888888888888889,626,13.911111111111111,48.7,15.7,99.8
Campbell Middle School,Cobb County,26,59,8,9,102,0.7450980392156863,1769,17.34313725490196,9.2,46.2,99.9
Shallowford Falls Elementary School,Cobb County,17,29,12,0,58,0.7068965517241379,604,10.413793103448276,67.5,8.6,100.0
Ford Elementary School,Cobb County,26,26,12,1,65,0.6,835,12.846153846153847,73.4,10.5,100.0
Smitha Middle School,Cobb County,18,35,17,3,73,0.7534246575342466,1078,14.767123287671232,5.4,30.9,100.0
Frey Elementary School,Cobb County,26,27,10,2,65,0.6,781,12.015384615384615,59.9,18.4,100.0
Cheatham Hill Elementary School,Cobb County,26,26,27,1,80,0.675,1070,13.375,41.9,23.2,99.9
Durham Middle School,Cobb County,18,35,8,0,61,0.7049180327868853,1121,18.37704918032787,68.5,14.9,100.0
Acworth Intermediate School,Cobb County,20,25,3,0,48,0.5833333333333334,622,12.958333333333334,28.5,36.8,100.0
Lindley 6th Grade Academy,Cobb County,9,23,6,1,39,0.7692307692307693,643,16.487179487179485,1.9,55.2,100.0
Sprayberry High School,Cobb County,34,45,18,3,100,0.66,1938,19.38,35.3,27.9,99.9
Murdock Elementary School,Cobb County,19,32,11,0,62,0.6935483870967742,948,15.290322580645162,61.0,6.4,99.7
Rocky Mount Elementary School,Cobb County,13,24,7,0,44,0.7045454545454546,563,12.795454545454545,60.0,9.1,100.0
Lassiter High School,Cobb County,25,57,24,5,111,0.7747747747747747,2020,18.1981981981982,69.0,7.3,100.0
Davis Elementary School,Cobb County,35,36,16,1,88,0.6022727272727273,329,3.7386363636363638,1.8,93.0,100.0
Simpson Middle School,Cobb County,22,24,12,2,60,0.6333333333333333,933,15.55,58.9,10.9,100.0
Nicholson Elementary School,Cobb County,15,23,6,0,44,0.6590909090909091,448,10.181818181818182,52.7,14.5,100.0
Hightower Trail Middle School,Cobb County,28,24,14,1,67,0.582089552238806,1065,15.895522388059701,69.0,6.4,99.9
Green Acres Elementary School,Cobb County,14,21,15,1,51,0.7254901960784313,642,12.588235294117647,4.5,19.9,100.0
Sanders Elementary School,Cobb County,16,29,11,0,56,0.7142857142857143,765,13.660714285714286,6.1,62.7,100.0
Blackwell Elementary School,Cobb County,18,26,10,2,56,0.6785714285714286,694,12.392857142857142,43.1,20.7,100.0
Hendricks Elementary School,Cobb County,20,19,8,2,49,0.5918367346938775,598,12.204081632653061,11.5,58.9,100.0
Kennesaw Elementary School,Cobb County,22,23,9,1,55,0.6,649,11.8,37.9,31.0,99.8
Barber Middle School,Cobb County,18,26,10,1,55,0.6727272727272727,970,17.636363636363637,27.2,39.8,100.0
Tapp Middle School,Cobb County,25,23,10,1,59,0.576271186440678,964,16.338983050847457,8.8,60.3,100.0
Sope Creek Elementary School,Cobb County,33,37,10,0,80,0.5875,1050,13.125,54.7,6.0,100.0
Powder Springs Elementary School,Cobb County,21,29,4,1,55,0.6181818181818182,840,15.272727272727273,6.7,64.6,99.9
Timber Ridge Elementary School,Cobb County,30,44,19,4,97,0.6907216494845361,808,8.329896907216495,34.3,44.8,22.8
Lost Mountain Middle School,Cobb County,23,21,15,0,59,0.6101694915254238,1072,18.16949152542373,63.2,19.0,100.0
Cooper Middle School,Cobb County,19,30,11,3,63,0.6984126984126984,1126,17.873015873015873,7.0,66.4,99.8
Big Shanty Elementary School,Cobb County,15,22,11,0,48,0.6875,561,11.6875,33.3,32.8,100.0
McClure Middle School,Cobb County,21,25,18,0,64,0.671875,1078,16.84375,58.4,17.0,100.0
Bryant Elementary School,Cobb County,26,40,10,2,78,0.6666666666666666,957,12.26923076923077,1.9,59.7,100.0
Palmer Middle School,Cobb County,20,29,8,1,58,0.6551724137931034,935,16.120689655172413,37.6,29.0,100.0
Lovinggood Middle School,Cobb County,21,40,20,1,82,0.7439024390243902,1387,16.914634146341463,41.0,34.8,100.0
Hillgrove High School,Cobb County,32,59,27,6,124,0.7419354838709677,2345,18.911290322580644,44.8,33.4,100.0
Devereux Ackerman Academy,Cobb County,12,8,0,2,22,0.45454545454545453,150,6.818181818181818,41.3,46.7,100.0
Cobb Horizon High School,Cobb County,3,13,8,0,24,0.875,480,20.0,27.3,34.4,100.0
Belmont Hills Elementary School,Cobb County,16,20,4,1,41,0.6097560975609756,349,8.512195121951219,6.9,17.5,100.0
Campbell High School,Cobb County,54,77,28,11,170,0.6823529411764706,3105,18.264705882352942,20.5,39.8,100.0
East Cobb Middle School,Cobb County,27,41,14,4,86,0.686046511627907,1573,18.290697674418606,20.5,43.7,100.0
Garrett Middle School,Cobb County,23,23,12,2,60,0.6166666666666667,1072,17.866666666666667,6.1,52.8,100.0
McEachern High School,Cobb County,36,48,31,9,124,0.7096774193548387,2510,20.241935483870968,7.0,67.9,100.0
Norton Park Elementary School,Cobb County,27,35,5,0,67,0.5970149253731343,818,12.208955223880597,5.7,34.0,100.0
Powers Ferry Elementary School,Cobb County,15,15,5,1,36,0.5833333333333334,439,12.194444444444445,8.9,40.5,100.0
Wheeler High School,Cobb County,40,67,14,12,133,0.6992481203007519,2412,18.13533834586466,24.6,37.7,100.0
Argyle Elementary School,Cobb County,12,12,12,1,37,0.6756756756756757,376,10.162162162162161,1.9,38.3,99.7
North Cobb High School,Cobb County,54,71,21,6,152,0.6447368421052632,2858,18.80263157894737,32.7,36.8,99.9
King Springs Elementary School,Cobb County,35,29,13,1,78,0.5512820512820513,1122,14.384615384615385,40.6,34.1,100.0
Osborne High School,Cobb County,46,63,15,6,130,0.6461538461538462,2600,20.0,5.2,27.7,100.0
Griffin Middle School,Cobb County,32,39,17,2,90,0.6444444444444445,1585,17.61111111111111,14.4,29.5,99.9
South Cobb High School,Cobb County,24,71,23,9,127,0.8110236220472441,2205,17.362204724409448,6.7,59.1,100.0
Fair Oaks Elementary School,Cobb County,33,34,1,1,69,0.5217391304347826,832,12.057971014492754,2.8,13.2,100.0
LaBelle Elementary School,Cobb County,16,13,11,1,41,0.6097560975609756,406,9.902439024390244,3.2,22.4,100.0
Milford Elementary School,Cobb County,12,18,9,3,42,0.7142857142857143,389,9.261904761904763,5.1,31.6,100.0
Russell Elementary School,Cobb County,35,41,21,1,98,0.6428571428571429,634,6.469387755102041,32.5,41.6,100.0
Compton Elementary School,Cobb County,16,27,7,1,51,0.6862745098039216,583,11.431372549019608,8.4,51.1,100.0
Awtrey Middle School,Cobb County,17,25,10,0,52,0.6730769230769231,738,14.192307692307692,33.3,34.6,100.0
Daniell Middle School,Cobb County,26,24,10,3,63,0.5873015873015873,1057,16.77777777777778,28.1,32.6,100.0
Pebblebrook High School,Cobb County,36,81,21,6,144,0.75,2589,17.979166666666668,6.0,54.5,100.0
Teasley Elementary School,Cobb County,25,33,11,0,69,0.6376811594202898,1011,14.652173913043478,20.2,41.6,100.0
Hollydale Elementary School,Cobb County,24,27,5,1,57,0.5789473684210527,626,10.982456140350877,8.9,34.5,100.0
Bells Ferry Elementary School,Cobb County,22,25,4,1,52,0.5769230769230769,808,15.538461538461538,25.0,34.4,99.8
Brumby Elementary School,Cobb County,22,34,18,0,74,0.7027027027027027,1004,13.567567567567568,8.4,59.7,100.0
Due West Elementary School,Cobb County,16,23,4,0,43,0.627906976744186,584,13.581395348837209,64.2,14.2,100.0
Floyd Middle School,Cobb County,19,31,11,2,63,0.6984126984126984,1041,16.523809523809526,8.2,43.2,99.9
Sedalia Park Elementary School,Cobb County,30,28,4,1,63,0.5238095238095238,720,11.428571428571429,19.2,35.6,100.0
Eastvalley Elementary School,Cobb County,20,28,8,2,58,0.6551724137931034,748,12.89655172413793,36.8,17.9,100.0
Indian Creek Elementary,Coffee County,15,22,14,1,52,0.7115384615384616,654,12.576923076923077,59.8,14.4,100.0
Ambrose Elementary School,Coffee County,6,11,12,0,29,0.7931034482758621,387,13.344827586206897,52.2,11.9,100.0
Coffee Middle School,Coffee County,53,40,18,4,115,0.5391304347826087,1857,16.14782608695652,42.7,32.4,100.0
Wiregrass Regional College and Career Academy,Coffee County,2,8,5,0,15,0.8666666666666667,213,14.2,60.1,21.1,100.0
Satilla Elementary School,Coffee County,10,19,14,1,44,0.7727272727272727,627,14.25,36.5,32.9,100.0
Broxton-Mary Hayes Elementary,Coffee County,10,15,1,0,26,0.6153846153846154,302,11.615384615384615,52.6,29.1,100.0
Coffee County High School,Coffee County,43,39,14,1,97,0.5567010309278351,1321,13.618556701030927,47.3,29.4,100.0
Eastside Elementary School,Coffee County,96,104,57,3,260,0.6307692307692307,572,2.2,21.0,0.5,87.2
Nicholls Elementary School,Coffee County,11,7,7,0,25,0.56,308,12.32,61.4,21.8,100.0
George Washington Carver Freshman Campus,Coffee County,21,15,6,0,42,0.5,524,12.476190476190476,45.0,30.9,100.0
West Green Elementary School,Coffee County,15,8,1,0,24,0.375,314,13.083333333333334,53.5,12.1,100.0
Westside Elementary School,Coffee County,67,89,77,6,239,0.7196652719665272,594,2.485355648535565,79.5,1.7,58.6
Willie J. Williams Middle School,Colquitt County,45,39,30,1,115,0.6086956521739131,1498,13.02608695652174,40.0,27.2,100.0
Doerun Elementary School,Colquitt County,16,10,5,1,32,0.5,289,9.03125,45.3,28.7,100.0
Odom Elementary School,Colquitt County,20,18,11,0,49,0.5918367346938775,534,10.89795918367347,31.1,10.7,100.0
Norman Park Elementary School,Colquitt County,13,18,14,0,45,0.7111111111111111,588,13.066666666666666,55.1,7.1,100.0
Colquitt County High School,Colquitt County,47,55,19,1,122,0.6147540983606558,1874,15.360655737704919,39.6,26.5,100.0
Funston Elementary School,Colquitt County,14,20,9,1,44,0.6818181818181818,384,8.727272727272727,29.2,11.7,100.0
Wright Elementary School,Colquitt County,12,13,16,0,41,0.7073170731707317,490,11.951219512195122,58.4,25.3,100.0
Stringfellow Elementary School,Colquitt County,13,11,5,1,30,0.5666666666666667,306,10.2,14.7,56.9,100.0
CA Gray Junior High School,Colquitt County,38,43,8,2,91,0.5824175824175825,1430,15.714285714285714,39.2,28.3,100.0
Okapilco Elementary School,Colquitt County,14,21,3,1,39,0.6410256410256411,413,10.58974358974359,31.5,40.4,100.0
Cox Elementary School,Colquitt County,25,13,8,0,46,0.45652173913043476,538,11.695652173913043,8.0,47.6,100.0
Hamilton Elementary School,Colquitt County,10,9,9,0,28,0.6428571428571429,254,9.071428571428571,81.1,3.1,100.0
Sunset Elementary School,Colquitt County,16,20,14,1,51,0.6862745098039216,514,10.07843137254902,42.6,27.8,100.0
Greenbrier Middle School,Columbia County,11,15,18,1,45,0.7555555555555555,778,17.288888888888888,67.5,13.0,12.2
Lewiston Elementary School,Columbia County,13,25,14,0,52,0.75,794,15.26923076923077,61.6,18.5,21.8
Grovetown Middle School,Columbia County,17,25,16,5,63,0.7301587301587301,1179,18.714285714285715,32.8,38.8,52.7
River Ridge Elementary,Columbia County,13,20,20,0,53,0.7547169811320755,788,14.867924528301886,67.6,10.3,15.2
Evans Middle School,Columbia County,34,44,39,3,120,0.7166666666666667,880,7.333333333333333,55.0,26.6,50.0
Stallings Island Middle School,Columbia County,9,21,15,0,45,0.8,763,16.955555555555556,62.1,12.3,16.3
Grovetown High School,Columbia County,32,54,26,4,116,0.7241379310344828,2203,18.99137931034483,37.1,38.8,38.9
Westmont Elementary School,Columbia County,14,20,4,0,38,0.631578947368421,518,13.631578947368421,56.9,17.4,49.0
Harlem High School,Columbia County,12,42,14,0,68,0.8235294117647058,1197,17.602941176470587,64.8,18.5,41.8
Evans Elementary School,Columbia County,19,22,8,1,50,0.62,841,16.82,55.6,19.5,27.5
Blue Ridge Elementary School,Columbia County,52,59,30,1,142,0.6338028169014085,645,4.542253521126761,6.8,1.4,100.0
Lakeside High School,Columbia County,45,127,45,12,229,0.8034934497816594,2213,9.663755458515285,30.9,21.0,35.3
Brookwood Elementary School,Columbia County,61,91,44,3,199,0.6934673366834171,640,3.2160804020100504,39.8,4.2,36.6
Stevens Creek Elementary School,Columbia County,16,25,9,1,51,0.6862745098039216,899,17.627450980392158,60.2,10.2,14.2
Riverside Middle School,Columbia County,9,26,9,1,45,0.8,753,16.733333333333334,66.0,16.2,12.9
Riverside Elementary School,Columbia County,33,55,25,2,115,0.7130434782608696,966,8.4,42.7,10.4,12.9
Greenbrier High School,Columbia County,21,41,22,6,90,0.7666666666666667,1754,19.488888888888887,66.1,15.0,13.0
Cedar Ridge Elementary School,Columbia County,28,25,16,1,70,0.6,1206,17.228571428571428,36.7,33.2,41.0
Baker Place Elementary,Columbia County,12,34,15,1,62,0.8064516129032258,1062,17.129032258064516,43.7,30.3,26.6
Harlem Middle School,Columbia County,12,23,15,4,54,0.7777777777777778,930,17.22222222222222,63.3,18.0,45.3
Lakeside Middle School,Columbia County,30,41,37,1,109,0.7247706422018348,1261,11.568807339449542,48.5,3.3,8.8
Greenbrier Elementary School,Columbia County,19,14,12,2,47,0.5957446808510638,699,14.872340425531915,74.8,10.0,9.3
Euchee Creek Elementary School,Columbia County,19,17,10,0,46,0.5869565217391305,596,12.956521739130435,55.0,20.8,37.8
Parkway Elementary School,Columbia County,10,22,12,4,48,0.7916666666666666,687,14.3125,61.3,14.3,15.9
Columbia Middle School,Columbia County,37,54,25,6,122,0.6967213114754098,868,7.114754098360656,0.7,95.5,100.0
Martinez Elementary School,Columbia County,14,21,13,1,49,0.7142857142857143,741,15.122448979591837,58.8,19.2,57.6
North Columbia Elementary School,Columbia County,10,17,3,0,30,0.6666666666666666,402,13.4,85.6,6.2,30.8
Evans High School,Columbia County,23,57,18,3,101,0.7722772277227723,1933,19.138613861386137,58.1,21.9,34.4
North Harlem Elementary School,Columbia County,24,21,10,0,55,0.5636363636363636,818,14.872727272727273,65.4,17.6,50.7
Grovetown Elementary School,Columbia County,27,23,14,0,64,0.578125,980,15.3125,32.4,35.5,54.6
South Columbia Elementary School,Columbia County,12,16,11,0,39,0.6923076923076923,453,11.615384615384615,45.9,27.6,57.4
Cook County Middle School,Cook County,24,16,9,2,51,0.5294117647058824,794,15.568627450980392,49.1,34.9,100.0
Cook Elementary School,Cook County,22,18,8,0,48,0.5416666666666666,720,15.0,53.8,29.4,100.0
Cook High School,Cook County,21,30,11,0,62,0.6612903225806451,948,15.290322580645162,51.7,33.4,100.0
Cook Primary School,Cook County,32,14,14,0,60,0.4666666666666667,702,11.7,48.9,34.9,100.0
Arbor Springs Elementary,Coweta County,16,16,1,0,33,0.5151515151515151,407,12.333333333333334,70.0,11.1,29.0
Willis Road Elementary,Coweta County,13,25,10,2,50,0.74,764,15.28,72.3,7.3,25.5
Lee Middle School,Coweta County,13,26,17,0,56,0.7678571428571429,984,17.571428571428573,58.2,20.6,30.1
Brooks Elementary,Coweta County,13,18,12,3,46,0.717391304347826,737,16.02173913043478,71.5,11.4,27.3
White Oak Elementary School,Coweta County,32,33,18,1,84,0.6190476190476191,677,8.05952380952381,50.8,17.3,21.6
Canongate Elementary School,Coweta County,14,23,5,0,42,0.6666666666666666,635,15.119047619047619,70.7,6.0,18.7
Newnan Crossing Elementary School,Coweta County,17,24,15,1,57,0.7017543859649122,874,15.333333333333334,36.2,32.2,34.0
Jefferson Parkway Elementary School,Coweta County,11,23,8,0,42,0.7380952380952381,498,11.857142857142858,15.7,54.4,69.3
Northgate High School,Coweta County,26,49,19,6,100,0.74,1852,18.52,66.3,14.3,17.3
Poplar Road Elementary School,Coweta County,20,19,11,0,50,0.6,594,11.88,60.6,29.0,45.8
Welch Elementary School,Coweta County,26,22,10,0,58,0.5517241379310345,871,15.017241379310345,36.1,41.1,50.2
Glanton Elementary,Coweta County,11,6,7,0,24,0.5416666666666666,285,11.875,64.2,25.3,62.8
East Coweta Middle School,Coweta County,11,17,14,3,45,0.7555555555555555,824,18.31111111111111,68.2,19.4,36.5
Thomas Crossroads Elementary School,Coweta County,17,8,5,1,31,0.45161290322580644,397,12.806451612903226,73.6,8.8,23.7
Madras Middle School,Coweta County,24,32,9,0,65,0.6307692307692307,1182,18.184615384615384,64.7,17.1,23.8
Smokey Road Middle School,Coweta County,11,18,9,2,40,0.725,740,18.5,55.1,32.4,58.1
East Coweta High School,Coweta County,44,67,58,2,171,0.7426900584795322,3391,19.830409356725145,54.2,25.5,26.3
Arnall Middle School,Coweta County,23,25,12,1,61,0.6229508196721312,1016,16.65573770491803,36.7,35.2,42.1
Arnco-Sargent Elementary School,Coweta County,8,20,2,1,31,0.7419354838709677,394,12.709677419354838,63.2,15.2,61.7
Ruth Hill Elementary School,Coweta County,9,19,5,1,34,0.7352941176470589,369,10.852941176470589,34.4,48.2,66.1
Northside Elementary School,Coweta County,89,80,35,1,205,0.5658536585365853,441,2.151219512195122,27.0,45.6,100.0
Elm Street Elementary School,Coweta County,11,11,9,0,31,0.6451612903225806,489,15.774193548387096,55.2,27.8,42.1
Moreland Elementary School,Coweta County,6,15,13,0,34,0.8235294117647058,461,13.558823529411764,73.3,10.8,39.7
Newnan High School,Coweta County,41,63,29,3,136,0.6985294117647058,2411,17.727941176470587,57.5,27.9,38.6
Western Elementary School,Coweta County,12,10,8,1,31,0.6129032258064516,381,12.290322580645162,51.4,35.7,62.2
Crawford County High School,Crawford County,19,10,6,0,35,0.45714285714285713,525,15.0,72.2,19.6,57.5
Crawford County Middle School,Crawford County,14,12,2,1,29,0.5172413793103449,449,15.482758620689655,69.3,20.9,61.9
Crisp County Primary School,Crisp County,23,37,19,0,79,0.7088607594936709,1122,14.20253164556962,30.4,57.1,100.0
Crisp County High School,Crisp County,26,27,5,1,59,0.559322033898305,1118,18.949152542372882,34.3,55.5,100.0
Crisp County Middle School,Crisp County,24,13,19,0,56,0.5714285714285714,942,16.821428571428573,28.7,60.4,100.0
Crisp County Elementary School,Crisp County,18,7,12,1,38,0.5263157894736842,581,15.289473684210526,31.7,57.8,100.0
Dade Elementary School,Dade County,20,27,5,2,54,0.6296296296296297,689,12.75925925925926,92.3,0.6,57.5
Dade County High School,Dade County,17,20,5,2,44,0.6136363636363636,655,14.886363636363637,93.3,1.1,42.9
Dade Middle School,Dade County,12,20,4,0,36,0.6666666666666666,489,13.583333333333334,91.8,1.0,53.0
Kilough Elementary School,Dawson County,9,12,12,0,33,0.7272727272727273,389,11.787878787878787,75.1,1.8,44.0
Dawson County Middle School,Dawson County,11,15,11,0,37,0.7027027027027027,622,16.81081081081081,86.2,0.8,39.7
Dawson County Junior High,Dawson County,13,15,9,0,37,0.6486486486486487,621,16.783783783783782,83.6,0.6,37.0
Riverview Elementary School,Dawson County,12,15,8,1,36,0.6666666666666666,354,9.833333333333334,85.0,1.1,48.6
Robinson Elementary School,Dawson County,17,13,8,0,38,0.5526315789473685,574,15.105263157894736,90.1,0.2,41.6
Dawson County High School,Dawson County,21,21,17,0,59,0.6440677966101694,842,14.271186440677965,87.9,0.8,28.3
Black's Mill Elementary School,Dawson County,11,12,9,0,32,0.65625,400,12.5,79.8,2.3,40.3
West Bainbridge Elementary School,Decatur County,17,11,7,1,36,0.5277777777777778,500,13.88888888888889,31.6,54.0,100.0
New Beginning Learning Center,Decatur County,0,1,0,0,1,1.0,200,200.0,24.5,59.0,100.0
Potter Street Elementary School,Decatur County,12,10,3,1,26,0.5384615384615384,285,10.961538461538462,13.0,72.3,100.0
Bainbridge Middle School,Decatur County,16,20,9,4,49,0.673469387755102,713,14.551020408163266,37.6,46.3,100.0
Hutto Middle School,Decatur County,20,19,6,2,47,0.574468085106383,677,14.404255319148936,32.6,53.6,100.0
Bainbridge High School,Decatur County,30,35,15,4,84,0.6428571428571429,1458,17.357142857142858,37.8,47.9,100.0
John Johnson Elementary School,Decatur County,11,10,4,0,25,0.56,289,11.56,28.7,46.4,100.0
Jones-Wheat Elementary School,Decatur County,10,20,8,1,39,0.7435897435897436,587,15.051282051282051,35.9,49.2,100.0
Narvie Harris Elementary School,DeKalb County,11,21,5,1,38,0.7105263157894737,630,16.57894736842105,0.3,95.7,68.1
Wynbrooke Elementary School,DeKalb County,13,19,14,2,48,0.7291666666666666,725,15.104166666666666,0.0,95.0,61.7
"Martin Luther King, Jr. High School",DeKalb County,31,42,11,4,88,0.6477272727272727,1480,16.818181818181817,1.3,93.6,68.2
Miller Grove High School,DeKalb County,19,41,13,5,78,0.7564102564102564,1306,16.743589743589745,0.4,93.0,69.0
Flat Rock Elementary School,DeKalb County,25,29,4,3,61,0.5901639344262295,1007,16.508196721311474,0.8,92.6,100.0
Princeton Elementary School,DeKalb County,20,21,5,4,50,0.6,732,14.64,1.0,88.4,100.0
DeKalb Preparatory Academy Charter,DeKalb County,8,12,3,1,24,0.6666666666666666,581,24.208333333333332,0.2,96.4,78.1
Cedar Grove High School,DeKalb County,20,37,13,3,73,0.726027397260274,1160,15.89041095890411,0.9,93.4,100.0
Vanderlyn Elementary School,DeKalb County,21,24,3,0,48,0.5625,622,12.958333333333334,42.6,6.9,4.2
Austin Elementary School,DeKalb County,23,25,7,0,55,0.5818181818181818,717,13.036363636363637,54.0,3.6,4.7
Redan High School,DeKalb County,18,29,8,4,59,0.6949152542372882,951,16.11864406779661,1.1,89.6,66.7
Eldridge L. Miller Elementary School,DeKalb County,19,17,3,0,39,0.5128205128205128,512,13.128205128205128,1.8,84.6,100.0
Panola Way Elementary School,DeKalb County,19,23,6,2,50,0.62,754,15.08,0.1,92.8,100.0
Peachtree Middle School,DeKalb County,34,53,11,4,102,0.6666666666666666,1557,15.264705882352942,31.8,14.8,34.0
Pine Ridge Elementary School,DeKalb County,28,53,16,6,103,0.7281553398058253,565,5.485436893203883,75.4,10.4,27.4
Browns Mill Elementary School,DeKalb County,12,15,6,3,36,0.6666666666666666,409,11.36111111111111,1.0,90.2,100.0
Chapel Hill Middle School,DeKalb County,50,53,23,0,126,0.6031746031746031,1215,9.642857142857142,11.9,66.9,45.3
Marbut Elementary School,DeKalb County,17,16,7,0,40,0.575,525,13.125,0.2,95.6,80.2
Cedar Grove Middle School,DeKalb County,22,22,12,2,58,0.6206896551724138,880,15.172413793103448,0.5,93.8,100.0
Lithonia High School,DeKalb County,23,45,15,6,89,0.7415730337078652,1471,16.528089887640448,0.8,92.3,69.6
Lithonia Middle School,DeKalb County,20,33,11,5,69,0.7101449275362319,1321,19.144927536231883,0.6,90.6,100.0
Redan Middle School,DeKalb County,16,29,5,4,54,0.7037037037037037,815,15.092592592592593,0.6,88.8,100.0
Dunwoody Elementary School,DeKalb County,43,34,11,2,90,0.5222222222222223,977,10.855555555555556,33.4,16.9,11.7
Museum School Avondale Estates,DeKalb County,21,26,4,0,51,0.5882352941176471,597,11.705882352941176,52.6,31.7,28.3
Rockbridge Elementary School,DeKalb County,67,66,12,2,147,0.54421768707483,1254,8.53061224489796,1.6,12.2,87.9
Cedar Grove Elementary School,DeKalb County,19,17,6,1,43,0.5581395348837209,517,12.023255813953488,0.8,91.9,100.0
Stone Mountain High School,DeKalb County,22,35,9,3,69,0.6811594202898551,1305,18.91304347826087,1.5,78.2,100.0
Kittredge Magnet School,DeKalb County,12,20,3,1,36,0.6666666666666666,480,13.333333333333334,56.0,11.7,8.8
Salem Middle School,DeKalb County,29,27,10,3,69,0.5797101449275363,1146,16.608695652173914,0.4,93.8,100.0
Shadow Rock Elementary School,DeKalb County,13,26,5,0,44,0.7045454545454546,535,12.159090909090908,2.2,84.9,100.0
"Edward L. Bouie, Sr. Elementary School",DeKalb County,11,21,7,4,43,0.7441860465116279,609,14.162790697674419,0.0,95.6,70.6
Oakview Elementary,DeKalb County,22,26,6,2,56,0.6071428571428571,728,13.0,0.5,92.9,100.0
Wadsworth Magnet School for High Achievers,DeKalb County,4,2,8,0,14,0.7142857142857143,224,16.0,4.0,84.4,61.6
Leadership Preparatory Academy,DeKalb County,17,5,1,0,23,0.2608695652173913,366,15.91304347826087,0.0,95.9,67.5
GLOBE Academy Charter School I,DeKalb County,46,29,4,2,81,0.43209876543209874,1100,13.580246913580247,41.9,28.8,20.1
Tapestry Public Charter School,DeKalb County,16,12,0,0,28,0.42857142857142855,273,9.75,41.8,38.5,26.4
Fairington Elementary School,DeKalb County,22,10,8,2,42,0.47619047619047616,601,14.30952380952381,0.2,91.0,100.0
Stephenson Middle School,DeKalb County,20,30,10,4,64,0.6875,1001,15.640625,1.2,89.3,67.6
