School Year,System ID,System Name,School ID,School Name,Grade Configuration,Grade Cluster,Number of Students Enrolled,Number of Schools,Title I Status,Title I Schools,Asian/Pacific Islander,American Indian/Alaskan,Black,Hispanic,Multi-Racial,White,Economically Disadvantaged,English Learners,Students with Disability
2021,606,Banks County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,2888,4,NA,75.00%,0.8%,0.0%,1.9%,10.0%,3.6%,83.7%,52.8%,5.5%,16.2%
2021,607,Barrow County,0101,Apalachee High School,"09, 10, 11, 12",ALL,2055,NA,N,NA,3.8%,0.2%,16.1%,21.5%,5.4%,53.0%,34.9%,6.5%,15.5%
2021,607,Barrow County,0105,County Line Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,576,NA,Y,NA,5.0%,0.2%,6.1%,21.5%,8.2%,59.0%,47.6%,17.0%,20.8%
2021,607,Barrow County,0106,Haymon-Morris Middle School,"06, 07, 08",ALL,912,NA,Y,NA,3.6%,0.3%,17.8%,23.5%,4.8%,50.0%,50.4%,15.6%,16.7%
2021,607,Barrow County,0114,Bear Creek Middle School,"06, 07, 08",ALL,732,NA,Y,NA,4.6%,0.3%,15.3%,21.0%,3.6%,55.2%,51.8%,14.3%,20.4%
2021,607,Barrow County,0189,Kennedy Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,925,NA,Y,NA,4.0%,0.0%,22.1%,27.8%,6.7%,39.5%,58.3%,20.0%,15.4%
2021,607,Barrow County,0193,Bramlett Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,667,NA,Y,NA,6.9%,0.0%,4.8%,20.2%,5.8%,62.2%,34.0%,18.0%,16.8%
2021,607,Barrow County,0198,Westside Middle School,"06, 07, 08",ALL,815,NA,Y,NA,4.3%,0.1%,16.8%,24.3%,6.4%,48.1%,57.8%,14.7%,17.8%
2021,607,Barrow County,0205,Bethlehem Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,739,NA,Y,NA,3.8%,0.0%,8.5%,23.3%,5.5%,58.9%,50.6%,16.1%,17.1%
2021,607,Barrow County,0289,Russell Middle School,"06, 07, 08",ALL,1012,NA,Y,NA,6.1%,0.4%,12.4%,20.6%,5.3%,55.2%,49.4%,12.9%,17.2%
2021,607,Barrow County,0298,Yargo Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,895,NA,Y,NA,3.1%,0.0%,19.6%,22.6%,7.3%,47.5%,54.7%,19.1%,14.1%
2021,607,Barrow County,0299,Winder Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,621,NA,Y,NA,5.2%,0.2%,20.6%,19.5%,9.5%,45.1%,55.9%,12.4%,16.1%
2021,607,Barrow County,0300,Barrow Arts and Sciences Academy,"08, 09, 10",ALL,645,NA,N,NA,5.0%,0.2%,12.2%,18.3%,6.2%,58.1%,38.8%,2.5%,8.7%
2021,607,Barrow County,1050,Auburn Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,698,NA,Y,NA,5.3%,0.0%,8.2%,24.8%,6.3%,55.4%,58.2%,16.9%,16.5%
2021,607,Barrow County,3052,Winder-Barrow High School,"09, 10, 11, 12",ALL,2041,NA,N,NA,4.9%,0.2%,14.7%,20.0%,3.8%,56.3%,30.3%,4.8%,14.3%
2021,607,Barrow County,4050,Holsenbeck Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,704,NA,Y,NA,4.8%,0.1%,8.1%,23.4%,7.0%,56.5%,48.7%,16.5%,15.6%
2021,607,Barrow County,5050,Statham Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,743,NA,Y,NA,3.8%,0.0%,14.3%,18.3%,7.0%,56.7%,55.3%,13.7%,19.2%
2021,607,Barrow County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,14780,16,NA,81.30%,4.6%,0.1%,14.2%,21.8%,5.8%,53.4%,46.0%,12.5%,16.1%
2021,608,Bartow County,0101,Woodland Middle School at Euharlee,"06, 07, 08",ALL,790,NA,Y,NA,0.0%,0.4%,7.0%,10.4%,5.4%,76.8%,59.4%,3.7%,15.1%
2021,608,Bartow County,0104,Clear Creek Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,603,NA,Y,NA,0.5%,0.2%,3.2%,10.0%,3.5%,82.8%,56.1%,4.8%,15.1%
2021,608,Bartow County,0105,Adairsville High School,"09, 10, 11, 12",ALL,1076,NA,N,NA,0.7%,0.2%,5.1%,8.8%,4.4%,80.8%,54.2%,2.2%,13.5%
2021,608,Bartow County,0106,Pine Log Elementary,"PK, KK, 01, 02, 03, 04, 05",ALL,397,NA,Y,NA,0.0%,0.3%,1.0%,7.1%,3.3%,88.4%,52.9%,4.3%,16.4%
2021,608,Bartow County,0107,Euharlee Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,470,NA,Y,NA,0.2%,0.0%,6.4%,11.3%,5.1%,77.0%,54.9%,3.2%,18.1%
2021,608,Bartow County,0114,Cass High School,"09, 10, 11, 12",ALL,1586,NA,N,NA,2.4%,0.1%,15.0%,19.2%,4.5%,58.8%,61.0%,5.1%,12.6%
2021,608,Bartow County,0115,Cloverleaf Elementary,"PK, KK, 01, 02, 03, 04, 05",ALL,669,NA,Y,NA,1.9%,0.0%,19.6%,16.4%,7.5%,54.6%,67.0%,11.2%,10.2%
2021,608,Bartow County,0175,White Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,579,NA,Y,NA,1.7%,0.2%,13.8%,14.0%,7.3%,63.0%,60.3%,8.5%,12.8%
2021,608,Bartow County,0177,Adairsville Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,765,NA,Y,NA,0.5%,0.0%,8.2%,9.9%,6.9%,74.4%,54.0%,5.0%,13.7%
2021,608,Bartow County,0186,Mission Road Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,451,NA,Y,NA,0.7%,0.4%,7.8%,14.9%,5.1%,71.2%,62.3%,6.9%,17.5%
2021,608,Bartow County,0190,Red Top Middle School,"06, 07, 08",ALL,715,NA,Y,NA,1.1%,0.1%,14.0%,26.0%,4.3%,54.4%,75.4%,15.7%,17.1%
2021,608,Bartow County,0195,Cass Middle School,"06, 07, 08",ALL,1026,NA,Y,NA,1.9%,0.1%,14.1%,20.2%,5.6%,58.2%,61.7%,11.7%,13.4%
2021,608,Bartow County,0196,Allatoona Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,418,NA,Y,NA,0.5%,0.0%,4.3%,39.5%,6.2%,49.5%,64.6%,32.3%,13.4%
2021,608,Bartow County,0198,Woodland High School,"09, 10, 11, 12",ALL,1556,NA,N,NA,0.3%,0.2%,7.8%,14.4%,4.2%,73.1%,54.1%,2.3%,11.4%
2021,608,Bartow County,0296,Kingston Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,519,NA,Y,NA,1.0%,0.2%,17.0%,28.7%,5.6%,47.6%,64.4%,19.3%,15.6%
2021,608,Bartow County,0301,Adairsville Middle School,"06, 07, 08",ALL,865,NA,Y,NA,0.7%,0.1%,5.1%,6.6%,4.2%,83.4%,56.5%,3.6%,15.4%
2021,608,Bartow County,0377,Hamilton Crossing Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,558,NA,Y,NA,2.7%,1.1%,8.4%,24.0%,6.3%,57.5%,48.9%,19.5%,16.1%
2021,608,Bartow County,0396,Taylorsville Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,511,NA,Y,NA,0.0%,0.6%,5.3%,10.6%,4.7%,78.9%,42.1%,5.3%,11.0%
2021,608,Bartow County,2052,Emerson Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,393,NA,Y,NA,0.5%,0.0%,6.1%,16.8%,3.3%,73.3%,72.3%,9.9%,17.0%
2021,608,Bartow County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,13947,19,NA,84.20%,1.0%,0.2%,9.5%,15.8%,5.0%,68.5%,58.8%,7.9%,14.0%
2021,609,Ben Hill County,0111,Ben Hill Elementary School,"03, 04, 05",ALL,665,NA,Y,NA,0.5%,0.0%,43.0%,11.3%,2.7%,42.6%,100.0%,8.3%,11.0%
2021,609,Ben Hill County,0196,Ben Hill County Primary School,"PK, KK, 01, 02",ALL,706,NA,Y,NA,0.3%,0.0%,44.1%,9.2%,2.7%,43.8%,100.0%,5.1%,14.9%
2021,609,Ben Hill County,0291,Fitzgerald High School,"09, 10, 11, 12",ALL,828,NA,Y,NA,0.6%,0.0%,44.7%,15.5%,2.9%,36.4%,100.0%,1.6%,14.4%
2021,609,Ben Hill County,0296,Ben Hill County Middle School,"06, 07, 08",ALL,782,NA,Y,NA,0.6%,0.0%,42.3%,13.4%,3.2%,40.4%,100.0%,4.7%,11.8%
2021,609,Ben Hill County,0392,Hurricane Transition Academy,"08, 09, 10, 11, 12",ALL,83,NA,N,NA,0.0%,0.0%,50.6%,6.0%,4.8%,38.6%,100.0%,1.2%,12.0%
2021,609,Ben Hill County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,3064,5,NA,80.00%,0.5%,0.0%,43.7%,12.3%,2.9%,40.5%,100.0%,4.6%,13.0%
2021,610,Berrien County,0101,Berrien High School,"09, 10, 11, 12",ALL,881,NA,N,NA,0.6%,0.2%,13.7%,10.1%,2.6%,72.8%,41.0%,0.9%,10.6%
2021,610,Berrien County,0106,Berrien Academy Performance Learning Center,"09, 10, 11, 12",ALL,75,NA,N,NA,0.0%,0.0%,6.7%,5.3%,0.0%,88.0%,38.7%,0.0%,6.7%
2021,610,Berrien County,0194,Berrien Middle School,"06, 07, 08",ALL,778,NA,Y,NA,0.5%,0.3%,12.1%,9.5%,4.0%,73.7%,50.8%,4.0%,11.6%
2021,610,Berrien County,0195,Berrien Elementary School,"03, 04, 05",ALL,710,NA,Y,NA,0.4%,0.3%,13.9%,7.3%,6.5%,71.5%,100.0%,4.4%,11.3%
2021,610,Berrien County,5050,Berrien Primary School,"PK, KK, 01, 02",ALL,727,NA,Y,NA,0.6%,0.1%,14.3%,7.7%,6.7%,70.6%,100.0%,3.0%,11.3%
2021,610,Berrien County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,3171,5,NA,60.00%,0.5%,0.2%,13.3%,8.7%,4.7%,72.6%,70.1%,2.9%,11.0%
2021,611,Bibb County,0103,Skyview Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,402,NA,Y,NA,1.0%,0.0%,37.1%,5.5%,6.7%,49.8%,100.0%,1.5%,11.4%
2021,611,Bibb County,0104,Burdell Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,477,NA,Y,NA,0.2%,0.0%,93.5%,3.1%,0.4%,2.7%,100.0%,2.7%,11.1%
2021,611,Bibb County,0105,Howard High School,"09, 10, 11, 12",ALL,1305,NA,Y,NA,3.8%,0.2%,66.4%,6.8%,3.8%,19.0%,100.0%,3.0%,14.2%
2021,611,Bibb County,0108,Ballard Hudson Middle School,"06, 07, 08",ALL,889,NA,Y,NA,0.1%,0.0%,92.8%,2.5%,1.9%,2.7%,100.0%,1.1%,14.8%
