School Year,System ID,System Name,School ID,School Name,Grade Configuration,Grade Cluster,Number of Students Enrolled,Number of Schools,Title I Status,Title I Schools,Asian/Pacific Islander,American Indian/Alaskan,Black,Hispanic,Multi-Racial,White,Economically Disadvantaged,English Learners,Students with Disability
2021,631,Clayton County,0290,Mount Zion High School,"09, 10, 11, 12",ALL,1431,NA,Y,NA,3.0%,0.3%,70.8%,21.1%,3.0%,1.8%,100.0%,6.6%,12.8%
2021,631,Clayton County,0295,Lake Ridge Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,591,NA,Y,NA,2.9%,0.3%,68.5%,25.9%,1.5%,0.8%,100.0%,23.7%,8.8%
2021,631,Clayton County,0304,James Jackson Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,574,NA,Y,NA,3.0%,0.0%,78.4%,14.5%,2.3%,1.9%,100.0%,7.0%,8.5%
2021,631,Clayton County,0305,Kemp Elem School,"03, 04, 05",ALL,707,NA,Y,NA,1.3%,0.4%,79.3%,13.4%,3.8%,1.7%,100.0%,10.7%,11.0%
2021,631,Clayton County,0307,Unidos Dual Language School,"PK, KK, 01, 02, 03, 04, 05",ALL,412,NA,Y,NA,0.2%,0.0%,37.4%,58.0%,2.7%,1.7%,100.0%,46.1%,4.6%
2021,631,Clayton County,0377,Riverdale High School,"09, 10, 11, 12",ALL,1403,NA,Y,NA,3.1%,0.1%,77.1%,17.3%,1.3%,1.1%,100.0%,6.6%,14.6%
2021,631,Clayton County,0378,Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning,"07, 09, 10, 11, 12",ALL,1168,NA,Y,NA,1.7%,0.1%,68.9%,23.7%,2.1%,3.4%,100.0%,5.3%,12.4%
2021,631,Clayton County,0379,Michelle Obama STEM Elementary Academy,"PK, KK, 01, 02, 03, 04, 05",ALL,749,NA,Y,NA,1.7%,0.4%,77.8%,15.6%,2.1%,2.3%,100.0%,9.6%,9.2%
2021,631,Clayton County,0380,Kay R Pace Elementary School of the Arts,"KK, 01, 02, 03, 04, 05",ALL,485,NA,Y,NA,1.6%,0.2%,81.9%,9.3%,5.6%,1.4%,100.0%,3.5%,4.3%
2021,631,Clayton County,0381,7 Pillars Career Academy,"06, 07",ALL,99,NA,Y,NA,0.0%,0.0%,86.9%,7.1%,5.1%,1.0%,0.0%,6.1%,20.2%
2021,631,Clayton County,0382,Utopian Academy for the Arts Elementary School,"KK, 01",ALL,150,NA,Y,NA,0.0%,0.7%,86.7%,7.3%,3.3%,2.0%,0.0%,5.3%,7.3%
2021,631,Clayton County,1050,Anderson Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,518,NA,Y,NA,0.6%,0.2%,56.4%,38.6%,2.1%,2.1%,100.0%,27.6%,11.2%
2021,631,Clayton County,1052,East Clayton Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,616,NA,Y,NA,2.9%,0.2%,79.5%,12.7%,3.2%,1.5%,100.0%,9.3%,9.3%
2021,631,Clayton County,1054,Forest Park High School,"09, 10, 11, 12",ALL,1865,NA,Y,NA,7.2%,0.3%,42.8%,45.4%,1.6%,2.7%,100.0%,17.2%,13.0%
2021,631,Clayton County,1056,Jonesboro High School,"09, 10, 11, 12",ALL,1458,NA,Y,NA,3.4%,0.4%,66.5%,23.0%,3.4%,3.3%,100.0%,6.8%,15.4%
2021,631,Clayton County,1058,Lee Street Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,562,NA,Y,NA,0.7%,0.2%,74.0%,20.3%,3.4%,1.4%,100.0%,17.1%,9.1%
2021,631,Clayton County,1060,Northcutt Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,648,NA,Y,NA,2.3%,0.6%,82.1%,11.7%,3.1%,0.2%,100.0%,11.4%,8.8%
2021,631,Clayton County,1062,Tara Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,637,NA,Y,NA,0.9%,0.2%,66.6%,28.6%,2.0%,1.7%,100.0%,21.2%,8.0%
2021,631,Clayton County,1550,Arnold Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,493,NA,Y,NA,5.3%,0.4%,65.5%,15.2%,8.3%,5.3%,100.0%,10.3%,12.2%
2021,631,Clayton County,2052,North Clayton High School,"09, 10, 11, 12",ALL,1257,NA,Y,NA,2.0%,0.1%,86.2%,10.4%,1.0%,0.2%,100.0%,5.5%,14.8%
2021,631,Clayton County,2054,Forest Park Middle School,"06, 07, 08",ALL,774,NA,Y,NA,1.7%,0.0%,51.9%,40.8%,2.1%,3.5%,100.0%,30.2%,15.6%
2021,631,Clayton County,2058,Morrow Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,518,NA,Y,NA,15.3%,0.6%,47.3%,31.5%,4.2%,1.2%,100.0%,36.9%,10.2%
2021,631,Clayton County,2060,Riverdale Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,704,NA,Y,NA,3.1%,0.1%,68.0%,25.6%,2.6%,0.6%,100.0%,19.7%,7.2%
2021,631,Clayton County,2062,West Clayton Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,513,NA,Y,NA,0.2%,0.2%,92.6%,5.1%,1.6%,0.4%,100.0%,4.5%,6.2%
2021,631,Clayton County,2554,Fountain Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,609,NA,Y,NA,0.8%,0.5%,54.8%,39.4%,2.1%,2.3%,100.0%,35.0%,10.3%
2021,631,Clayton County,3050,Babb Middle School,"06, 07, 08",ALL,1033,NA,Y,NA,7.3%,0.3%,39.1%,47.8%,2.5%,3.0%,100.0%,34.1%,10.9%
2021,631,Clayton County,3052,North Clayton Middle School,"06, 07, 08",ALL,956,NA,Y,NA,2.5%,0.3%,85.7%,9.5%,1.6%,0.4%,100.0%,8.3%,12.8%
2021,631,Clayton County,3054,Haynie Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,890,NA,Y,NA,6.7%,0.0%,38.1%,50.8%,3.0%,1.3%,100.0%,44.4%,6.0%
2021,631,Clayton County,3060,Riverdale Middle School,"06, 07, 08",ALL,785,NA,Y,NA,2.9%,0.6%,75.9%,17.2%,2.4%,0.9%,100.0%,10.6%,15.0%
2021,631,Clayton County,4050,Church Street Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,789,NA,Y,NA,3.5%,0.1%,80.1%,13.3%,2.0%,0.9%,100.0%,12.4%,9.0%
2021,631,Clayton County,4056,Lake City Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,501,NA,Y,NA,15.2%,0.0%,39.7%,41.3%,2.6%,1.2%,100.0%,45.5%,7.8%
2021,631,Clayton County,4058,Morrow High School,"09, 10, 11, 12",ALL,1930,NA,Y,NA,10.8%,0.3%,66.1%,18.4%,2.6%,1.9%,100.0%,7.1%,13.6%
2021,631,Clayton County,4060,Suder Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,596,NA,Y,NA,3.2%,0.0%,71.8%,18.3%,4.2%,2.5%,100.0%,10.9%,13.3%
2021,631,Clayton County,5052,Edmonds Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,476,NA,Y,NA,1.3%,0.2%,53.8%,39.5%,2.1%,3.2%,100.0%,30.0%,8.6%
2021,631,Clayton County,5054,Huie Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,713,NA,Y,NA,1.1%,0.1%,59.7%,33.9%,2.7%,2.4%,100.0%,24.5%,8.6%
2021,631,Clayton County,5056,William M. McGarrah Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,669,NA,Y,NA,9.1%,1.3%,64.7%,19.7%,2.5%,2.5%,100.0%,19.7%,9.7%
2021,631,Clayton County,5060,Swint Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,673,NA,Y,NA,1.0%,0.0%,73.4%,22.9%,1.3%,1.3%,100.0%,17.2%,8.2%
2021,631,Clayton County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,55318,67,NA,100.00%,3.3%,0.2%,69.5%,22.5%,2.7%,1.8%,99.5%,13.8%,11.2%
2021,632,Clinch County,0101,Clinch County Elementary School,"PK, KK, 01, 02, 03, 04",ALL,520,NA,Y,NA,0.4%,0.8%,33.5%,9.8%,7.5%,48.1%,100.0%,5.0%,11.3%
2021,632,Clinch County,0201,Clinch County Middle School,"05, 06, 07",ALL,322,NA,Y,NA,0.6%,0.3%,35.7%,5.9%,4.7%,52.8%,100.0%,2.5%,14.9%
2021,632,Clinch County,1050,Clinch County High School,"08, 09, 10, 11, 12",ALL,465,NA,N,NA,0.4%,0.6%,33.8%,5.4%,6.0%,53.8%,67.7%,0.9%,14.4%
2021,632,Clinch County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,1307,3,NA,66.70%,0.5%,0.6%,34.1%,7.3%,6.3%,51.3%,88.5%,2.9%,13.3%
2021,633,Cobb County,0101,Kennesaw Mountain High School,"09, 10, 11, 12",ALL,1855,NA,N,NA,7.7%,0.3%,28.9%,19.5%,4.3%,39.3%,100.0%,4.9%,12.2%
2021,633,Cobb County,0102,City View Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1043,NA,Y,NA,0.1%,0.1%,45.1%,51.0%,1.8%,1.9%,99.9%,45.9%,9.0%
2021,633,Cobb County,0103,Kell High School,"09, 10, 11, 12",ALL,1543,NA,N,NA,2.9%,0.2%,22.6%,19.6%,5.3%,49.4%,100.0%,4.2%,17.1%
2021,633,Cobb County,0104,Bullard Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,777,NA,N,NA,5.1%,0.3%,17.6%,15.7%,5.0%,56.2%,99.9%,8.8%,16.2%
2021,633,Cobb County,0107,McCall Primary School,"PK, KK, 01",ALL,326,NA,Y,NA,0.9%,0.0%,36.5%,26.4%,8.9%,27.3%,100.0%,19.6%,18.7%
2021,633,Cobb County,0109,Pickett's Mill Elementary,"PK, KK, 01, 02, 03, 04, 05",ALL,711,NA,N,NA,2.8%,0.6%,11.4%,14.8%,5.5%,65.0%,99.7%,7.5%,15.6%
2021,633,Cobb County,0114,East Side Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1190,NA,N,NA,28.1%,0.3%,5.0%,7.3%,3.7%,55.7%,100.0%,10.3%,13.4%
2021,633,Cobb County,0117,Clarkdale Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,792,NA,Y,NA,0.9%,0.1%,54.9%,32.2%,5.1%,6.8%,100.0%,25.8%,14.8%
2021,633,Cobb County,0118,Mableton Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1088,NA,Y,NA,0.2%,0.3%,32.1%,50.8%,4.4%,12.2%,100.0%,40.3%,14.2%
2021,633,Cobb County,0173,Birney Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,762,NA,Y,NA,2.9%,0.3%,41.2%,48.6%,2.1%,5.0%,100.0%,39.8%,10.0%
2021,633,Cobb County,0175,Walton High School,"09, 10, 11, 12",ALL,2754,NA,N,NA,20.3%,0.1%,5.7%,6.9%,3.2%,63.8%,100.0%,2.7%,10.7%
2021,633,Cobb County,0178,Mabry Middle School,"06, 07, 08",ALL,943,NA,N,NA,6.6%,0.2%,7.6%,9.3%,6.5%,69.8%,100.0%,4.3%,13.7%
2021,633,Cobb County,0180,Still Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,763,NA,N,NA,3.5%,0.1%,30.8%,13.5%,6.2%,45.9%,99.9%,8.0%,16.1%
2021,633,Cobb County,0181,Tritt Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,846,NA,N,NA,4.4%,0.0%,3.8%,9.5%,5.0%,77.4%,99.9%,3.7%,15.4%
2021,633,Cobb County,0184,McCleskey Middle School,"06, 07, 08",ALL,720,NA,N,NA,2.5%,0.3%,17.5%,19.0%,6.4%,54.3%,99.9%,11.4%,22.4%
2021,633,Cobb County,0185,Garrison Mill Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,659,NA,N,NA,5.6%,0.8%,7.6%,7.6%,5.6%,72.8%,100.0%,4.9%,13.4%
2021,633,Cobb County,0187,Keheley Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,431,NA,N,NA,3.5%,0.0%,11.8%,15.8%,6.0%,62.9%,100.0%,9.0%,19.0%
2021,633,Cobb County,0188,Pope High School,"09, 10, 11, 12",ALL,1897,NA,N,NA,6.7%,0.2%,6.4%,8.2%,3.3%,75.2%,100.0%,2.0%,12.9%
2021,633,Cobb County,0189,Baker Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,849,NA,N,NA,6.8%,0.2%,35.3%,19.7%,7.4%,30.5%,99.9%,16.5%,14.8%
2021,633,Cobb County,0190,Dowell Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,951,NA,Y,NA,2.4%,0.3%,39.5%,39.3%,5.5%,12.9%,100.0%,33.8%,12.4%
2021,633,Cobb County,0191,Varner Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,873,NA,Y,NA,2.1%,0.0%,60.8%,16.6%,5.0%,15.5%,100.0%,9.9%,17.1%
2021,633,Cobb County,0192,Harrison High School,"09, 10, 11, 12",ALL,2299,NA,N,NA,3.2%,0.3%,13.4%,6.9%,3.1%,73.1%,100.0%,0.9%,10.0%
2021,633,Cobb County,0194,Hayes Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,948,NA,N,NA,6.0%,0.2%,39.2%,21.6%,5.8%,27.1%,99.8%,13.8%,16.0%
2021,633,Cobb County,0197,Vaughan Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,678,NA,N,NA,3.4%,0.1%,19.0%,9.1%,6.2%,62.1%,100.0%,4.4%,15.6%
2021,633,Cobb County,0198,Chalker Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,682,NA,N,NA,3.7%,0.0%,28.9%,17.6%,7.3%,42.5%,100.0%,9.8%,13.5%
2021,633,Cobb County,0199,Nickajack Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1209,NA,N,NA,4.0%,0.5%,55.9%,9.6%,7.8%,22.2%,100.0%,6.1%,11.7%
2021,633,Cobb County,0202,Lindley Middle School,"06, 07, 08",ALL,1310,NA,Y,NA,0.5%,0.1%,55.0%,38.9%,2.5%,3.1%,100.0%,25.0%,13.8%
2021,633,Cobb County,0203,Kemp Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,906,NA,N,NA,3.1%,0.1%,26.7%,9.1%,7.6%,53.4%,100.0%,4.0%,9.2%
2021,633,Cobb County,0204,Pitner Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,821,NA,N,NA,3.4%,0.2%,29.6%,20.3%,8.4%,38.0%,100.0%,10.4%,19.6%
2021,633,Cobb County,0207,Austell Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,466,NA,Y,NA,0.4%,0.0%,56.7%,28.5%,6.0%,8.4%,100.0%,21.0%,13.7%
2021,633,Cobb County,0209,Allatoona High School,"09, 10, 11, 12",ALL,1875,NA,N,NA,3.6%,0.3%,18.8%,12.3%,4.4%,60.7%,100.0%,3.1%,15.4%
2021,633,Cobb County,0214,Smyrna Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,997,NA,Y,NA,3.5%,0.2%,39.9%,28.6%,6.4%,21.4%,100.0%,23.9%,13.6%
2021,633,Cobb County,0273,Kincaid Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,638,NA,N,NA,10.5%,0.2%,11.8%,19.1%,6.3%,52.2%,100.0%,15.2%,16.3%
2021,633,Cobb County,0275,Dodgen Middle School,"06, 07, 08",ALL,1271,NA,N,NA,23.4%,0.2%,5.1%,7.0%,3.8%,60.6%,100.0%,4.7%,11.8%
2021,633,Cobb County,0278,Mount Bethel Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1000,NA,N,NA,17.4%,0.0%,1.8%,5.5%,3.7%,71.6%,100.0%,5.9%,14.4%
2021,633,Cobb County,0280,Pine Mountain Middle School,"06, 07, 08",ALL,716,NA,N,NA,5.3%,0.1%,38.7%,20.8%,5.2%,29.9%,100.0%,12.0%,13.5%
2021,633,Cobb County,0281,Dickerson Middle School,"06, 07, 08",ALL,1324,NA,N,NA,22.4%,0.3%,5.4%,6.0%,3.3%,62.6%,100.0%,5.5%,13.2%
2021,633,Cobb County,0287,Lewis Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,581,NA,N,NA,4.5%,0.0%,24.3%,22.2%,8.3%,40.8%,100.0%,16.5%,18.4%
2021,633,Cobb County,0288,Mountain View Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,804,NA,N,NA,13.9%,0.1%,6.8%,12.1%,6.2%,60.8%,100.0%,9.1%,14.2%
2021,633,Cobb County,0289,Addison Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,626,NA,N,NA,7.7%,0.3%,15.7%,20.6%,7.0%,48.7%,99.8%,13.4%,13.9%
2021,633,Cobb County,0290,Campbell Middle School,"06, 07, 08",ALL,1769,NA,Y,NA,3.5%,0.3%,46.2%,37.5%,3.3%,9.2%,99.9%,26.0%,12.6%
2021,633,Cobb County,0291,Shallowford Falls Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,604,NA,N,NA,10.1%,0.0%,8.6%,8.4%,5.3%,67.5%,100.0%,5.1%,19.4%
2021,633,Cobb County,0292,Ford Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,835,NA,N,NA,5.1%,0.1%,10.5%,6.6%,4.2%,73.4%,100.0%,3.5%,15.2%
2021,633,Cobb County,0294,Smitha Middle School,"06, 07, 08",ALL,1078,NA,Y,NA,1.3%,0.1%,30.9%,59.5%,2.9%,5.4%,100.0%,43.5%,18.1%
2021,633,Cobb County,0297,Frey Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,781,NA,N,NA,3.8%,0.3%,18.4%,10.2%,7.3%,59.9%,100.0%,7.2%,17.7%
2021,633,Cobb County,0298,Cheatham Hill Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1070,NA,N,NA,3.5%,0.0%,23.2%,25.5%,6.0%,41.9%,99.9%,15.9%,16.2%
2021,633,Cobb County,0299,Durham Middle School,"06, 07, 08",ALL,1121,NA,N,NA,2.9%,0.4%,14.9%,8.5%,4.7%,68.5%,100.0%,3.8%,12.1%
2021,633,Cobb County,0302,Acworth Intermediate School,"02, 03, 04, 05",ALL,622,NA,Y,NA,2.7%,0.2%,36.8%,24.0%,7.9%,28.5%,100.0%,21.5%,15.1%
2021,633,Cobb County,0307,Riverside Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,611,NA,Y,NA,0.3%,0.2%,65.0%,29.0%,3.4%,2.1%,100.0%,26.4%,10.5%
2021,633,Cobb County,0309,Lindley 6th Grade Academy,06,ALL,643,NA,Y,NA,0.3%,0.0%,55.2%,41.1%,1.6%,1.9%,100.0%,35.3%,14.2%
2021,633,Cobb County,0373,Sprayberry High School,"09, 10, 11, 12",ALL,1938,NA,N,NA,7.8%,0.4%,27.9%,24.4%,4.2%,35.3%,99.9%,9.6%,15.3%
2021,633,Cobb County,0375,Murdock Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,948,NA,N,NA,19.0%,0.6%,6.4%,8.5%,4.4%,61.0%,99.7%,9.7%,10.5%
2021,633,Cobb County,0378,Rocky Mount Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,563,NA,N,NA,11.4%,0.0%,9.1%,13.3%,6.2%,60.0%,100.0%,8.9%,13.0%
2021,633,Cobb County,0381,Lassiter High School,"09, 10, 11, 12",ALL,2020,NA,N,NA,7.2%,0.1%,7.3%,11.1%,5.2%,69.0%,100.0%,1.9%,11.5%
2021,633,Cobb County,0388,Davis Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,600,NA,N,NA,8.7%,0.2%,6.7%,9.8%,5.5%,69.2%,100.0%,5.8%,14.7%
2021,633,Cobb County,0389,Simpson Middle School,"06, 07, 08",ALL,933,NA,N,NA,11.7%,0.1%,10.9%,13.3%,5.0%,58.9%,100.0%,7.5%,17.5%
2021,633,Cobb County,0391,Nicholson Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,448,NA,N,NA,1.1%,0.2%,14.5%,24.3%,7.1%,52.7%,100.0%,13.4%,21.9%
2021,633,Cobb County,0394,Hightower Trail Middle School,"06, 07, 08",ALL,1065,NA,N,NA,11.6%,0.2%,6.4%,8.3%,4.5%,69.0%,99.9%,3.6%,15.1%
2021,633,Cobb County,0397,Green Acres Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,642,NA,Y,NA,0.2%,0.2%,19.9%,73.2%,2.0%,4.5%,100.0%,64.3%,6.7%
2021,633,Cobb County,0398,Sanders Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,765,NA,Y,NA,1.7%,0.1%,62.7%,25.1%,4.2%,6.1%,100.0%,14.0%,14.1%
2021,633,Cobb County,0399,Blackwell Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,694,NA,N,NA,7.3%,0.3%,20.7%,21.8%,6.8%,43.1%,100.0%,17.6%,17.4%
2021,633,Cobb County,0402,Hendricks Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,598,NA,Y,NA,1.3%,0.7%,58.9%,22.9%,4.7%,11.5%,100.0%,19.2%,14.2%
2021,633,Cobb County,0404,Kennesaw Elementary School,"PK, KK, 01, 02",ALL,649,NA,N,NA,3.1%,0.0%,31.0%,19.6%,8.5%,37.9%,99.8%,10.2%,16.2%
2021,633,Cobb County,0407,Barber Middle School,"06, 07, 08",ALL,970,NA,N,NA,3.6%,0.1%,39.8%,23.3%,6.0%,27.2%,100.0%,14.4%,18.9%
2021,633,Cobb County,0475,Tapp Middle School,"06, 07, 08",ALL,964,NA,Y,NA,0.9%,0.3%,60.3%,25.4%,4.3%,8.8%,100.0%,14.5%,19.3%
2021,633,Cobb County,0478,Sope Creek Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1050,NA,N,NA,27.7%,0.4%,6.0%,6.9%,4.4%,54.7%,100.0%,7.5%,10.6%
2021,633,Cobb County,0489,Powder Springs Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,840,NA,Y,NA,0.6%,0.4%,64.6%,20.7%,7.0%,6.7%,99.9%,12.9%,12.3%
2021,633,Cobb County,0491,Timber Ridge Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,499,NA,N,NA,14.2%,0.0%,4.8%,9.6%,3.8%,67.5%,100.0%,10.0%,18.0%
2021,633,Cobb County,0499,Lost Mountain Middle School,"06, 07, 08",ALL,1072,NA,N,NA,4.3%,0.2%,19.0%,7.7%,5.5%,63.2%,100.0%,3.1%,12.1%
2021,633,Cobb County,0502,Cooper Middle School,"06, 07, 08",ALL,1126,NA,Y,NA,1.2%,0.2%,66.4%,22.0%,3.2%,7.0%,99.8%,13.0%,13.9%
2021,633,Cobb County,0504,Big Shanty Elementary School,"03, 04, 05",ALL,561,NA,N,NA,4.8%,0.4%,32.8%,22.1%,6.6%,33.3%,100.0%,18.5%,17.5%
2021,633,Cobb County,0507,McClure Middle School,"06, 07, 08",ALL,1078,NA,N,NA,4.5%,0.3%,17.0%,14.7%,5.0%,58.4%,100.0%,7.1%,16.8%
2021,633,Cobb County,0592,Bryant Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,957,NA,Y,NA,0.1%,0.4%,59.7%,34.7%,3.2%,1.9%,100.0%,28.4%,11.4%
2021,633,Cobb County,0602,Palmer Middle School,"06, 07, 08",ALL,935,NA,N,NA,4.0%,0.1%,29.0%,22.7%,6.6%,37.6%,100.0%,13.5%,15.8%
2021,633,Cobb County,0607,Lovinggood Middle School,"06, 07, 08",ALL,1387,NA,N,NA,4.3%,0.1%,34.8%,14.9%,5.0%,41.0%,100.0%,6.5%,11.5%
2021,633,Cobb County,0707,Hillgrove High School,"09, 10, 11, 12",ALL,2345,NA,N,NA,4.0%,0.3%,33.4%,12.6%,4.8%,44.8%,100.0%,1.9%,10.6%
2021,633,Cobb County,0807,Devereux Ackerman Academy,"05, 06, 07, 08, 09, 10, 11, 12",ALL,150,NA,Y,NA,0.0%,0.0%,46.7%,8.0%,4.0%,41.3%,100.0%,2.0%,55.3%
2021,633,Cobb County,0808,Cobb Horizon High School,"09, 10, 11, 12",ALL,480,NA,N,NA,1.7%,0.2%,34.4%,32.5%,4.0%,27.3%,100.0%,10.4%,12.9%
2021,633,Cobb County,0809,Clay-Harmony Leland Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1018,NA,Y,NA,0.5%,0.1%,53.5%,33.5%,4.3%,8.1%,99.9%,23.7%,13.9%
2021,633,Cobb County,1052,Belmont Hills Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,349,NA,Y,NA,2.0%,0.3%,17.5%,71.6%,1.7%,6.9%,100.0%,67.9%,20.1%
2021,633,Cobb County,1054,Campbell High School,"09, 10, 11, 12",ALL,3105,NA,N,NA,4.4%,0.2%,39.8%,31.8%,3.3%,20.5%,100.0%,10.7%,10.4%
2021,633,Cobb County,1056,East Cobb Middle School,"06, 07, 08",ALL,1573,NA,Y,NA,4.3%,0.1%,43.7%,27.7%,3.6%,20.5%,100.0%,23.0%,15.3%
2021,633,Cobb County,1060,Garrett Middle School,"06, 07, 08",ALL,1072,NA,Y,NA,0.7%,0.3%,52.8%,38.0%,2.1%,6.1%,100.0%,26.2%,17.4%
2021,633,Cobb County,1064,McEachern High School,"09, 10, 11, 12",ALL,2510,NA,N,NA,1.1%,0.2%,67.9%,20.2%,3.7%,7.0%,100.0%,4.7%,14.3%
2021,633,Cobb County,1066,Norton Park Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,818,NA,Y,NA,2.0%,0.0%,34.0%,54.5%,3.8%,5.7%,100.0%,44.5%,11.0%
2021,633,Cobb County,1067,Powers Ferry Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,439,NA,Y,NA,1.8%,0.2%,40.5%,44.0%,4.6%,8.9%,100.0%,43.5%,8.9%
2021,633,Cobb County,1069,Wheeler High School,"09, 10, 11, 12",ALL,2412,NA,N,NA,12.9%,0.2%,37.7%,21.0%,3.6%,24.6%,100.0%,11.0%,10.5%
2021,633,Cobb County,2050,Argyle Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,376,NA,Y,NA,4.3%,0.3%,38.3%,50.8%,4.5%,1.9%,99.7%,45.5%,13.6%
2021,633,Cobb County,2056,North Cobb High School,"09, 10, 11, 12",ALL,2858,NA,N,NA,5.1%,0.3%,36.8%,20.3%,4.9%,32.7%,99.9%,5.5%,14.5%
2021,633,Cobb County,2062,King Springs Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,1122,NA,N,NA,8.5%,0.2%,34.1%,9.4%,7.2%,40.6%,100.0%,10.1%,12.3%
2021,633,Cobb County,2066,Osborne High School,"09, 10, 11, 12",ALL,2600,NA,Y,NA,1.0%,0.1%,27.7%,64.2%,1.8%,5.2%,100.0%,24.0%,14.9%
2021,633,Cobb County,2560,Griffin Middle School,"06, 07, 08",ALL,1585,NA,Y,NA,1.3%,0.2%,29.5%,51.1%,3.5%,14.4%,99.9%,35.7%,12.7%
2021,633,Cobb County,3056,South Cobb High School,"09, 10, 11, 12",ALL,2205,NA,Y,NA,1.5%,0.1%,59.1%,30.2%,2.4%,6.7%,100.0%,9.4%,15.0%
2021,633,Cobb County,3058,Fair Oaks Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,832,NA,Y,NA,0.0%,0.0%,13.2%,82.1%,1.9%,2.8%,100.0%,72.8%,13.3%
