School Name,Absent <=5D Percentage,Absent 6D-15D Percentage,Absent >15D Percentage
Princeton Elementary School,39.3,27.9,32.8
DeKalb Preparatory Academy Charter,56.5,25.3,18.2
Cedar Grove High School,50.4,25.3,24.2
Vanderlyn Elementary School,95.3,4.3,0.3
Austin Elementary School,94.7,4.5,0.8
Redan High School,41.7,24.3,34.0
Eldridge L. Miller Elementary School,47.9,24.2,27.9
Panola Way Elementary School,49.6,24.0,26.4
Peachtree Middle School,75.7,13.0,11.3
Pine Ridge Elementary School,35.0,45.1,19.8
Browns Mill Elementary School,53.8,24.9,21.3
Chapel Hill Middle School,57.1,22.9,20.0
Marbut Elementary School,64.6,23.4,12.0
Cedar Grove Middle School,44.4,20.9,34.7
Lithonia High School,37.0,22.5,40.5
Lithonia Middle School,32.9,23.8,43.3
Redan Middle School,30.7,27.1,42.2
Dunwoody Elementary School,91.5,6.6,1.9
Museum School Avondale Estates,88.4,8.0,3.5
Rockbridge Elementary School,43.4,33.3,23.3
Cedar Grove Elementary School,47.6,26.9,25.5
Stone Mountain High School,26.5,23.8,49.7
Kittredge Magnet School,98.8,1.3,0.0
Salem Middle School,49.9,21.2,28.9
Shadow Rock Elementary School,45.4,30.3,24.3
"Edward L. Bouie, Sr. Elementary School",79.3,16.1,4.6
Oakview Elementary,37.4,25.0,37.6
Wadsworth Magnet School for High Achievers,95.1,4.9,0.0
Leadership Preparatory Academy,79.2,17.5,3.3
GLOBE Academy Charter School I,80.5,14.8,4.6
Tapestry Public Charter School,91.6,5.9,2.6
Fairington Elementary School,24.8,32.1,43.1
Stephenson Middle School,47.6,24.8,27.7
Robert Shaw Theme School,93.6,5.9,0.5
Mary McLeod Bethune Middle School,30.6,23.1,46.3
Chamblee Middle School,89.6,5.6,4.8
Dekalb Early College Academy,89.8,6.4,3.8
Ronald E McNair Discover Learning Academy Elementary School,37.7,27.0,35.3
DeKalb School of the Arts,86.3,10.8,2.9
Bob Mathis Elementary School,28.0,28.0,44.1
Stephenson High School,62.5,18.2,19.4
DeKalb Alternative School,37.0,20.4,42.6
East DeKalb Special Education Center,100.0,0.0,0.0
Stone Mountain Middle School,44.4,23.5,32.1
The Champion Middle Theme School,73.9,17.7,8.4
Margaret Harris Comprehensive School,6.8,10.8,82.4
Stone Mill Elementary School,82.3,13.5,4.3
Miller Grove Middle School,35.6,19.6,44.9
Tucker Middle School,57.8,17.2,25.0
"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",87.8,9.4,2.8
Woodridge Elementary School,35.8,35.0,29.2
DeKalb PATH Academy Charter School,42.7,22.8,34.5
UHS of Laurel Heights,100.0,0.0,0.0
International Community School,99.3,0.5,0.2
Elizabeth Andrews High School,15.8,34.3,49.9
Druid Hills Middle School,69.9,15.7,14.4
DeKalb Elementary School of the Arts,75.9,16.4,7.7
Brockett Elementary School,67.7,19.4,12.9
Chapel Hill Elementary School,59.5,28.5,12.1
Columbia Elementary School,39.5,30.4,30.1
Dresden Elementary School,61.8,22.4,15.8
Evansdale Elementary School,71.8,16.7,11.5
McNair Middle School,5.1,10.8,84.1
Idlewood Elementary School,51.3,24.0,24.8
Livsey Elementary School,85.0,11.5,3.5
Tucker High School,77.3,13.8,8.9
Woodward Elementary School,66.6,20.5,12.9
Peachcrest Elementary School,30.8,27.6,41.6
John Robert Lewis Elementary School,54.0,25.5,20.5
Barack H. Obama Elementary Magnet School of Technology,52.3,22.3,25.4
Allgood Elementary School,42.5,35.6,21.9
Columbia High School,37.8,22.8,39.4
Druid Hills High School,60.1,19.7,20.2
Fernbank Elementary School,88.6,7.7,3.8
Henderson Mill Elementary School,68.9,18.4,12.7
Indian Creek Elementary School,51.1,31.4,17.5
McLendon Elementary School,55.6,26.6,17.8
Midvale Elementary School,72.5,19.4,8.1
Cary Reynolds Elementary School,64.6,24.4,11.0
Stone Mountain Elementary School,34.1,25.7,40.2
Ashford Park Elementary School,90.3,6.0,3.7
Briarlake Elementary School,84.9,8.9,6.2
Canby Lane Elementary School,37.3,23.8,39.0
Chesnut Elementary School,81.0,13.8,5.2
Dunaire Elementary School,49.6,20.3,30.1
Flat Shoals Elementary School,35.2,30.6,34.2
Hambrick Elementary School,46.4,28.3,25.3
Jolly Elementary School,50.2,30.0,19.8
Pleasantdale Elementary School,55.6,23.1,21.3
Rock Chapel Elementary School,71.4,16.6,12.0
Smoke Rise Elementary School,73.7,14.5,11.8
Toney Elementary School,53.4,22.4,24.2
McNair High School,24.9,18.3,56.8
Briar Vista Elementary School,77.1,14.6,8.3
Clarkston High School,42.8,19.7,37.5
Cross Keys High School,22.3,22.3,55.4
Hightower Elementary School,57.6,23.6,18.8
Kelley Lake Elementary School,30.3,30.0,39.8
Laurel Ridge Elementary School,78.0,14.6,7.3
Montclair Elementary School,57.8,23.5,18.7
Oakcliff Elementary School,86.6,10.8,2.6
Rainbow Elementary School,37.9,31.2,30.9
Rowland Elementary School,41.5,29.3,29.3
Snapfinger Elementary School,24.6,22.3,53.1
Stoneview Elementary School,43.7,30.3,26.0
Towers High School,23.4,21.8,54.8
Avondale Elementary School,47.2,22.0,30.7
Chamblee Charter High School,90.8,6.0,3.2
Dunwoody High School,69.0,15.4,15.6
Huntley Hills Elementary School,66.2,23.3,10.6
Kingsley Elementary School,63.7,18.2,18.2
Montgomery Elementary School,94.6,4.3,1.1
Redan Elementary School,55.8,28.3,15.9
Sagamore Hills Elementary School,78.6,14.4,7.0
Southwest DeKalb High School,42.6,26.6,30.8
Dodge County High School,65.8,27.6,6.7
Dodge County Middle School,56.9,33.5,9.6
South Dodge Elementary School,43.0,42.6,14.3
North Dodge Elementary School,41.4,41.4,17.3
DAC (Dodge County Achievement Center),78.5,10.8,10.8
Dooly County Elementary School,31.8,24.4,43.9
Dooly County High School,26.3,29.6,44.1
Dooly County Middle School,24.3,27.2,48.5
Dooly County Prep Academy,9.1,18.2,72.7
Albany Middle School,12.8,20.7,66.4
Live Oak Elementary School,38.0,31.6,30.5
Robert A. Cross Middle Magnet,80.6,13.1,6.3
Robert H Harvey Elementary School,33.8,33.2,33.0
Radium Springs Middle School,84.1,0.7,15.2
Lamar Reese School of the Arts,100.0,0.0,0.0
Lincoln Elementary Magnet School,73.5,21.7,4.8
Alice Coachman Elementary School,32.8,31.5,35.7
Monroe High School,77.8,1.5,20.7
Dougherty Comprehensive High School,35.3,29.1,35.6
Morningside Elementary School,89.3,8.2,2.5
Turner Elementary School,55.6,23.8,20.6
Lake Park Elementary School,47.7,44.8,7.5
Merry Acres Middle School,79.7,15.8,4.5
Sherwood Acres Elementary School,31.9,36.1,32.0
Westover High School,58.7,17.8,23.6
International Studies Elementary Charter School,75.2,16.7,8.1
Radium Springs Elementary School,41.8,26.3,31.8
West Town Elementary School,57.4,31.4,11.2
Chapel Hill High School,56.7,24.6,18.7
Yeager Middle School,36.2,27.2,36.7
North Douglas Elementary School,48.3,32.9,18.8
Bill Arp Elementary School,25.3,41.6,33.0
Factory Shoals Middle School,38.0,28.5,33.5
Mason Creek Elementary School,47.5,37.6,14.9
Mason Creek Middle School,52.1,25.5,22.4
Lithia Springs Comprehensive High School,30.9,24.6,44.5
Arbor Station Elementary School,66.2,26.2,7.6
Fairplay Middle School,53.8,29.3,16.9
Dorsett Shoals Elementary School,45.7,36.4,17.9
Alexander High School,45.1,29.1,25.8
Chestnut Log Middle School,25.8,28.2,46.0
South Douglas Elementary School,61.5,30.1,8.4
Bright Star Elementary School,40.0,36.4,23.6
Holly Springs Elementary,58.0,32.3,9.7
New Manchester Elementary School,36.8,37.1,26.1
New Manchester High School,46.7,21.2,32.1
Factory Shoals Elementary School,22.2,54.0,23.8
Sweetwater Elementary School,35.9,36.8,27.3
Mirror Lake Elementary School,47.3,35.3,17.4
Burnett Elementary School,26.5,48.9,24.6
Brighten Academy,94.5,4.8,0.7
Youth Villages at Inner Harbour,100.0,0.0,0.0
Winston Elementary School,54.4,32.4,13.2
Beulah Elementary School,34.2,42.6,23.2
Turner Middle School,28.0,26.5,45.5
Lithia Springs Elementary School,27.9,45.0,27.0
Douglas County High School,47.8,19.5,32.7
Mount Carmel Elementary School,61.2,26.9,11.9
Stewart Middle School,18.8,36.1,45.1
Annette Winn Elementary School,30.7,37.2,32.1
Early County Elementary School,44.2,44.0,11.8
Early County Middle School,44.6,46.2,9.2
Early County High School,41.4,32.8,25.8
Echols County Elementary/Middle School,41.8,37.1,21.1
Echols County High School,32.8,32.8,34.4
Springfield Elementary School,44.2,43.6,12.1
Marlow Elementary School,56.4,36.6,7.0
Blandford Elementary School,56.1,33.3,10.6
South Effingham Elementary School,64.4,30.8,4.8
Guyton Elementary School,49.3,40.4,10.2
South Effingham High School,41.4,38.4,20.3
Ebenezer Middle School,44.4,39.9,15.7
Effingham County Middle School,38.7,42.0,19.3
Ebenezer Elementary School,56.9,36.0,7.1
South Effingham Middle School,47.3,39.0,13.7
Effingham County High School,38.5,37.5,24.1
Rincon Elementary School,50.3,40.5,9.3
Elbert County High School,46.3,35.2,18.5
Elbert County Primary School,38.0,42.8,19.2
Elbert County Elementary School,51.9,37.5,10.7
Twin City Elementary School,42.0,42.2,15.9
Swainsboro High School,48.6,32.4,19.0
Swainsboro Middle School,49.0,32.1,18.9
Swainsboro Primary School,46.3,39.7,14.0
Swainsboro Elementary School,44.1,40.2,15.7
Emanuel County Institute,44.0,40.0,16.1
Claxton Elementary School,37.6,35.5,26.8
Second Chance,30.8,17.9,51.3
Claxton High School,39.8,30.7,29.6
Claxton Middle School,37.4,34.0,28.5
Fannin County High School,30.1,37.1,32.8
Fannin County Middle School,28.9,45.2,25.8
East Fannin Elementary School,38.7,47.4,13.9
West Fannin Elementary School,40.0,45.1,14.9
Cleveland Elementary School,18.5,23.3,58.2
Sara Harp Minter Elementary School,47.2,43.1,9.7
Crabapple Lane Elementary School,68.2,27.5,4.3
Whitewater High School,53.1,32.1,14.7
Bennett's Mill Middle School,54.2,29.2,16.6
Inman Elementary,58.0,33.5,8.5
Booth Middle School,62.3,28.9,8.8
Huddleston Elementary School,61.8,32.7,5.5
North Fayette Elementary School,59.5,29.0,11.5
McIntosh High School,57.6,29.8,12.7
Braelinn Elementary School,59.3,34.5,6.2
Sandy Creek High School,60.2,26.8,13.0
Kedron Elementary School,65.9,28.0,6.1
Starrs Mill High School,50.0,32.9,17.0
Peeples Elementary School,67.6,29.4,2.9
Robert J. Burch Elementary School,63.5,27.6,9.0
Spring Hill Elementary School,60.5,29.4,10.2
Rising Starr Middle School,58.7,32.0,9.3
Whitewater Middle School,55.8,33.7,10.5
Fayette County High School,62.9,22.1,15.1
Fayetteville Elementary School,58.1,29.6,12.3
Flat Rock Middle School,60.1,30.5,9.5
Peachtree City Elementary School,67.4,28.4,4.2
Johnson Elementary,68.5,27.4,4.1
Coosa Middle School,43.3,43.8,12.9
Pepperell High School,28.7,38.3,33.0
Model High,39.1,37.0,23.9
Model Elementary School,53.5,37.3,9.2
Armuchee Elementary School,53.9,38.6,7.5
Pepperell Elementary,49.1,37.2,13.7
Model Middle School,53.3,39.6,7.1
Pepperell Middle School,45.4,37.9,16.7
Armuchee Middle School,44.6,40.1,15.2
Armuchee High School,46.2,34.4,19.4
Alto Park Elementary School,50.4,36.3,13.3
Garden Lakes Elementary School,56.8,36.0,7.2
Cave Spring Elementary School,55.0,38.3,6.7
Glenwood Primary School,59.7,35.8,4.4
Pepperell Primary,47.7,40.4,11.9
Coosa High School,31.8,37.1,31.1
Settles Bridge Elementary School,70.8,26.2,2.9
Matt Elementary School,50.0,39.5,10.5
Cumming Elementary School,45.7,41.6,12.7
Sharon Elementary School,43.7,42.3,13.9
Riverwatch Middle School,73.8,21.3,4.8
Shiloh Point Elementary,71.8,23.3,4.9
West Forsyth High School,39.3,37.9,22.9
Johns Creek Elementary,63.4,27.9,8.7
Mashburn Elementary School,58.6,33.8,7.6
Coal Mountain Elementary School,52.4,36.5,11.1
South Forsyth High School,54.5,29.8,15.7
Chattahoochee Elementary School,76.5,18.0,5.5
North Forsyth High School,45.4,34.8,19.8
Daves Creek Elementary School,84.0,14.2,1.8
Vickery Creek Elementary School,58.6,33.4,8.0
Vickery Creek Middle School,53.2,34.8,12.1
Otwell Middle School,44.9,38.0,17.1
Sawnee Elementary School,54.7,35.1,10.2
Chestatee Elementary,39.4,46.8,13.7
Little Mill Middle School,40.3,40.2,19.5
Brookwood Elementary,69.7,26.1,4.2
George W. Whitlow Elementary,55.0,35.1,9.9
Lambert High School,63.1,27.1,9.8
Haw Creek Elementary,62.1,31.6,6.3
Liberty Middle School,36.0,30.9,33.1
Silver City Elementary School,49.6,39.7,10.7
Kelly Mill Elementary,59.8,34.2,6.0
Piney Grove Middle School,70.3,22.9,6.7
North Forsyth Middle School,39.8,38.6,21.6
South Forsyth Middle School,67.1,25.4,7.5
Brandywine Elementary School,62.4,30.6,7.1
DeSana Middle School,63.5,27.8,8.7
Alliance Academy for Innovation,70.0,25.5,4.5
Denmark High School,56.9,29.8,13.3
Big Creek Elementary School,74.6,21.7,3.6
Midway Elementary School,48.1,38.6,13.2
Forsyth Central High School,44.2,36.4,19.4
Franklin County Middle School,20.2,38.9,40.9
Royston Elementary School,19.6,40.9,39.5
Franklin County High School,17.9,33.7,48.3
Lavonia Elementary School,24.4,45.5,30.2
Summit Hill Elementary,62.0,31.6,6.4
Abbotts Hill Elementary School,67.8,25.1,7.2
Creek View Elementary School,83.3,14.7,2.1
Hembree Springs Elementary School,57.2,29.7,13.1
Spalding Drive Elementary,49.8,36.9,13.2
Hopewell Middle School,43.1,26.7,30.2
Milton High School,23.5,34.4,42.2
Renaissance ES,18.6,31.9,49.5
Feldwood Elementary School,24.4,37.9,37.8
Main Street Charter Academy,34.6,37.1,28.3
Hapeville Charter Career Academy,41.9,23.9,34.2
Cambridge High School,10.4,37.5,52.1
Banneker High School,2.0,8.4,89.6
Dolvin Elementary School,54.8,30.5,14.7
Crabapple Middle School,38.5,36.8,24.7
Camp Creek Middle School,23.0,30.9,46.1
Barnwell Elementary School,72.3,23.7,4.0
Lake Windward Elementary School,73.6,19.0,7.4
Roswell High School,13.5,29.0,57.5
Hapeville Elementary School,26.6,24.7,48.7
Crabapple Crossing Elementary School,66.6,28.8,4.7
New Prospect Elementary School,70.0,23.7,6.3
Northwood Elementary School,56.8,33.6,9.6
Centennial High School,5.9,27.5,66.7
Stonewall Tell Elementary School,47.8,32.1,20.0
Hillside Elementary School,41.3,32.8,25.9
Northview High School,34.4,44.9,20.7
KIPP South Fulton Academy School,27.8,34.2,38.0
Alpharetta High School,50.0,27.2,22.8
Oakley Elementary School,26.0,26.0,48.0
Dunwoody Springs Elementary School,32.0,34.8,33.2
Chattahoochee Hills Charter School,13.4,34.4,52.1
S. L. Lewis Elementary School,17.1,25.4,57.5
Nolan Elementary School,10.0,26.6,63.3
Gullatt Elementary School,18.3,24.4,57.2
Holcomb Bridge Middle School,32.2,32.7,35.1
Ridgeview Charter School,37.1,32.6,30.3
Woodland Middle School,81.5,13.2,5.3
Creekside High School,5.0,19.0,76.0
Palmetto Elementary School,21.7,35.8,42.5
Findley Oaks Elementary School,74.9,21.0,4.1
State Bridge Crossing Elementary School,72.3,23.8,3.9
Sweet Apple Elementary School,74.5,23.0,2.6
Elkins Pointe Middle School,38.2,30.4,31.4
Autrey Mill Middle School,57.4,26.8,15.8
Georgia Baptist Children's Home and Family Ministries,97.8,0.0,2.2
Mountain Park Elementary School,78.8,17.9,3.4
McClarin High School,5.5,6.7,87.7
Haynes Bridge Middle School,48.5,30.9,20.6
Independence High School,3.8,4.4,91.7
Randolph Elementary School,38.8,21.9,39.3
Chattahoochee High School,52.0,27.5,20.5
River Eves Elementary School,53.4,26.9,19.7
Shakerag Elementary School,68.3,27.0,4.7
River Trail Middle School,77.8,15.7,6.5
Amana Academy School,70.6,22.3,7.1
Medlock Bridge Elementary School,53.9,30.0,16.1
Webb Bridge Middle School,71.8,22.0,6.2
Hamilton E. Holmes Elementary,18.3,22.7,59.1
Liberty Point Elementary School,24.7,33.1,42.2
Taylor Road Middle School,71.0,20.6,8.5
Northwestern Middle School,46.9,33.6,19.5
Sandy Springs Middle School,31.0,29.0,40.0
Hapeville Charter Middle School,49.2,21.0,29.8
Tri-Cities High School,2.6,14.5,82.9
Ocee Elementary School,44.4,24.9,30.7
Woodland Elementary School,52.9,30.2,16.9
Paul D. West Middle School,2.5,14.2,83.3
Lake Forest Elementary,87.6,10.8,1.6
Johns Creek High School,34.8,35.5,29.7
Cliftondale Elementary School,23.3,29.8,46.9
Alpharetta Elementary School,40.7,38.9,20.4
Roswell North Elementary School,62.6,28.3,9.1
Langston Hughes High School,12.9,22.0,65.1
Birmingham Falls Elementary School,42.9,45.5,11.7
Ison Springs Elementary School,38.8,36.6,24.6
RISE Grammar School,58.5,21.0,20.4
RISE Prep School,43.5,24.3,32.2
College Park Elementary,12.2,14.8,73.0
Vickery Mill Elementary,37.2,33.7,29.1
Wolf Creek Elementary,44.7,28.5,26.8
Fulton Academy of Science and Technology,73.7,20.4,5.9
Skyview High School,11.0,11.7,77.3
Wellspring Living,79.2,12.5,8.3
Bethune Elementary School,13.4,23.3,63.3
Campbell Elementary School,25.0,26.2,48.8
Brookview Elementary School,22.9,26.4,50.6
Heards Ferry Elementary School,44.4,40.7,14.9
Lee Elementary School,22.7,29.8,47.5
Parklane Elementary School,14.4,18.2,67.4
Riverwood International Charter School,9.6,29.2,61.2
High Point Elementary School,56.9,27.8,15.4
Mimosa Elementary School,40.8,41.4,17.8
North Springs High School,4.6,13.1,82.3
E. C. West Elementary School,32.2,31.0,36.8
Conley Hills Elementary School,8.8,20.4,70.9
Asa Hilliard Elementary School,14.0,18.8,67.3
Westlake High School,21.6,26.7,51.7
Mountain View Elementary,35.8,44.5,19.7
Clear Creek Middle School,34.5,39.5,26.0
Gilmer High School,36.6,31.8,31.6
Ellijay Elementary School,43.0,44.2,12.8
Glascock County Middle/High School,49.3,36.2,14.5
Glascock County Elementary School,51.2,33.3,15.4
Sterling Elementary School,54.7,35.9,9.4
"Morningstar Treatment Services, Inc. Youth Estate",73.8,20.0,6.2
Glynn Middle,55.1,32.4,12.5
Jane Macon Middle,50.4,31.4,18.1
Risley Middle School,46.7,38.2,15.1
Glyndale Elementary School,52.2,39.3,8.5
Golden Isles Elementary School,58.4,33.6,8.0
Oglethorpe Point Elementary School,73.6,23.0,3.4
Satilla Marsh Elementary School,73.4,24.5,2.1
Needwood Middle School,54.3,33.5,12.2
Greer Elementary School,57.0,34.9,8.1
Altama Elementary School,60.8,33.7,5.5
St. Simons Elementary School,57.4,34.2,8.4
Brunswick High School,36.6,34.2,29.3
Burroughs-Molette Elementary School,42.0,39.9,18.1
Glynn Academy,44.1,35.4,20.4
Goodyear Elementary School,51.4,38.5,10.2
Sonoraville High School,18.4,30.3,51.3
Sonoraville Elementary,45.4,38.2,16.5
Red Bud Middle School,21.7,34.8,43.5
Tolbert Elementary School,43.0,37.1,20.0
Red Bud Elementary School,38.9,39.1,22.1
Swain Elementary School,36.2,39.0,24.8
Gordon Central High School,12.9,29.2,58.0
Ashworth Middle School,18.8,39.6,41.6
Belwood Elementary School,48.8,36.1,15.1
Fairmount Elementary School,32.7,42.6,24.7
Washington Middle School,53.1,32.8,14.1
Cairo High School,53.1,27.6,19.4
Whigham Elementary School,58.2,35.3,6.4
Southside Elementary School,58.1,33.3,8.5
Shiver Elementary School,40.4,44.5,15.1
Anita White Carson Middle School,42.5,35.0,22.5
LAKE OCONEE CHARTER,60.5,32.6,6.9
Greene County High School,24.7,35.6,39.6
Rock Springs Elementary School,73.5,21.8,4.7
Grayson High School,72.6,19.5,8.0
Norcross High School,67.1,18.0,15.0
Mill Creek High School,74.3,19.5,6.2
Benefield Elementary School,60.7,27.5,11.9
Centerville Elementary School,42.9,39.5,17.6
Parkview High School,68.9,18.3,12.8
Head Elementary School,79.5,18.1,2.4
Brookwood High School,75.8,17.5,6.8
Berkeley Lake Elementary School,78.9,17.7,3.4
Shiloh High School,83.9,10.3,5.9
Pinckneyville Middle School,72.7,19.6,7.8
Meadowcreek High School,63.3,16.0,20.7
Richards Middle School,85.9,11.3,2.7
Phoenix High School,44.4,21.8,33.7
Dacula Elementary School,69.7,25.2,5.1
Walnut Grove Elementary School,42.1,43.6,14.2
Craig Elementary School,79.5,17.4,3.1
Collins Hill High School,73.3,15.5,11.2
Harbins Elementary School,72.9,21.7,5.3
Crews Middle School,85.5,10.6,3.9
Meadowcreek Elementary School,55.4,31.5,13.0
Freeman's Mill Elementary School,77.2,19.6,3.2
Osborne Middle School,62.7,27.5,9.8
Corley Elementary School,64.9,23.1,12.0
Mulberry Elementary School,71.9,22.6,5.5
Lanier Middle School,75.6,19.4,5.0
Lovin Elementary School,75.8,19.5,4.8
Knight Elementary School,79.5,16.1,4.5
Sweetwater Middle School,74.5,17.5,8.0
Five Forks Middle School,88.5,9.5,1.9
Beaver Ridge Elementary School,66.0,26.3,7.7
Annistown Elementary School,70.3,19.3,10.4
Shiloh Middle School,87.4,9.6,2.9
Hopkins Elementary School,66.2,24.5,9.4
Norton Elementary School,70.6,20.6,8.8
Minor Elementary School,62.1,27.6,10.3
McKendree Elementary School,82.7,12.9,4.4
Shiloh Elementary School,75.7,16.6,7.7
Nesbit Elementary School,48.2,31.8,20.0
Fort Daniel Elementary School,75.0,21.4,3.7
Sugar Hill Elementary School,70.1,24.2,5.7
Hull Middle School,93.8,4.6,1.6
Mason Elementary School,77.5,17.3,5.2
Stripling Elementary School,72.5,19.2,8.3
Berkmar Middle School,71.7,20.9,7.5
Ivy Creek Elementary School,73.7,22.1,4.2
Rosebud Elementary School,76.4,18.2,5.4
Gwin Oaks Elementary School,83.6,13.3,3.2
Dacula Middle School,80.9,14.6,4.5
Arcado Elementary School,76.1,19.5,4.3
Gwinnett InterVention Education (GIVE) Center East,70.5,15.4,14.1
Cedar Hill Elementary School,62.3,27.6,10.1
Pharr Elementary School,84.1,13.7,2.2
Simonton Elementary School,59.9,26.8,13.2
Magill Elementary School,62.9,26.3,10.8
Partee Elementary School,79.2,14.4,6.3
Jones Middle School,69.3,20.8,9.9
Puckett's Mill Elementary School,78.2,17.8,3.9
Simpson Elementary School,92.0,7.5,0.5
Kanoheda Elementary School,66.6,23.1,10.3
McConnell Middle School,80.3,16.4,3.3
Taylor Elementary School,70.7,23.7,5.6
Sycamore Elementary School,63.8,30.4,5.8
Trip Elementary School,84.0,14.3,1.8
Cooper Elementary School,77.8,19.6,2.6
Patrick Elementary School,70.9,22.1,7.0
Parsons Elementary School,87.7,10.5,1.8
Oakland Meadow School,71.2,15.3,13.6
Peachtree Ridge High School,79.2,12.7,8.1
Alcova Elementary School,71.6,22.6,5.8
Bay Creek Middle School,81.4,14.3,4.3
Grace Snell Middle School,85.6,10.6,3.8
Ferguson Elementary School,77.6,14.8,7.7
Roberts Elementary School,90.0,9.0,1.0
Jenkins Elementary School,68.4,23.6,8.0
Anderson-Livsey Elementary School,71.7,21.4,6.9
Burnette Elementary School,84.1,12.5,3.3
Lanier High School,65.9,24.2,9.9
"Gwinnett School of Mathematics, Science and Technology",94.9,4.1,1.0
New Life Academy of Excellence,78.5,16.7,4.9
Berkmar High School,63.9,17.9,18.2
Dyer Elementary School,75.9,19.3,4.8
Lilburn Middle School,67.0,18.0,15.0
Alford Elementary,70.6,21.6,7.8
Starling Elementary School,85.2,12.3,2.5
Moore Middle School,72.9,18.7,8.4
Gwinnett Intervention Education Center (GIVE) West,60.5,17.0,22.5
Northbrook Middle School,89.7,7.4,3.0
Duncan Creek Elementary,72.0,23.7,4.3
Couch Middle School,83.4,12.2,4.4
Gwinnett Online Campus,90.5,8.8,0.6
North Metro Academy of Performing Arts,82.2,14.2,3.7
Winn Holt Elementary School,63.2,26.8,10.0
Level Creek Elementary School,85.6,12.8,1.6
Mountain View High School,70.0,22.0,8.0
Radloff Middle School,61.0,23.7,15.3
North Gwinnett Middle School,76.9,17.4,5.8
Chesney Elementary School,84.0,12.7,3.3
Twin Rivers Middle School,73.5,19.2,7.3
Archer High School,74.0,17.7,8.4
Woodward Mill Elementary School,71.8,23.1,5.2
Baggett Elementary School,60.1,29.9,10.1
Graves Elementary School,63.7,23.4,12.9
Jordan Middle School,64.3,24.2,11.5
Discovery High School,62.6,20.3,17.1
Coleman Middle School,92.7,6.2,1.0
Baldwin Elementary,42.3,36.3,21.4
International Transition Center,56.3,30.2,13.5
Paul Duke STEM High School,70.5,18.1,11.3
Bethesda Elementary School,71.2,22.3,6.5
Grayson Elementary School,81.5,16.6,1.9
Harmony Elementary School,31.0,42.7,26.3
Snellville Middle School,85.5,10.9,3.6
South Gwinnett High School,72.0,15.2,12.8
Britt Elementary School,72.7,20.3,7.0
Harris Elementary School,76.4,18.3,5.3
Camp Creek Elementary School,80.2,16.0,3.8
Central Gwinnett High School,48.0,22.7,29.3
Dacula High School,67.0,18.3,14.7
Norcross Elementary School,61.0,28.1,10.9
Summerour Middle School,73.1,18.9,8.0
North Gwinnett High School,78.2,14.5,7.3
Lawrenceville Elementary School,66.0,24.8,9.2
Peachtree Elementary School,80.1,15.8,4.1
Suwanee Elementary School,84.7,12.6,2.7
Duluth High School,65.2,17.3,17.5
Lilburn Elementary School,61.9,25.1,13.1
Cornelia Elementary School,60.0,30.4,9.6
Level Grove Elementary School,58.8,36.8,4.5
Habersham Ninth Grade Academy,64.7,29.5,5.9
Hilliard A. Wilbanks Middle School,50.3,34.1,15.5
Habersham Success Academy,37.5,33.3,29.2
Clarkesville Elementary School,49.0,38.8,12.2
North Habersham Middle School,58.2,31.0,10.7
Demorest Elementary School,54.5,33.5,12.0
South Habersham Middle School,64.6,27.2,8.2
Baldwin Elementary School,60.9,35.7,3.4
Habersham Central High School,64.6,26.8,8.6
Woodville Elementary School,53.0,39.1,7.9
Fairview Elementary School,51.2,28.4,20.4
Hazel Grove Elementary School,58.3,34.3,7.3
C. W. Davis Middle School,49.8,36.1,14.0
Martin Elementary School,55.4,36.1,8.5
Chestatee High School,42.6,29.9,27.5
Sugar Hill Elementary,50.1,38.3,11.7
Lanier College and Career Academy,18.9,24.8,56.3
Chicopee Elementary School,42.6,40.7,16.7
World Language Academy,57.3,37.3,5.5
Myers Elementary School,51.1,40.5,8.4
West Hall High School,48.7,31.8,19.5
Spout Springs Elementary School,58.6,34.8,6.6
Mount Vernon Elementary School,66.0,27.5,6.5
Friendship Elementary School,52.2,37.5,10.3
Chestatee Middle School,45.4,34.5,20.1
Flowery Branch High,32.4,34.2,33.4
Wauka Mountain Elementary School,58.1,34.4,7.5
East Hall Middle School,45.5,34.2,20.3
West Hall Middle School,37.9,35.2,26.9
North Hall Middle School,45.8,36.9,17.3
Cherokee Bluff Middle,49.1,36.1,14.8
Cherokee Bluff High School,46.5,33.4,20.1
World Language Academy Middle School,56.8,32.0,11.2
White Sulphur Elementary School,47.4,40.1,12.6
East Hall High School,44.1,33.0,22.8
North Hall High School,37.9,33.2,28.9
Flowery Branch Elementary School,51.0,38.0,11.1
Oakwood Elementary School,56.5,33.7,9.8
Lanier Elementary School,55.7,35.0,9.3
Riverbend Elementary School,52.2,39.2,8.6
Chestnut Mountain Elementary School,60.4,33.5,6.1
Lula Elementary School,41.8,42.5,15.8
Sardis Elementary School,55.1,36.6,8.3
South Hall Middle School,49.2,33.7,17.0
Lyman Hall Elementary School,44.8,32.8,22.4
McEver Elementary School,58.4,33.0,8.6
Tadmore Elementary School,47.1,41.1,11.8
Hancock Central Middle School,85.9,10.9,3.3
Hancock Central High School,84.3,12.3,3.4
Tallapoosa Primary School,55.9,35.1,9.0
Buchanan Elementary School,60.3,34.1,5.6
Haralson County Middle School,57.4,34.0,8.6
Haralson County Rebel Academy,42.5,40.0,17.5
