School Name,Absent <=5D Percentage,Absent 6D-15D Percentage,Absent >15D Percentage
Sallie Zetterower Elementary School,56.7,31.0,12.4
Blakeney Elementary,63.7,26.4,9.9
Burke County Middle School,91.6,7.1,1.3
S G A Elementary School,59.8,32.6,7.6
Burke County High School,69.0,18.5,12.5
Waynesboro Primary School,43.2,33.9,22.9
Henderson Middle School,69.6,13.7,16.7
Hampton L. Daughtry Elementary School,40.9,39.9,19.3
Stark Elementary School,44.7,35.3,20.0
Jackson Elementary School,87.0,10.4,2.6
Jackson High School,69.5,20.5,10.0
Calhoun County High School,37.5,25.0,37.5
Calhoun County Elementary School,41.5,32.7,25.9
Calhoun County Middle School,25.4,23.8,50.8
Mamie Lou Gross Elementary School,55.9,33.7,10.4
Saint Marys Middle School,51.1,35.9,13.0
Saint Marys Elementary School,54.8,34.3,11.0
Camden Middle School,47.3,33.3,19.4
Crooked River Elementary School,56.2,36.2,7.6
Matilda Harris Elementary School,61.4,31.9,6.8
Woodbine Elementary School,53.8,33.4,12.7
Kingsland Elementary School,47.9,38.2,13.9
David L Rainer Elementary School,60.2,30.9,8.9
Sugarmill Elementary,65.0,29.5,5.5
Camden County High School,45.5,32.5,22.0
Mary Lee Clark Elementary School,55.1,31.7,13.2
Metter Middle School,61.1,31.6,7.2
Metter Elementary School,42.3,39.4,18.3
Sharp Creek Elementary School,35.8,35.8,28.4
Bowdon Middle School,32.0,36.6,31.4
Temple Middle School,25.5,39.4,35.1
KidsPeace,100.0,0.0,0.0
Providence Elementary School,26.6,45.6,27.8
Mount Zion Elementary School,66.6,26.1,7.3
Central Middle School,33.8,36.2,30.0
Temple High School,28.9,35.0,36.1
Bay Springs Middle School,30.9,35.5,33.6
Mt. Zion High School,27.0,33.6,39.4
Villa Rica Middle,34.0,32.2,33.8
Roopville Elementary School,39.0,41.2,19.9
Whitesburg Elementary School,30.9,43.5,25.7
Glanton-Hindsman Elementary,40.0,33.8,26.2
Villa Rica Elementary School,33.9,38.7,27.4
Temple Elementary School,32.4,39.1,28.5
Bowdon Elementary School,33.9,41.8,24.4
Bowdon High School,31.6,36.5,31.8
Central Elementary School,32.1,45.2,22.7
Sand Hill Elementary School,47.8,43.9,8.4
Villa Rica High School,32.5,30.3,37.2
Ringgold Primary School,61.9,33.0,5.2
Battlefield Primary,62.7,31.5,5.8
Battlefield Elementary School,63.5,29.9,6.6
Woodstation Elementary School,63.8,32.5,3.6
Heritage High School,59.6,18.4,22.0
Tiger Creek Elementary School,61.6,30.9,7.5
Heritage Middle School,70.7,24.7,4.6
Boynton Elementary School,56.7,35.5,7.8
Lakeview-Fort Oglethorpe High School,60.5,26.2,13.3
West Side Elementary School,81.9,14.4,3.7
Lakeview Middle School,58.7,31.5,9.8
Cloud Springs Elementary School,51.9,38.2,9.9
Ringgold Elementary School,64.2,28.7,7.1
Ringgold High School,43.5,34.8,21.7
Graysville Elementary School,56.8,37.6,5.5
Ringgold Middle School,62.5,29.5,8.0
Bethune Middle School,46.5,36.6,17.0
Folkston Elementary School,47.9,34.2,17.9
Charlton County High School,45.2,35.3,19.5
St. George Elementary School,36.1,46.7,17.2
Johnson High School,40.8,28.4,30.8
UHS of Savannah Coastal Harbor Treatment Center,100.0,0.0,0.0
Coastal Empire Montessori Charter School,74.0,17.0,9.0
Woodville-Tompkins Technical and Career High School,64.4,23.6,12.0
Pulaski Elementary SChool,67.7,19.6,12.7
New Hampstead High School,72.4,14.7,13.0
Oglethorpe Charter School,89.4,6.4,4.2
The STEM Academy at Bartlett,98.1,1.3,0.6
Tybee Island Maritime Academy School,74.5,20.1,5.4
Savannah Classical Academy Charter School,39.6,45.5,14.9
Esther F. Garrison School for the Arts,87.4,10.1,2.5
Georgetown School,96.1,2.9,0.9
Garden City Elementary School,64.8,27.4,7.8
West Chatham Middle School,56.3,18.1,25.6
West Chatham Elementary School,59.2,24.7,16.1
DeRenne Middle School,47.5,25.8,26.7
The School of Liberal Studies at Savannah High,38.2,26.9,34.9
Godley Station School,85.4,10.7,3.9
Marshpoint Elementary School,82.6,11.9,5.5
Southwest Middle School,56.7,22.1,21.3
Southwest Elementary School,65.7,18.2,16.1
Coastal Middle School,63.4,21.3,15.3
Islands High School,43.7,22.9,33.4
Savannah Arts Academy,70.2,18.0,11.8
Shuman Elementary School,51.3,29.8,18.9
Rice Creek School,66.4,23.2,10.3
Savannah Early College High School,82.6,10.4,7.0
School of Humanities at Juliette Gordon Low,32.5,27.1,40.5
Susie King Taylor Community School,54.5,27.1,18.4
Savannah Classical Academy Charter High School,35.2,48.1,16.7
Otis J Brock III Elementary School,64.7,20.4,14.9
Gadsden Elementary School,49.3,25.9,24.8
Howard Elementary School,77.9,15.7,6.4
White Bluff Elementary School,68.9,19.1,11.9
Beach High School,25.9,14.2,59.9
Gould Elementary School,67.6,18.0,14.4
Hubert Middle School,35.4,17.9,46.7
Largo-Tibet Elementary School,68.8,20.0,11.2
Andrea B Williams Elementary School,44.1,28.9,27.0
Groves High School,29.5,19.8,50.7
Isle of Hope School,82.5,13.4,4.0
Pooler Elementary School,61.2,25.5,13.3
Bloomingdale Elementary School,59.4,22.8,17.8
Ellis Elementary School,99.5,0.0,0.5
Haven Elementary School,51.6,27.1,21.3
Hesse School,78.0,18.4,3.5
Port Wentworth Elementary School,87.3,9.5,3.2
Windsor Forest Elementary School,55.1,27.3,17.6
Butler Elementary School,72.1,16.0,11.9
Hodge Elementary School,74.2,14.8,11.0
Jenkins High School,43.2,17.1,39.7
Mercer Middle School,35.4,22.2,42.3
Jacob G. Smith Elementary School,85.3,12.2,2.5
Windsor Forest High School,37.2,17.5,45.3
Chattahoochee County Education Center,34.4,55.8,9.8
Chattahoochee County Middle School,54.2,41.6,4.2
Chattahoochee County High School,61.7,32.9,5.4
Leroy Massey Elementary School,19.3,34.1,46.6
Chattooga High School,21.6,27.6,50.8
Lyerly Elementary School,26.0,46.4,27.6
Summerville Middle School,21.2,33.7,45.1
Menlo Elementary School,18.9,43.5,37.6
Carmel Elementary School,38.4,40.9,20.6
Woodstock Elementary School,47.5,34.6,18.0
"William G. Hasty, Sr. Elementary School",33.9,42.5,23.6
Creekview High School,24.0,35.1,40.9
Avery Elementary School,46.0,39.3,14.7
Mill Creek Middle School,26.2,32.2,41.6
River Ridge High School,31.7,30.5,37.8
Indian Knoll Elementary,45.6,39.4,15.0
Etowah High School,42.3,32.6,25.1
E. T. Booth Middle School,33.5,35.6,30.9
Johnston Elementary School,33.9,37.7,28.4
Dean Rusk Middle School,38.1,36.5,25.4
Boston Elementary School,31.2,44.4,24.4
Mountain Road Elementary School,40.2,42.2,17.5
Sequoyah High School,27.7,34.7,37.6
Sixes Elementary School,35.8,40.9,23.3
Bascomb Elementary School,48.4,41.5,10.1
Woodstock High School,41.8,29.4,28.8
R. M. Moore Elementary School,31.8,44.4,23.7
Holly Springs Elementary School,38.6,39.1,22.3
Liberty Elementary School,43.0,39.9,17.1
Freedom Middle School,45.0,23.4,31.7
Ball Ground Elementary School,44.3,40.1,15.6
Teasley Middle School,27.6,36.7,35.6
Woodstock Middle School,38.6,36.0,25.5
Creekland Middle School,90.3,8.2,1.5
Little River Elem.,46.2,37.9,15.9
Clark Creek Elementary School,47.1,34.6,18.3
Arnold Mill Elementary School,36.5,45.4,18.2
Free Home Elementary School,31.8,43.6,24.6
J. Knox Elementary,47.2,40.4,12.4
Clayton Elementary School,37.4,48.0,14.6
Oak Grove Elementary School,60.3,32.5,7.2
Hickory Flat Elementary School,57.1,28.4,14.4
Cherokee High School,34.1,32.4,33.6
Macedonia Elementary School,47.2,40.5,12.3
Cedar Shoals High School,35.9,17.6,46.5
Classic City High School,45.2,12.9,41.9
Alps Road Elementary School,36.6,28.8,34.6
Judia Jackson Harris Elementary,46.8,34.1,19.0
Timothy Elementary School,63.9,21.6,14.6
Cleveland Road Elementary School,51.4,25.1,23.5
Coile Middle School,51.3,25.0,23.7
Gaines Elementary School,29.5,26.8,43.7
Howard B. Stroud Elementary School,33.2,29.1,37.8
Burney-Harris-Lyons Middle School,73.4,15.9,10.7
Whit Davis Road Elementary School,46.9,28.4,24.7
Clarke Middle School,56.4,19.8,23.8
Whitehead Road Elementary School,53.0,33.5,13.4
Barnett Shoals Elementary School,48.1,26.2,25.7
Winterville Elementary School,47.0,30.4,22.5
Barrow Elementary School,57.3,19.0,23.7
Fowler Drive Elementary School,46.7,28.6,24.7
Oglethorpe Avenue Elementary School,55.0,24.5,20.5
