School Name,County,Urban/Rural,Classification,19-21 Difference in Math,19-21 Difference in English,All Students English Achievement,All Students Math Achievement,2021 All Students English Achievement,2021 All Students Math Achievement,American Indian/Alaskan English Achievement,American Indian/Alaskan Math Achievement,Asian/Pacific Islander English Achievement,Asian/Pacific Islander Math Achievement,Black English Achievement,Black Math Achievement,Economically Disadvantaged English Achievement,Economically Disadvantaged Math Achievement,Hispanic English Achievement,Hispanic Math Achievement,White English Achievement,White Math Achievement,Students With Disability English Achievement,Students With Disability Math Achievement,2021 American Indian/Alaskan English Achievement,2021 American Indian/Alaskan Math Achievement,2021 Asian/Pacific Islander English Achievement,2021 Asian/Pacific Islander Math Achievement,2021 Black English Achievement,2021 Black Math Achievement,2021 Economically Disadvantaged English Achievement,2021 Economically Disadvantaged Math Achievement,2021 Hispanic English Achievement,2021 Hispanic Math Achievement,2021 White English Achievement,2021 White Math Achievement,2021 Students With Disability English Achievement,2021 Students With Disability Math Achievement
Sand Hill Elementary School,Carroll County,Urban,E,-5.8500000000000085,-7.890000000000001,69.14,77.23,61.25,71.38,0.0,0.0,0.0,0.0,45.65,56.52,58.81,68.56,68.19,72.73,71.86,79.44,43.4,50.96,0.0,0.0,0.0,0.0,35.18,37.03,47.73,58.34,60.42,81.25,65.31,74.49,32.76,42.24
Villa Rica High School,Carroll County,Urban,H,-22.440000000000005,-21.61,80.77,55.63,59.16,33.19,0.0,0.0,0.0,0.0,66.88,43.1,72.92,47.37,86.05,62.01,86.63,59.51,42.45,25.18,0.0,0.0,0.0,0.0,46.78,31.98,51.73,30.11,58.62,44.74,63.07,32.86,23.97,16.17
Ringgold Primary School,Catoosa County,Urban,E,-14.910000000000004,-12.060000000000002,68.67,75.39,56.61,60.48,0.0,0.0,0.0,0.0,0.0,0.0,53.39,62.71,0.0,0.0,71.2,77.11,28.57,35.72,0.0,0.0,0.0,0.0,0.0,0.0,52.23,53.33,0.0,0.0,55.97,59.9,21.44,30.96
Battlefield Primary,Catoosa County,Urban,E,-14.81000000000001,-21.760000000000005,74.12,75.18,52.36,60.37,0.0,0.0,0.0,0.0,0.0,0.0,61.97,63.38,0.0,0.0,74.61,76.99,35.3,29.41,0.0,0.0,0.0,0.0,0.0,0.0,42.73,54.55,0.0,0.0,51.68,58.99,23.53,23.53
Battlefield Elementary School,Catoosa County,Urban,E,-5.200000000000003,-16.729999999999997,72.5,73.67,55.77,68.47,0.0,0.0,75.0,93.75,38.64,43.18,61.59,63.14,52.5,52.5,75.85,77.01,28.57,32.54,0.0,0.0,68.34,90.01,0.0,0.0,46.64,59.13,26.67,30.01,56.16,69.32,20.2,30.77
Woodstation Elementary School,Catoosa County,Urban,E,-3.210000000000008,-5.319999999999993,76.52,72.23,71.2,69.02,0.0,0.0,0.0,0.0,0.0,0.0,61.24,61.8,0.0,0.0,75.82,71.51,36.91,36.91,0.0,0.0,0.0,0.0,0.0,0.0,59.38,56.88,0.0,0.0,71.31,68.76,36.21,34.49
Heritage High School,Catoosa County,Urban,H,-22.32,16.539999999999992,66.01,47.32,82.55,25.0,0.0,0.0,56.25,0.0,63.77,44.54,60.13,40.84,63.87,41.77,77.83,62.42,26.98,21.44,0.0,0.0,0.0,0.0,78.57,26.04,60.42,26.31,70.46,21.88,73.7,60.13,40.01,32.7
Tiger Creek Elementary School,Catoosa County,Urban,E,-12.82,-12.519999999999996,63.69,58.72,51.17,45.9,0.0,0.0,0.0,0.0,0.0,0.0,58.04,54.39,0.0,0.0,64.56,60.58,32.29,32.29,0.0,0.0,0.0,0.0,0.0,0.0,42.73,39.32,0.0,0.0,51.63,46.74,35.18,31.48
Heritage Middle School,Catoosa County,Urban,M,-18.17,-7.140000000000001,79.91,87.2,72.77,69.03,0.0,0.0,100.0,100.0,80.0,70.0,66.73,73.0,78.78,81.81,79.19,87.43,45.18,49.44,0.0,0.0,94.11,0.0,0.0,0.0,58.6,54.33,53.85,51.92,73.99,69.37,28.78,28.26
Boynton Elementary School,Catoosa County,Urban,E,-7.5,-13.269999999999996,90.11,72.88,76.84,65.38,0.0,0.0,0.0,0.0,0.0,0.0,77.66,64.36,0.0,0.0,90.18,72.45,57.7,50.97,0.0,0.0,0.0,0.0,0.0,0.0,62.0,50.01,0.0,0.0,77.1,65.64,65.63,51.58
Lakeview-Fort Oglethorpe High School,Catoosa County,Urban,H,-29.729999999999997,-9.600000000000001,66.34,62.26,56.74,32.53,0.0,0.0,27.78,63.64,46.97,52.76,59.44,58.04,57.35,59.09,70.53,62.4,28.01,28.38,0.0,0.0,0.0,0.0,0.0,11.11,46.64,30.16,71.88,36.67,58.24,32.6,23.61,19.52
West Side Elementary School,Catoosa County,Urban,E,1.1599999999999966,-5.799999999999997,97.73,92.73,91.93,93.89,0.0,0.0,0.0,0.0,67.11,64.48,56.76,54.07,83.33,80.57,100.0,100.0,44.0,46.16,0.0,0.0,0.0,0.0,57.57,57.57,41.67,39.29,47.93,56.25,46.79,60.72,36.48,44.59
Lakeview Middle School,Catoosa County,Urban,M,-20.33,-8.809999999999995,60.19,68.78,51.38,48.45,0.0,0.0,80.45,97.83,44.68,50.01,53.22,60.86,52.68,67.85,61.25,69.5,22.82,32.2,0.0,0.0,0.0,0.0,41.68,37.5,45.29,42.98,41.11,42.22,53.18,49.24,18.55,22.18
Cloud Springs Elementary School,Catoosa County,Urban,E,-9.18,-15.390000000000008,67.15,61.81,51.76,52.63,0.0,0.0,0.0,0.0,0.0,0.0,59.02,55.64,0.0,0.0,67.31,61.01,32.14,26.19,0.0,0.0,0.0,0.0,0.0,0.0,43.75,47.15,0.0,0.0,52.91,53.89,20.58,23.52
Ringgold Elementary School,Catoosa County,Urban,E,-2.4099999999999966,-4.220000000000006,68.09,70.6,63.87,68.19,0.0,0.0,0.0,0.0,0.0,0.0,57.59,60.9,0.0,0.0,68.63,71.35,35.49,33.87,0.0,0.0,0.0,0.0,0.0,0.0,52.89,58.39,0.0,0.0,63.9,68.11,29.1,37.32
Ringgold High School,Catoosa County,Urban,H,-26.71,-18.499999999999993,75.85,74.36,57.35,47.65,0.0,0.0,0.0,0.0,43.75,0.0,65.54,61.83,78.13,78.13,76.92,74.0,27.02,30.93,0.0,0.0,0.0,0.0,0.0,0.0,45.41,31.26,0.0,0.0,57.65,47.94,12.5,19.23
Graysville Elementary School,Catoosa County,Urban,E,-9.439999999999998,-9.850000000000009,74.23,82.89,64.38,73.45,0.0,0.0,0.0,0.0,0.0,0.0,60.52,71.06,0.0,0.0,75.55,83.42,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.53,56.26,0.0,0.0,64.72,74.37,29.31,39.66
Ringgold Middle School,Catoosa County,Urban,M,-26.36,-5.9199999999999875,75.6,86.67,69.68,60.31,0.0,0.0,0.0,0.0,80.0,83.35,64.39,74.67,72.23,90.74,76.08,87.09,37.43,53.88,0.0,0.0,0.0,0.0,50.0,52.78,56.27,49.11,70.37,53.7,70.36,61.3,34.7,28.2
Bethune Middle School,Charlton County,Rural,E,-24.689999999999998,-8.310000000000002,61.1,74.85,52.79,50.16,0.0,0.0,0.0,0.0,43.81,60.0,53.18,68.56,0.0,0.0,68.96,80.22,31.52,40.22,0.0,0.0,0.0,0.0,36.87,32.32,52.79,50.16,0.0,0.0,57.82,56.26,23.82,16.94
Folkston Elementary School,Charlton County,Rural,E,-11.64,-11.310000000000002,75.0,81.0,63.69,69.36,0.0,0.0,0.0,0.0,69.24,71.81,69.42,77.63,0.0,0.0,77.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,48.64,55.56,63.69,69.36,0.0,0.0,71.16,75.49,33.34,56.25
Charlton County High School,Charlton County,Rural,H,-2.8500000000000014,-7.940000000000005,71.37,49.74,63.43,46.89,0.0,0.0,0.0,0.0,41.89,25.0,62.78,43.24,0.0,0.0,85.73,60.08,25.0,0.0,0.0,0.0,0.0,0.0,41.68,26.67,63.43,46.89,0.0,0.0,75.01,50.01,0.0,0.0
St. George Elementary School,Charlton County,Rural,E,-29.480000000000004,-19.340000000000003,88.09,85.73,68.75,56.25,0.0,0.0,0.0,0.0,0.0,0.0,83.34,82.24,0.0,0.0,84.22,78.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,56.25,0.0,0.0,63.9,58.35,43.34,40.0
Johnson High School,Savannah-Chatham County,Urban,H,-23.43,-9.079999999999998,65.72,56.13,56.64,32.7,0.0,0.0,90.0,0.0,56.95,33.82,60.13,52.28,59.73,51.73,86.24,76.39,43.4,25.01,0.0,0.0,0.0,0.0,50.46,19.52,55.43,32.11,52.21,32.45,68.31,40.0,36.96,25.0
Coastal Empire Montessori Charter School,Savannah-Chatham County,Urban,E,-9.459999999999997,3.990000000000002,42.94,38.69,46.93,29.23,0.0,0.0,0.0,0.0,28.07,28.07,35.06,31.17,0.0,0.0,66.66,59.09,25.01,24.94,0.0,0.0,0.0,0.0,20.97,16.14,29.73,18.92,0.0,0.0,80.95,50.0,0.0,0.0
Woodville-Tompkins Technical and Career High School,Savannah-Chatham County,Urban,H,-17.86,14.550000000000011,80.35,76.86,94.9,59.0,0.0,0.0,0.0,0.0,77.99,72.97,77.41,71.8,82.5,84.79,87.85,87.88,66.67,0.0,0.0,0.0,0.0,0.0,92.67,58.57,88.34,58.93,0.0,0.0,0.0,0.0,0.0,0.0
Pulaski Elementary SChool,Savannah-Chatham County,Urban,E,-22.000000000000007,-17.479999999999997,53.9,64.76,36.42,42.76,0.0,0.0,0.0,0.0,46.8,58.8,47.56,60.87,52.43,66.94,67.4,80.44,43.77,48.45,0.0,0.0,0.0,0.0,31.26,39.71,34.49,40.51,26.09,32.62,50.0,50.0,36.85,55.27
New Hampstead High School,Savannah-Chatham County,Urban,H,-17.979999999999997,-6.18,61.47,44.15,55.29,26.17,0.0,0.0,59.26,72.22,52.02,34.36,54.27,39.05,69.27,43.04,76.74,57.04,38.75,20.21,0.0,0.0,0.0,0.0,47.26,20.07,48.7,20.13,51.39,19.44,65.54,42.86,37.51,13.52
Oglethorpe Charter School,Savannah-Chatham County,Urban,M,-32.620000000000005,-32.260000000000005,64.14,63.95,31.88,31.33,0.0,0.0,0.0,0.0,56.66,56.42,54.19,55.38,67.65,64.71,83.34,84.91,28.7,35.18,0.0,0.0,0.0,0.0,31.25,27.36,21.87,26.41,0.0,0.0,0.0,0.0,0.0,0.0
The STEM Academy at Bartlett,Savannah-Chatham County,Urban,M,-12.710000000000008,-8.64,98.06,93.79,89.42,81.08,0.0,0.0,100.0,100.0,86.29,81.16,86.09,83.27,100.0,90.38,100.0,98.75,73.75,73.75,0.0,0.0,0.0,0.0,80.0,63.72,80.31,64.85,79.31,62.51,94.91,91.52,0.0,0.0
Tybee Island Maritime Academy School,Savannah-Chatham County,Urban,E,-38.86,-19.6,80.97,78.39,61.37,39.53,0.0,0.0,0.0,0.0,40.0,52.5,67.36,67.34,0.0,0.0,87.71,84.84,54.84,51.62,0.0,0.0,0.0,0.0,0.0,0.0,54.0,39.59,0.0,0.0,60.26,42.31,48.28,53.57
Savannah Classical Academy Charter School,Savannah-Chatham County,Urban,E,-4.479999999999997,8.950000000000003,51.51,57.47,60.46,52.99,0.0,0.0,0.0,0.0,48.19,55.45,48.22,54.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.13,46.82,55.66,46.24,0.0,0.0,78.95,89.48,0.0,0.0
Esther F. Garrison School for the Arts,Savannah-Chatham County,Urban,E,-9.730000000000004,-11.570000000000007,99.53,85.2,87.96,75.47,0.0,0.0,0.0,0.0,81.32,68.19,83.17,71.75,98.55,82.35,100.0,96.18,75.01,86.12,0.0,0.0,0.0,0.0,72.0,46.0,68.52,48.14,0.0,0.0,95.38,85.85,0.0,0.0
Georgetown School,Savannah-Chatham County,Urban,E,-24.939999999999998,-12.530000000000001,58.83,52.72,46.3,27.78,0.0,0.0,0.0,0.0,54.0,47.2,52.4,47.95,61.76,58.82,65.52,59.48,22.59,29.03,0.0,0.0,0.0,0.0,32.86,21.43,34.45,22.23,0.0,0.0,51.62,32.26,52.79,41.68
Garden City Elementary School,Savannah-Chatham County,Urban,E,-54.32000000000001,-25.729999999999997,62.5,80.79,36.77,26.47,0.0,0.0,0.0,0.0,52.04,69.39,61.87,80.3,64.61,86.15,70.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.64,18.19,39.13,26.09,0.0,0.0,0.0,0.0
West Chatham Middle School,Savannah-Chatham County,Urban,M,-25.24,-19.490000000000002,53.13,52.44,33.64,27.2,0.0,0.0,65.79,84.22,47.58,46.31,48.66,48.17,49.72,50.3,65.87,64.74,32.59,39.78,0.0,0.0,0.0,0.0,26.26,20.97,28.51,22.45,38.9,29.76,37.05,29.17,40.0,44.8
West Chatham Elementary School,Savannah-Chatham County,Urban,E,-21.36,-15.780000000000001,57.03,60.58,41.25,39.22,0.0,0.0,67.5,80.0,46.18,49.28,46.49,49.77,64.64,64.64,68.65,72.28,35.51,45.66,0.0,0.0,0.0,0.0,35.85,23.64,38.46,31.25,31.58,34.22,46.36,52.72,37.18,42.31
DeRenne Middle School,Savannah-Chatham County,Urban,M,-10.030000000000001,3.210000000000001,31.53,34.17,34.74,24.14,0.0,0.0,0.0,0.0,30.39,32.64,30.6,33.24,0.0,0.0,0.0,0.0,25.24,29.72,0.0,0.0,0.0,0.0,33.53,23.85,31.58,20.62,0.0,0.0,0.0,0.0,54.55,48.96
The School of Liberal Studies at Savannah High,Savannah-Chatham County,Urban,H,-3.200000000000003,-5.059999999999999,33.0,24.03,27.94,20.83,0.0,0.0,0.0,0.0,32.6,22.43,33.19,24.51,0.0,0.0,0.0,0.0,16.32,11.78,0.0,0.0,0.0,0.0,28.79,24.2,22.33,22.73,0.0,0.0,0.0,0.0,9.38,0.0
Godley Station School,Savannah-Chatham County,Urban,E,-32.29,-24.14,67.44,68.55,43.3,36.26,0.0,0.0,89.72,100.0,49.57,51.56,54.07,56.45,64.6,69.8,85.45,83.23,28.0,32.0,0.0,0.0,97.38,0.0,29.17,24.49,23.87,21.88,26.32,26.31,62.24,49.0,13.9,7.89
Marshpoint Elementary School,Savannah-Chatham County,Urban,E,-11.659999999999997,-7.4199999999999875,71.57,73.41,64.15,61.75,0.0,0.0,77.1,100.0,45.36,51.55,53.36,58.26,65.0,60.0,86.49,84.36,39.69,42.87,0.0,0.0,0.0,0.0,44.74,36.84,44.62,40.01,0.0,0.0,72.52,70.88,55.76,55.77
Southwest Middle School,Savannah-Chatham County,Urban,M,-23.51,-22.139999999999997,43.37,44.7,21.23,21.19,0.0,0.0,0.0,0.0,40.35,40.04,40.14,42.16,42.92,48.69,53.06,63.58,26.39,32.42,0.0,0.0,0.0,0.0,18.67,17.37,15.17,16.85,22.5,16.66,25.01,39.48,29.28,28.96
Southwest Elementary School,Savannah-Chatham County,Urban,E,-22.450000000000003,-15.609999999999996,45.62,54.1,30.01,31.65,0.0,0.0,0.0,0.0,36.96,49.16,41.07,49.21,48.65,55.42,62.77,63.84,23.22,29.72,0.0,0.0,0.0,0.0,22.64,23.53,22.16,25.58,32.76,36.67,40.0,37.5,9.62,12.96
Coastal Middle School,Savannah-Chatham County,Urban,M,-21.510000000000005,-17.210000000000008,74.54,79.56,57.33,58.05,0.0,0.0,90.79,100.0,57.78,62.77,62.85,68.74,76.19,77.38,80.33,84.45,32.5,41.26,0.0,0.0,76.19,83.34,36.05,35.22,43.53,43.68,37.5,41.31,60.58,61.35,41.85,36.66
Islands High School,Savannah-Chatham County,Urban,H,-33.92,-78.57,78.57,49.71,0.0,15.79,0.0,0.0,80.0,75.01,60.48,29.89,68.83,38.44,77.28,44.05,83.1,53.15,28.89,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Savannah Arts Academy,Savannah-Chatham County,Urban,H,-33.05,-6.420000000000002,100.0,99.23,93.58,66.18,0.0,0.0,100.0,100.0,90.33,85.86,100.0,87.72,100.0,87.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.89,76.47,0.0,0.0
Shuman Elementary School,Savannah-Chatham County,Urban,E,-14.840000000000003,-17.12,30.32,33.34,13.2,18.5,0.0,0.0,0.0,0.0,26.42,29.97,28.8,31.49,45.85,56.27,0.0,0.0,21.19,22.03,0.0,0.0,0.0,0.0,8.17,12.0,12.28,15.52,25.0,41.67,0.0,0.0,0.0,0.0
Rice Creek School,Savannah-Chatham County,Urban,E,-20.999999999999996,-19.940000000000005,48.52,43.73,28.58,22.73,0.0,0.0,0.0,0.0,45.72,39.41,45.76,41.75,52.63,55.27,53.71,52.83,17.93,16.04,0.0,0.0,0.0,0.0,26.19,17.86,26.92,21.15,33.34,33.33,43.75,35.3,26.47,20.59
Savannah Early College High School,Savannah-Chatham County,Urban,H,-75.79,-90.76,90.76,75.79,0.0,0.0,0.0,0.0,0.0,0.0,88.5,72.29,87.65,72.73,0.0,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
School of Humanities at Juliette Gordon Low,Savannah-Chatham County,Urban,E,-20.25,-8.430000000000003,31.26,44.67,22.83,24.42,0.0,0.0,0.0,0.0,29.68,43.45,31.77,44.95,0.0,0.0,0.0,0.0,18.35,26.27,0.0,0.0,0.0,0.0,20.63,21.63,20.83,23.08,0.0,0.0,0.0,0.0,0.0,0.0
Susie King Taylor Community School,Savannah-Chatham County,Urban,E,-9.999999999999996,-9.400000000000006,44.7,39.41,35.3,29.41,0.0,0.0,0.0,0.0,20.46,21.6,30.91,27.27,0.0,0.0,73.64,64.04,0.0,0.0,0.0,0.0,0.0,0.0,28.89,20.46,30.0,23.34,0.0,0.0,84.38,71.88,0.0,0.0
Savannah Classical Academy Charter High School,Savannah-Chatham County,Urban,H,-48.0,-78.84,78.84,48.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9,21.88,67.5,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otis J Brock III Elementary School,Savannah-Chatham County,Urban,E,-37.47,-19.759999999999998,36.43,52.86,16.67,15.39,0.0,0.0,0.0,0.0,35.8,52.29,36.54,53.38,0.0,0.0,0.0,0.0,18.52,27.78,0.0,0.0,0.0,0.0,17.95,13.75,17.35,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Gadsden Elementary School,Savannah-Chatham County,Urban,E,-19.58,-15.169999999999998,31.84,45.51,16.67,25.93,0.0,0.0,0.0,0.0,30.69,44.6,31.25,44.89,0.0,0.0,0.0,0.0,12.51,21.9,0.0,0.0,0.0,0.0,16.26,25.63,13.58,23.71,0.0,0.0,0.0,0.0,0.0,0.0
Howard Elementary School,Savannah-Chatham County,Urban,E,-12.64,-1.940000000000012,79.4,87.29,77.46,74.65,0.0,0.0,0.0,0.0,55.56,61.12,60.46,70.91,0.0,0.0,82.09,89.82,35.13,59.46,0.0,0.0,0.0,0.0,0.0,0.0,63.33,60.0,0.0,0.0,76.52,74.34,57.14,61.9
White Bluff Elementary School,Savannah-Chatham County,Urban,E,-31.689999999999998,-12.619999999999997,48.22,63.55,35.6,31.86,0.0,0.0,0.0,0.0,45.71,60.77,45.94,62.0,63.04,78.27,59.26,76.92,28.84,41.36,0.0,0.0,0.0,0.0,27.48,25.55,33.18,29.25,0.0,0.0,0.0,0.0,50.0,44.12
Beach High School,Savannah-Chatham County,Urban,H,-0.6900000000000013,-11.730000000000004,51.24,25.32,39.51,24.63,0.0,0.0,0.0,0.0,49.2,22.39,50.01,24.81,0.0,43.56,0.0,0.0,31.67,17.79,0.0,0.0,0.0,0.0,40.26,22.39,36.65,22.87,0.0,0.0,0.0,0.0,46.43,31.49
Gould Elementary School,Savannah-Chatham County,Urban,E,-40.55,-26.290000000000003,49.02,61.86,22.73,21.31,0.0,0.0,0.0,0.0,41.56,49.65,45.95,59.81,51.37,65.46,57.88,73.58,24.61,33.85,0.0,0.0,0.0,0.0,20.27,16.13,20.53,21.35,18.87,21.7,30.0,25.0,14.71,11.76
Hubert Middle School,Savannah-Chatham County,Urban,M,-18.560000000000002,-8.309999999999999,29.18,35.38,20.87,16.82,0.0,0.0,0.0,0.0,28.05,35.47,29.51,35.35,0.0,0.0,0.0,0.0,25.45,26.32,0.0,0.0,0.0,0.0,21.65,18.43,21.74,16.84,0.0,0.0,0.0,0.0,52.63,44.75
Largo-Tibet Elementary School,Savannah-Chatham County,Urban,E,-25.910000000000004,-6.759999999999998,42.08,53.7,35.32,27.79,0.0,0.0,0.0,0.0,38.14,50.93,40.38,52.02,48.34,55.01,62.0,70.0,24.09,24.09,0.0,0.0,0.0,0.0,26.77,23.57,32.64,24.99,0.0,0.0,46.67,36.67,0.0,0.0
Andrea B Williams Elementary School,Savannah-Chatham County,Urban,E,-26.79,-13.99,27.3,42.93,13.31,16.14,0.0,0.0,0.0,0.0,26.63,42.43,26.9,43.01,0.0,0.0,0.0,0.0,7.82,18.76,0.0,0.0,0.0,0.0,11.35,14.29,11.21,14.22,0.0,0.0,0.0,0.0,8.7,8.7
Groves High School,Savannah-Chatham County,Urban,H,-10.15,-6.619999999999997,38.98,25.91,32.36,15.76,0.0,0.0,0.0,0.0,33.72,22.88,37.44,26.26,37.5,27.13,73.53,40.52,13.16,9.37,0.0,0.0,0.0,0.0,25.72,11.33,27.09,13.29,33.33,20.41,0.0,26.67,0.0,12.86
Isle of Hope School,Savannah-Chatham County,Urban,E,-26.110000000000003,-15.240000000000002,53.15,46.27,37.91,20.16,0.0,0.0,0.0,0.0,44.34,38.16,47.07,39.95,0.0,0.0,82.06,69.24,18.33,16.67,0.0,0.0,0.0,0.0,25.01,9.79,27.91,11.63,0.0,0.0,58.82,44.12,38.89,38.9
Pooler Elementary School,Savannah-Chatham County,Urban,E,-20.71,-8.43,54.02,65.81,45.59,45.1,0.0,0.0,0.0,0.0,46.05,57.14,48.74,59.66,58.12,71.63,59.82,72.32,27.5,36.25,0.0,0.0,0.0,0.0,37.5,35.0,34.43,33.6,47.73,40.91,50.96,53.85,25.0,25.01
Bloomingdale Elementary School,Savannah-Chatham County,Urban,E,-16.4,-15.949999999999996,52.23,52.54,36.28,36.14,0.0,0.0,0.0,0.0,37.5,45.83,50.86,49.58,35.0,40.0,57.35,55.39,18.09,17.03,0.0,0.0,0.0,0.0,0.0,0.0,32.86,30.71,47.5,45.0,32.26,34.43,23.34,23.33
Ellis Elementary School,Savannah-Chatham County,Urban,E,-7.1200000000000045,1.4399999999999977,75.03,64.68,76.47,57.56,0.0,0.0,0.0,0.0,59.08,44.04,56.84,47.73,0.0,0.0,86.75,80.62,45.11,50.14,0.0,0.0,0.0,0.0,56.25,28.13,13.47,12.5,0.0,0.0,89.65,72.57,0.0,0.0
Haven Elementary School,Savannah-Chatham County,Urban,E,-27.13,-11.87,27.75,40.47,15.88,13.34,0.0,0.0,0.0,0.0,27.81,40.84,25.91,39.16,0.0,0.0,0.0,0.0,26.58,32.83,0.0,0.0,0.0,0.0,14.76,12.07,12.71,9.83,0.0,0.0,0.0,0.0,0.0,0.0
Hesse School,Savannah-Chatham County,Urban,E,-21.419999999999995,-14.600000000000001,56.01,58.8,41.41,37.38,0.0,0.0,82.5,100.0,41.88,41.9,44.24,46.39,42.01,48.67,71.11,74.53,15.86,23.18,0.0,0.0,0.0,0.0,26.93,22.12,31.5,30.3,34.15,28.05,54.17,50.61,6.52,6.82
Port Wentworth Elementary School,Savannah-Chatham County,Urban,E,-49.36,-24.47,39.48,63.16,15.01,13.8,0.0,0.0,0.0,0.0,32.46,55.27,35.56,58.34,42.2,71.88,60.0,77.5,16.67,28.58,0.0,0.0,0.0,0.0,12.5,16.67,18.75,15.22,0.0,0.0,0.0,0.0,0.0,0.0
Windsor Forest Elementary School,Savannah-Chatham County,Urban,E,-22.54,-6.029999999999998,37.98,50.01,31.95,27.47,0.0,0.0,0.0,0.0,34.51,47.55,35.63,47.42,0.0,0.0,53.23,64.53,8.33,21.67,0.0,0.0,0.0,0.0,23.0,16.33,25.44,21.05,0.0,0.0,0.0,0.0,0.0,0.0
Butler Elementary School,Savannah-Chatham County,Urban,E,-31.189999999999998,-16.29,38.22,50.83,21.93,19.64,0.0,0.0,0.0,0.0,37.29,49.14,38.17,50.44,0.0,0.0,0.0,0.0,8.07,18.34,0.0,0.0,0.0,0.0,23.96,19.79,21.28,17.4,0.0,0.0,0.0,0.0,0.0,0.0
Hodge Elementary School,Savannah-Chatham County,Urban,E,-31.76,-21.29,36.29,52.6,15.0,20.84,0.0,0.0,0.0,0.0,36.96,53.26,35.72,51.87,0.0,0.0,0.0,0.0,4.17,12.5,0.0,0.0,0.0,0.0,11.36,15.48,12.51,18.49,0.0,0.0,0.0,0.0,0.0,0.0
Jenkins High School,Savannah-Chatham County,Urban,H,-9.600000000000001,3.3600000000000065,58.91,44.89,62.27,35.29,0.0,0.0,92.87,0.0,47.31,33.88,50.43,36.07,69.33,47.32,81.49,63.76,25.0,21.12,0.0,0.0,0.0,0.0,45.09,29.17,44.34,20.22,0.0,0.0,82.5,50.0,0.0,0.0
Mercer Middle School,Savannah-Chatham County,Urban,M,-9.030000000000001,-5.330000000000002,31.41,30.6,26.08,21.57,0.0,0.0,0.0,0.0,29.22,25.99,31.45,30.33,31.87,38.62,39.48,39.36,17.79,23.69,0.0,0.0,0.0,0.0,28.57,24.15,25.64,19.78,0.0,17.65,0.0,0.0,0.0,0.0
Jacob G. Smith Elementary School,Savannah-Chatham County,Urban,E,-9.469999999999999,-8.189999999999998,87.02,84.48,78.83,75.01,0.0,0.0,0.0,0.0,65.27,66.96,66.37,66.82,0.0,0.0,100.0,100.0,41.12,42.77,0.0,0.0,0.0,0.0,53.27,52.13,50.0,47.72,0.0,0.0,97.28,90.9,0.0,0.0
Windsor Forest High School,Savannah-Chatham County,Urban,H,-24.57,-15.329999999999998,53.05,38.07,37.72,13.5,0.0,0.0,0.0,0.0,50.76,34.07,51.59,35.57,56.47,45.01,61.86,50.0,27.97,20.92,0.0,0.0,0.0,0.0,33.79,14.47,40.37,10.47,28.57,0.0,58.69,0.0,9.09,0.0
Chattahoochee County Education Center,Chattahoochee County,Urban,E,-24.330000000000005,-19.939999999999998,70.85,77.51,50.91,53.18,0.0,0.0,0.0,0.0,62.5,62.5,70.85,77.51,0.0,0.0,74.62,84.62,67.39,76.09,0.0,0.0,0.0,0.0,43.9,50.0,50.91,53.18,0.0,0.0,55.64,56.45,47.23,50.0
Chattahoochee County Middle School,Chattahoochee County,Urban,M,-10.369999999999997,-9.86,56.58,51.98,46.72,41.61,0.0,0.0,0.0,0.0,40.0,33.75,56.58,51.98,0.0,0.0,64.78,56.83,31.05,37.93,0.0,0.0,0.0,0.0,38.0,35.0,46.72,41.61,47.06,50.0,53.79,44.71,24.0,36.0
Chattahoochee County High School,Chattahoochee County,Urban,H,-30.130000000000003,-30.9,68.61,60.6,37.71,30.47,0.0,0.0,0.0,0.0,51.84,45.0,64.72,55.71,66.31,64.42,76.81,64.35,15.39,26.0,0.0,0.0,0.0,0.0,18.42,21.74,24.08,22.98,0.0,43.76,45.45,26.57,0.0,11.12
Leroy Massey Elementary School,Chattooga County,Rural,E,-21.42,-18.440000000000005,58.67,56.93,40.23,35.51,0.0,0.0,0.0,0.0,56.82,50.02,57.12,56.22,53.34,60.01,59.63,58.31,57.55,53.3,0.0,0.0,0.0,0.0,23.68,25.0,37.69,34.42,31.49,38.89,44.17,39.07,47.09,43.47
