School Name,County,Urban/Rural,Classification,19-21 Difference in Math,19-21 Difference in English,All Students English Achievement,All Students Math Achievement,2021 All Students English Achievement,2021 All Students Math Achievement,American Indian/Alaskan English Achievement,American Indian/Alaskan Math Achievement,Asian/Pacific Islander English Achievement,Asian/Pacific Islander Math Achievement,Black English Achievement,Black Math Achievement,Economically Disadvantaged English Achievement,Economically Disadvantaged Math Achievement,Hispanic English Achievement,Hispanic Math Achievement,White English Achievement,White Math Achievement,Students With Disability English Achievement,Students With Disability Math Achievement,2021 American Indian/Alaskan English Achievement,2021 American Indian/Alaskan Math Achievement,2021 Asian/Pacific Islander English Achievement,2021 Asian/Pacific Islander Math Achievement,2021 Black English Achievement,2021 Black Math Achievement,2021 Economically Disadvantaged English Achievement,2021 Economically Disadvantaged Math Achievement,2021 Hispanic English Achievement,2021 Hispanic Math Achievement,2021 White English Achievement,2021 White Math Achievement,2021 Students With Disability English Achievement,2021 Students With Disability Math Achievement
Oak Hill MS,Baldwin County,Rural,M,-6.890000000000001,-2.1799999999999997,44.11,39.39,41.93,32.5,0.0,0.0,0.0,0.0,37.1,34.33,44.11,39.39,67.75,48.35,59.95,51.15,23.26,24.61,0.0,0.0,0.0,0.0,35.99,25.42,41.93,32.5,45.45,43.94,58.85,51.4,24.24,20.67
Baldwin High School,Baldwin County,Rural,H,-20.46,-17.4,64.02,46.82,46.62,26.36,0.0,0.0,0.0,0.0,57.61,40.65,64.02,46.82,63.34,0.0,82.4,62.75,33.69,11.68,0.0,0.0,0.0,0.0,38.87,24.45,46.62,26.36,0.0,0.0,73.08,33.33,16.67,14.29
Lakeview Academy,Baldwin County,Rural,E,-14.269999999999996,-11.409999999999997,50.61,58.41,39.2,44.14,0.0,0.0,100.0,100.0,39.96,49.06,50.61,58.41,52.19,52.19,69.23,74.56,21.96,29.44,0.0,0.0,0.0,0.0,27.78,32.52,39.2,44.14,22.0,32.0,56.73,61.19,25.01,25.62
Midway Hills Primary,Baldwin County,Rural,E,-16.17,-23.54,42.4,44.63,18.86,28.46,0.0,0.0,0.0,0.0,31.55,34.95,42.4,44.63,0.0,0.0,69.52,69.52,27.09,33.34,0.0,0.0,0.0,0.0,16.67,24.02,18.86,28.46,0.0,0.0,26.19,45.24,8.83,14.71
Lakeview Primary,Baldwin County,Rural,E,-28.119999999999997,-23.599999999999998,48.22,64.88,24.62,36.76,0.0,0.0,0.0,0.0,31.73,48.93,48.22,64.88,0.0,0.0,65.39,82.31,21.88,37.51,0.0,0.0,0.0,0.0,17.69,27.44,24.62,36.76,0.0,0.0,46.67,65.01,10.42,16.67
Midway Hills Academy,Baldwin County,Rural,E,-14.550000000000004,-15.959999999999997,38.47,40.27,22.51,25.72,0.0,0.0,0.0,0.0,29.74,31.31,38.47,40.27,0.0,0.0,58.53,60.38,18.47,16.15,0.0,0.0,0.0,0.0,19.28,20.72,22.51,25.72,0.0,0.0,31.87,40.22,9.58,11.46
Banks County Middle School,Banks County,Rural,M,-17.189999999999998,-9.069999999999993,69.32,70.74,60.25,53.55,0.0,0.0,0.0,0.0,0.0,0.0,60.79,63.44,57.71,67.7,70.46,70.99,28.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50.86,46.7,52.15,42.87,61.57,55.11,26.39,25.7
Banks County Elementary School,Banks County,Rural,E,-12.579999999999998,-11.32,68.44,75.64,57.12,63.06,0.0,0.0,0.0,0.0,0.0,0.0,58.99,67.62,63.55,66.95,70.81,77.6,36.84,46.46,0.0,0.0,0.0,0.0,0.0,0.0,46.34,53.34,41.67,50.0,58.63,64.44,27.38,34.22
Banks County High School,Banks County,Rural,H,-35.82,-2.280000000000001,72.89,54.54,70.61,18.72,0.0,0.0,0.0,0.0,0.0,0.0,64.96,48.49,58.33,41.67,75.51,56.47,37.51,29.18,0.0,0.0,0.0,0.0,0.0,0.0,61.18,18.62,67.31,16.67,72.82,18.99,32.61,16.07
Banks County Primary School,Banks County,Rural,E,-15.279999999999994,-15.07,68.53,79.13,53.46,63.85,0.0,0.0,0.0,0.0,0.0,0.0,55.0,65.5,53.35,70.01,72.18,80.99,35.95,42.2,0.0,0.0,0.0,0.0,0.0,0.0,39.25,50.0,0.0,0.0,53.22,63.93,21.15,32.69
